episode,real_makespan,baseline_makespan,advantage,actor_loss,entropy_loss,violations,baseline_violations,actor_longi_balance,baseline_longi_balance,actor_longi_a,actor_longi_b,actor_longi_total,baseline_longi_a,baseline_longi_b,baseline_longi_total,delta_makespan,delta_violations,delta_longi_balance,update_applied,update_source
0,85.63333333333334,85.48333333333333,-0.16165829145728594,0.0,0.0,1,1,0.1798994974874372,0.06331658291457286,408,587,995,466,529,995,-0.15000000000000568,0,-0.11658291457286434,False,ppo
1,97.36666666666666,105.4,5.030015797788323,-0.42575961351394653,14.19198751449585,5,2,0.05529225908372828,0.022116903633491312,598,668,1266,647,619,1266,8.033333333333346,-3,-0.03317535545023696,True,ppo
2,136.16666666666666,141.43333333333334,5.26922498118887,-0.525679886341095,17.522663116455078,9,9,0.09405568096313018,0.11963882618510158,602,727,1329,585,744,1329,5.26666666666668,0,0.0255831452219714,True,ppo
3,104.75,105.21666666666667,-3.539366515837102,0.0,0.0,7,3,0.09653092006033183,0.03619909502262444,599,727,1326,639,687,1326,0.46666666666666856,-4,-0.06033182503770739,False,ppo
4,104.38333333333334,104.65,0.26476341527887826,-0.522840142250061,17.42800521850586,4,4,0.0499603489294211,0.030927835051546393,599,662,1261,611,650,1261,0.2666666666666657,0,-0.019032513877874704,True,ppo
5,82.9,79.56666666666666,-3.326626746507003,0.0,0.0,1,1,0.08023952095808383,0.1473053892215569,384,451,835,356,479,835,-3.333333333333343,0,0.06706586826347306,False,ppo
6,88.21666666666667,86.65,-3.562469394893313,0.0,0.0,4,2,0.02833158447009444,0.07030430220356768,490,463,953,443,510,953,-1.5666666666666629,-2,0.04197271773347323,False,ppo
7,95.86666666666666,96.48333333333333,-0.3751308900523469,0.0,0.0,2,1,0.010471204188481676,0.0924956369982548,567,579,1146,626,520,1146,0.6166666666666742,-1,0.08202443280977313,False,ppo
8,109.46666666666667,105.43333333333334,-3.0471204188481664,0.0,0.0,4,5,0.20418848167539266,0.06631762652705062,456,690,1146,535,611,1146,-4.033333333333331,1,-0.13787085514834205,False,ppo
9,60.05,62.61666666666667,4.558259023354566,-0.22249365597963333,7.416455268859863,5,7,0.12611464968152866,0.04203821656050955,343,442,785,376,409,785,2.56666666666667,2,-0.08407643312101912,True,ppo
