grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b100_heavy_work_r1,Proposed,18,BLK_18C,1,판계,1,2025-01-09 08:00:00,2025-01-09 08:39:36,39.6,,공통
b100_heavy_work_r1,Proposed,18,BLK_18C,1,전면SAW,2,2025-01-09 08:39:36,2025-01-09 11:34:24,174.8,,공통
b100_heavy_work_r1,Proposed,18,BLK_18C,1,TurnOver,3,2025-01-09 11:34:24,2025-01-09 11:48:48,14.4,,공통
b100_heavy_work_r1,Proposed,18,BLK_18C,1,후면SAW,4,2025-01-09 11:48:48,2025-01-09 14:13:31,144.7,,공통
b100_heavy_work_r1,Proposed,18,BLK_18C,1,NC,5,2025-01-09 14:13:31,2025-01-09 15:08:21,54.8,,공통
b100_heavy_work_r1,Proposed,18,BLK_18C,1,베이35A 론지취부,6,2025-01-09 15:08:21,2025-01-09 17:01:09,112.8,35A,베이35A
b100_heavy_work_r1,Proposed,18,BLK_18C,1,베이35A 론지용접,7,2025-01-09 17:01:09,2025-01-09 17:34:02,32.9,35A,베이35A
b100_heavy_work_r1,Proposed,18,BLK_18C,1,베이35A 수정,8,2025-01-09 17:34:02,2025-01-09 18:43:24,69.4,35A,베이35A
b100_heavy_work_r1,Proposed,10,BLK_10P,2,판계,1,2025-01-09 08:39:36,2025-01-09 09:03:36,24.0,,공통
b100_heavy_work_r1,Proposed,10,BLK_10P,2,전면SAW,2,2025-01-09 11:34:24,2025-01-09 12:18:28,44.1,,공통
b100_heavy_work_r1,Proposed,10,BLK_10P,2,TurnOver,3,2025-01-09 12:18:28,2025-01-09 12:32:52,14.4,,공통
b100_heavy_work_r1,Proposed,10,BLK_10P,2,후면SAW,4,2025-01-09 14:13:31,2025-01-09 14:46:09,32.6,,공통
b100_heavy_work_r1,Proposed,10,BLK_10P,2,NC,5,2025-01-09 15:08:21,2025-01-09 15:44:54,36.5,,공통
b100_heavy_work_r1,Proposed,10,BLK_10P,2,베이36B 론지취부,6,2025-01-09 15:44:54,2025-01-09 17:08:18,83.4,36B,베이36B
b100_heavy_work_r1,Proposed,10,BLK_10P,2,베이36B 론지용접,7,2025-01-09 17:08:18,2025-01-09 17:36:08,27.8,36B,베이36B
b100_heavy_work_r1,Proposed,10,BLK_10P,2,베이36B 수정,8,2025-01-09 17:36:08,2025-01-09 18:27:01,50.9,36B,베이36B
b100_heavy_work_r1,Proposed,17,BLK_17C,3,판계,1,2025-01-09 09:03:36,2025-01-09 09:57:36,54.0,,공통
b100_heavy_work_r1,Proposed,17,BLK_17C,3,전면SAW,2,2025-01-09 12:18:28,2025-01-09 15:31:19,192.9,,공통
b100_heavy_work_r1,Proposed,17,BLK_17C,3,TurnOver,3,2025-01-09 15:31:19,2025-01-09 15:45:43,14.4,,공통
b100_heavy_work_r1,Proposed,17,BLK_17C,3,후면SAW,4,2025-01-09 15:45:43,2025-01-09 18:33:47,168.1,,공통
b100_heavy_work_r1,Proposed,17,BLK_17C,3,NC,5,2025-01-09 18:33:47,2025-01-09 19:38:51,65.1,,공통
b100_heavy_work_r1,Proposed,17,BLK_17C,3,베이35A 론지취부,6,2025-01-09 19:38:51,2025-01-09 21:35:51,117.0,35A,베이35A
b100_heavy_work_r1,Proposed,17,BLK_17C,3,베이35A 론지용접,7,2025-01-09 21:35:51,2025-01-09 22:09:27,33.6,35A,베이35A
b100_heavy_work_r1,Proposed,17,BLK_17C,3,베이35A 수정,8,2025-01-09 22:09:27,2025-01-09 23:21:27,72.0,35A,베이35A
b100_heavy_work_r1,Proposed,2,BLK_2C,4,판계,1,2025-01-09 09:57:36,2025-01-09 10:27:36,30.0,,공통
b100_heavy_work_r1,Proposed,2,BLK_2C,4,전면SAW,2,2025-01-09 15:31:19,2025-01-09 16:12:20,41.0,,공통
b100_heavy_work_r1,Proposed,2,BLK_2C,4,TurnOver,3,2025-01-09 16:12:20,2025-01-09 16:26:44,14.4,,공통
b100_heavy_work_r1,Proposed,2,BLK_2C,4,후면SAW,4,2025-01-09 18:33:47,2025-01-09 19:02:25,28.6,,공통
b100_heavy_work_r1,Proposed,2,BLK_2C,4,NC,5,2025-01-09 19:38:51,2025-01-09 20:23:15,44.4,,공통
b100_heavy_work_r1,Proposed,2,BLK_2C,4,베이36B 론지취부,6,2025-01-09 20:23:15,2025-01-09 21:29:51,66.6,36B,베이36B
b100_heavy_work_r1,Proposed,2,BLK_2C,4,베이36B 론지용접,7,2025-01-09 21:29:51,2025-01-09 21:54:48,25.0,36B,베이36B
b100_heavy_work_r1,Proposed,2,BLK_2C,4,베이36B 수정,8,2025-01-09 21:54:48,2025-01-09 22:35:08,40.3,36B,베이36B
b100_heavy_work_r1,Proposed,26,BLK_26P,5,판계,1,2025-01-09 10:27:36,2025-01-09 11:13:12,45.6,,공통
b100_heavy_work_r1,Proposed,26,BLK_26P,5,전면SAW,2,2025-01-09 16:12:20,2025-01-09 18:38:44,146.4,,공통
b100_heavy_work_r1,Proposed,26,BLK_26P,5,TurnOver,3,2025-01-09 18:38:44,2025-01-09 18:53:08,14.4,,공통
b100_heavy_work_r1,Proposed,26,BLK_26P,5,후면SAW,4,2025-01-09 19:02:25,2025-01-09 21:01:12,118.8,,공통
b100_heavy_work_r1,Proposed,26,BLK_26P,5,NC,5,2025-01-09 21:01:12,2025-01-09 22:00:40,59.5,,공통
b100_heavy_work_r1,Proposed,26,BLK_26P,5,베이35A 론지취부,6,2025-01-09 22:00:40,2025-01-09 23:24:04,83.4,35A,베이35A
b100_heavy_work_r1,Proposed,26,BLK_26P,5,베이35A 론지용접,7,2025-01-09 23:24:04,2025-01-09 23:51:54,27.8,35A,베이35A
b100_heavy_work_r1,Proposed,26,BLK_26P,5,베이35A 수정,8,2025-01-09 23:51:54,2025-01-10 00:42:47,50.9,35A,베이35A
b100_heavy_work_r1,Proposed,1,BLK_1C,6,판계,1,2025-01-09 11:13:12,2025-01-09 11:58:48,45.6,,공통
b100_heavy_work_r1,Proposed,1,BLK_1C,6,전면SAW,2,2025-01-09 18:38:44,2025-01-09 20:17:17,98.5,,공통
b100_heavy_work_r1,Proposed,1,BLK_1C,6,TurnOver,3,2025-01-09 20:17:17,2025-01-09 20:31:41,14.4,,공통
b100_heavy_work_r1,Proposed,1,BLK_1C,6,후면SAW,4,2025-01-09 21:01:12,2025-01-09 22:16:22,75.2,,공통
b100_heavy_work_r1,Proposed,1,BLK_1C,6,NC,5,2025-01-09 22:16:22,2025-01-09 23:10:54,54.5,,공통
