grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,1,66,BLK_66C,C,fixed,F_6,F_6,2025-08-03,5.6,14,1,0,False,5,35A,False,262.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 08:00,2025-07-29 08:13,2025-07-29 12:22,2025-07-29 08:00,2025-07-29 12:22,262.8,4.38,13.2,46.9,13.2,38.5,23.2,64.9,23.5,39.4
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,2,7,BLK_7S,S,line,L_2,L_21,2025-07-30,21.7,26,6,0,False,11,36B,False,362.2,True,NORMAL,False,0,0,1,[],[],[],2025-07-29 08:13,2025-07-29 09:00,2025-07-29 14:39,2025-07-29 08:13,2025-07-29 14:39,399.1,6.65,33.0,32.5,13.2,19.4,53.1,111.1,31.5,68.4
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,3,1,BLK_1C,C,line,L_1,L_11,2025-07-29,15.7,20,3,0,False,7,35A,False,315.7,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 08:46,2025-07-29 09:32,2025-07-29 14:39,2025-07-29 08:46,2025-07-29 14:39,399.1,6.65,27.5,37.7,13.2,26.3,41.6,88.0,27.5,53.9
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,4,3,BLK_3C,C,line,L_2,L_21,2025-07-30,15.6,16,4,0,False,9,36B,False,658.6,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 09:13,2025-07-29 10:10,2025-07-29 20:35,2025-07-29 09:13,2025-07-29 20:35,755.8,12.6,33.0,209.0,13.2,181.5,80.2,72.6,24.9,44.2
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,5,40,BLK_40C,C,fixed,F_1,F_1,2025-07-29,5.4,8,1,0,False,3,35A,False,426.2,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 09:46,2025-07-29 13:39,2025-07-29 20:42,2025-07-29 09:46,2025-07-29 20:42,763.0,12.72,29.7,154.2,13.2,112.5,34.1,43.4,16.6,22.4
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,6,60,BLK_60P,P,fixed,F_1,F_1,2025-07-29,19.9,22,6,0,True,10,36B,False,343.6,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 10:16,2025-07-29 16:13,2025-07-29 23:18,2025-07-29 10:16,2025-07-29 23:18,918.6,15.31,33.0,35.6,13.2,23.7,54.8,95.7,28.8,58.7
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,7,90,BLK_90P,P,fixed,F_1,F_1,2025-07-29,19.4,20,6,1,False,11,35A,False,499.2,True,NORMAL,False,1,1,1,['ROUTING_HIGH_SEAM_SPACING'],['HIGH_SEAM_SPACING_FAMILY'],['고심수(6+) 블록 간 3판 간격 위반: 직전 동일 특성 블록과 1판 간격 (최소 3판 간격 필요)'],2025-07-29 10:49,2025-07-29 16:49,2025-07-30 00:39,2025-07-29 10:49,2025-07-30 00:39,999.3,16.65,33.0,123.8,13.2,99.4,60.4,88.0,27.5,53.9
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,8,70,BLK_70P,P,fixed,F_1,F_1,2025-07-29,10.3,8,1,0,False,2,36B,False,226.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 11:22,2025-07-29 18:52,2025-07-29 23:43,2025-07-29 11:22,2025-07-29 23:43,999.3,16.65,13.2,47.7,13.2,39.5,26.3,41.8,19.6,24.9
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,9,13,BLK_13S,S,line,L_1,L_11,2025-07-29,15.7,17,4,3,False,7,35A,False,642.2,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 11:35,2025-07-29 19:40,2025-07-30 05:33,2025-07-29 11:35,2025-07-30 05:33,1293.3,21.56,49.5,209.0,13.2,158.6,63.3,76.5,25.5,46.6
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,10,5,BLK_5P,P,line,L_1,L_11,2025-07-29,18.8,13,6,0,False,6,36B,False,295.9,True,NORMAL,False,0,0,0,[],[],[],2025-07-29 12:25,2025-07-29 23:09,2025-07-30 05:57,2025-07-29 12:25,2025-07-30 05:57,1317.4,21.96,33.0,43.3,13.2,33.7,51.8,61.1,22.9,37.0
