grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,판계,1,2025-07-29 08:00:00,2025-07-29 08:13:12,13.2,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,전면SAW,2,2025-07-29 08:13:12,2025-07-29 09:00:05,46.9,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,TurnOver,3,2025-07-29 09:00:05,2025-07-29 09:13:17,13.2,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,후면SAW,4,2025-07-29 09:13:17,2025-07-29 09:51:45,38.5,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,NC,5,2025-07-29 09:51:45,2025-07-29 10:14:59,23.2,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,베이35A 론지취부,6,2025-07-29 10:14:59,2025-07-29 11:19:53,64.9,35A,베이35A,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,베이35A 론지용접,7,2025-07-29 11:19:53,2025-07-29 11:43:25,23.5,35A,베이35A,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,66,BLK_66C,1,베이35A 수정,8,2025-07-29 11:43:25,2025-07-29 12:22:48,39.4,35A,베이35A,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,7,BLK_7S,2,판계,1,2025-07-29 08:13:12,2025-07-29 08:46:12,33.0,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,7,BLK_7S,2,전면SAW,2,2025-07-29 09:00:05,2025-07-29 09:32:32,32.5,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,7,BLK_7S,2,TurnOver,3,2025-07-29 09:32:32,2025-07-29 09:45:44,13.2,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,7,BLK_7S,2,후면SAW,4,2025-07-29 09:51:45,2025-07-29 10:11:12,19.4,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,7,BLK_7S,2,NC,5,2025-07-29 10:14:59,2025-07-29 11:08:04,53.1,,공통,raw,
b100_overload_r1,GA,Medium (81-140),100,overload,137.96666666666667,1,20250729,7,BLK_7S,2,베이36B 론지취부,6,2025-07-29 11:08:04,2025-07-29 12:59:10,111.1,36B,베이36B,raw,
