grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,판계,1,2025-07-29 08:00:00,2025-07-29 08:29:42,29.7,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,전면SAW,2,2025-07-29 08:29:42,2025-07-29 11:03:56,154.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,TurnOver,3,2025-07-29 11:03:56,2025-07-29 11:17:08,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,후면SAW,4,2025-07-29 11:17:08,2025-07-29 13:09:39,112.5,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,NC,5,2025-07-29 13:09:39,2025-07-29 13:43:46,34.1,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,베이35A 론지취부,6,2025-07-29 13:43:46,2025-07-29 14:27:09,43.4,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,베이35A 론지용접,7,2025-07-29 14:27:09,2025-07-29 14:43:45,16.6,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,40,BLK_40C,1,베이35A 수정,8,2025-07-29 14:43:45,2025-07-29 15:06:11,22.4,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,판계,1,2025-07-29 08:29:42,2025-07-29 08:42:54,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,전면SAW,2,2025-07-29 11:03:56,2025-07-29 11:51:36,47.7,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,TurnOver,3,2025-07-29 11:51:36,2025-07-29 12:04:48,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,후면SAW,4,2025-07-29 13:09:39,2025-07-29 13:49:09,39.5,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,NC,5,2025-07-29 13:49:09,2025-07-29 14:15:25,26.3,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,베이36B 론지취부,6,2025-07-29 14:15:25,2025-07-29 14:57:13,41.8,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,베이36B 론지용접,7,2025-07-29 14:57:13,2025-07-29 15:16:48,19.6,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,70,BLK_70P,2,베이36B 수정,8,2025-07-29 15:16:48,2025-07-29 15:41:40,24.9,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,판계,1,2025-07-29 08:42:54,2025-07-29 08:56:06,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,전면SAW,2,2025-07-29 11:51:36,2025-07-29 13:03:50,72.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,TurnOver,3,2025-07-29 13:03:50,2025-07-29 13:17:02,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,후면SAW,4,2025-07-29 13:49:09,2025-07-29 15:00:59,71.8,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,NC,5,2025-07-29 15:00:59,2025-07-29 15:26:22,25.4,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,베이35A 론지취부,6,2025-07-29 15:26:22,2025-07-29 16:15:52,49.5,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,베이35A 론지용접,7,2025-07-29 16:15:52,2025-07-29 16:36:46,20.9,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,80,BLK_80P,3,베이35A 수정,8,2025-07-29 16:36:46,2025-07-29 17:06:28,29.7,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,판계,1,2025-07-29 08:56:06,2025-07-29 09:18:06,22.0,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,전면SAW,2,2025-07-29 13:03:50,2025-07-29 13:44:00,40.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,TurnOver,3,2025-07-29 13:44:00,2025-07-29 13:57:12,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,후면SAW,4,2025-07-29 15:00:59,2025-07-29 15:30:36,29.6,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,NC,5,2025-07-29 15:30:36,2025-07-29 16:01:49,31.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,베이36B 론지취부,6,2025-07-29 16:01:49,2025-07-29 16:39:46,38.0,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,베이36B 론지용접,7,2025-07-29 16:39:46,2025-07-29 16:58:41,18.9,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,50,BLK_50S,4,베이36B 수정,8,2025-07-29 16:58:41,2025-07-29 17:21:07,22.4,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,판계,1,2025-07-29 09:18:06,2025-07-29 09:45:36,27.5,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,전면SAW,2,2025-07-29 13:44:00,2025-07-29 14:21:40,37.7,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,TurnOver,3,2025-07-29 14:21:40,2025-07-29 14:34:52,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,후면SAW,4,2025-07-29 15:30:36,2025-07-29 15:56:54,26.3,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,NC,5,2025-07-29 16:01:49,2025-07-29 16:43:24,41.6,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,베이35A 론지취부,6,2025-07-29 16:43:24,2025-07-29 18:11:24,88.0,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,베이35A 론지용접,7,2025-07-29 18:11:24,2025-07-29 18:38:54,27.5,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,1,BLK_1C,5,베이35A 수정,8,2025-07-29 18:38:54,2025-07-29 19:32:48,53.9,35A,베이35A,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,판계,1,2025-07-29 09:45:36,2025-07-29 10:35:06,49.5,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,전면SAW,2,2025-07-29 14:21:40,2025-07-29 17:50:40,209.0,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,TurnOver,3,2025-07-29 17:50:40,2025-07-29 18:03:52,13.2,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,후면SAW,4,2025-07-29 18:03:52,2025-07-29 20:42:26,158.6,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,NC,5,2025-07-29 20:42:26,2025-07-29 21:45:47,63.3,,공통,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,베이36B 론지취부,6,2025-07-29 21:45:47,2025-07-29 23:02:14,76.5,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,베이36B 론지용접,7,2025-07-29 23:02:14,2025-07-29 23:27:45,25.5,36B,베이36B,raw,
b100_overload_r1,MSF,Medium (81-140),100,overload,137.33333333333334,11,20250729,13,BLK_13S,6,베이36B 수정,8,2025-07-29 23:27:45,2025-07-30 00:14:24,46.6,36B,베이36B,raw,
