grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,1,40,BLK_40C,C,fixed,F_10,F_10,2025-04-16,15.5,16,2,0,False,6,35A,False,269.2,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 08:00,2025-04-16 08:20,2025-04-16 12:29,2025-04-16 08:00,2025-04-16 12:29,269.2,4.49,20.0,41.8,12.0,33.9,32.8,66.0,22.6,40.2
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,2,2,BLK_2C,C,line,L_1,L_12,2025-04-16,5.4,8,3,0,False,8,36B,False,388.7,True,NORMAL,False,0,0,1,[],[],[],2025-04-16 08:20,2025-04-16 09:01,2025-04-16 14:57,2025-04-16 08:20,2025-04-16 14:57,417.5,6.96,33.0,111.4,12.0,111.9,35.8,48.0,22.8,13.8
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,3,10,BLK_10S,S,line,L_1,L_12,2025-04-16,14.5,16,3,0,False,4,35A,False,249.7,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 08:53,2025-04-16 10:53,2025-04-16 16:16,2025-04-16 08:53,2025-04-16 16:16,496.6,8.28,25.0,30.3,12.0,18.8,34.8,66.0,22.6,40.2
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,4,50,BLK_50P,P,fixed,F_10,F_10,2025-04-16,21.7,21,5,3,False,10,36B,False,531.1,True,NORMAL,False,0,0,1,[],[],[],2025-04-16 09:18,2025-04-16 11:23,2025-04-16 19:44,2025-04-16 09:18,2025-04-16 19:44,704.6,11.74,30.0,154.9,12.0,111.5,62.3,83.5,25.6,51.2
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,5,1,BLK_1C,C,line,L_1,L_11,2025-04-17,5.4,9,2,0,False,2,35A,False,390.7,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 09:48,2025-04-16 13:58,2025-04-16 19:54,2025-04-16 09:48,2025-04-16 19:54,714.1,11.9,35.0,131.6,12.0,95.4,36.1,41.5,14.4,24.8
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,6,18,BLK_18S,S,line,L_1,L_12,2025-04-16,15.5,14,3,3,False,6,36B,False,545.9,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 10:23,2025-04-16 16:10,2025-04-17 00:35,2025-04-16 10:23,2025-04-17 00:35,995.9,16.6,40.0,188.7,12.0,137.9,51.2,59.0,21.4,35.8
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,7,6,BLK_6P,P,line,L_1,L_12,2025-04-16,19.9,15,5,0,False,8,35A,False,281.5,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 11:03,2025-04-16 19:18,2025-04-17 01:31,2025-04-16 11:03,2025-04-17 01:31,1051.1,17.52,30.0,38.5,12.0,29.6,48.9,62.5,22.0,38.0
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,8,9,BLK_9P,P,line,L_1,L_11,2025-04-17,5.4,7,1,2,False,1,36B,False,441.7,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 11:33,2025-04-16 19:57,2025-04-17 02:51,2025-04-16 11:33,2025-04-17 02:51,1132.0,18.87,27.0,162.1,12.0,141.4,31.1,34.5,13.2,20.4
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,9,96,BLK_6S,S,line,L_1,L_12,2025-04-16,19.9,15,5,0,False,8,35A,False,281.5,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 12:00,2025-04-16 22:39,2025-04-17 04:35,2025-04-16 12:00,2025-04-17 04:35,1235.2,20.59,30.0,38.5,12.0,29.6,48.9,62.5,22.0,38.0
b100_ps_heavy_r1,MSF,Medium (81-140),100,ps_heavy,138.33333333333334,8,20250416,10,26,BLK_26S,S,line,L_1,L_12,2025-04-16,15.9,25,3,1,False,4,36B,False,527.4,True,NORMAL,False,0,0,0,[],[],[],2025-04-16 12:30,2025-04-16 23:17,2025-04-17 07:39,2025-04-16 12:30,2025-04-17 07:39,1419.0,23.65,33.0,125.7,12.0,128.5,42.7,97.5,28.0,60.0
