grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b100_sub_heavy_r1,SPT,1,BLK_1C,1,판계,1,2025-01-28 08:00:00,2025-01-28 08:12:00,12.0,,공통
b100_sub_heavy_r1,SPT,1,BLK_1C,1,전면SAW,2,2025-01-28 08:12:00,2025-01-28 09:00:45,48.8,,공통
b100_sub_heavy_r1,SPT,1,BLK_1C,1,TurnOver,3,2025-01-28 09:00:45,2025-01-28 09:12:45,12.0,,공통
b100_sub_heavy_r1,SPT,1,BLK_1C,1,후면SAW,4,2025-01-28 09:12:45,2025-01-28 09:55:46,43.0,,공통
b100_sub_heavy_r1,SPT,1,BLK_1C,1,NC,5,2025-01-28 09:55:46,2025-01-28 10:16:51,21.1,,공통
b100_sub_heavy_r1,SPT,1,BLK_1C,1,베이35A 론지취부,6,2025-01-28 10:16:51,2025-01-28 11:01:51,45.0,35A,베이35A
b100_sub_heavy_r1,SPT,1,BLK_1C,1,베이35A 론지용접,7,2025-01-28 11:01:51,2025-01-28 11:16:51,15.0,35A,베이35A
b100_sub_heavy_r1,SPT,1,BLK_1C,1,베이35A 수정,8,2025-01-28 11:16:51,2025-01-28 11:43:51,27.0,35A,베이35A
b100_sub_heavy_r1,SPT,17,BLK_17S,2,판계,1,2025-01-28 08:12:00,2025-01-28 08:37:00,25.0,,공통
b100_sub_heavy_r1,SPT,17,BLK_17S,2,전면SAW,2,2025-01-28 09:00:45,2025-01-28 09:32:21,31.6,,공통
b100_sub_heavy_r1,SPT,17,BLK_17S,2,TurnOver,3,2025-01-28 09:32:21,2025-01-28 09:44:21,12.0,,공통
b100_sub_heavy_r1,SPT,17,BLK_17S,2,후면SAW,4,2025-01-28 09:55:46,2025-01-28 10:16:13,20.4,,공통
b100_sub_heavy_r1,SPT,17,BLK_17S,2,NC,5,2025-01-28 10:16:51,2025-01-28 10:51:50,35.0,,공통
b100_sub_heavy_r1,SPT,17,BLK_17S,2,베이36B 론지취부,6,2025-01-28 10:51:50,2025-01-28 11:43:50,52.0,36B,베이36B
b100_sub_heavy_r1,SPT,17,BLK_17S,2,베이36B 론지용접,7,2025-01-28 11:43:50,2025-01-28 12:04:02,20.2,36B,베이36B
b100_sub_heavy_r1,SPT,17,BLK_17S,2,베이36B 수정,8,2025-01-28 12:04:02,2025-01-28 12:35:26,31.4,36B,베이36B
b100_sub_heavy_r1,SPT,25,BLK_25P,3,판계,1,2025-01-28 08:37:00,2025-01-28 08:57:00,20.0,,공통
b100_sub_heavy_r1,SPT,25,BLK_25P,3,전면SAW,2,2025-01-28 09:32:21,2025-01-28 10:08:12,35.9,,공통
b100_sub_heavy_r1,SPT,25,BLK_25P,3,TurnOver,3,2025-01-28 10:08:12,2025-01-28 10:20:12,12.0,,공통
b100_sub_heavy_r1,SPT,25,BLK_25P,3,후면SAW,4,2025-01-28 10:20:12,2025-01-28 10:46:15,26.1,,공통
b100_sub_heavy_r1,SPT,25,BLK_25P,3,NC,5,2025-01-28 10:51:50,2025-01-28 11:23:31,31.7,,공통
b100_sub_heavy_r1,SPT,25,BLK_25P,3,베이35A 론지취부,6,2025-01-28 11:23:31,2025-01-28 12:36:31,73.0,35A,베이35A
b100_sub_heavy_r1,SPT,25,BLK_25P,3,베이35A 론지용접,7,2025-01-28 12:36:31,2025-01-28 13:00:19,23.8,35A,베이35A
b100_sub_heavy_r1,SPT,25,BLK_25P,3,베이35A 수정,8,2025-01-28 13:00:19,2025-01-28 13:44:55,44.6,35A,베이35A
b100_sub_heavy_r1,SPT,9,BLK_9P,4,판계,1,2025-01-28 08:57:00,2025-01-28 09:30:00,33.0,,공통
b100_sub_heavy_r1,SPT,9,BLK_9P,4,전면SAW,2,2025-01-28 10:08:12,2025-01-28 11:32:00,83.8,,공통
b100_sub_heavy_r1,SPT,9,BLK_9P,4,TurnOver,3,2025-01-28 11:32:00,2025-01-28 11:44:00,12.0,,공통
b100_sub_heavy_r1,SPT,9,BLK_9P,4,후면SAW,4,2025-01-28 11:44:00,2025-01-28 12:48:10,64.2,,공통
b100_sub_heavy_r1,SPT,9,BLK_9P,4,NC,5,2025-01-28 12:48:10,2025-01-28 13:26:36,38.4,,공통
b100_sub_heavy_r1,SPT,9,BLK_9P,4,베이36B 론지취부,6,2025-01-28 13:26:36,2025-01-28 14:22:06,55.5,36B,베이36B
b100_sub_heavy_r1,SPT,9,BLK_9P,4,베이36B 론지용접,7,2025-01-28 14:22:06,2025-01-28 14:42:54,20.8,36B,베이36B
b100_sub_heavy_r1,SPT,9,BLK_9P,4,베이36B 수정,8,2025-01-28 14:42:54,2025-01-28 15:16:30,33.6,36B,베이36B
b100_sub_heavy_r1,SPT,5,BLK_5P,5,판계,1,2025-01-28 09:30:00,2025-01-28 10:08:00,38.0,,공통
b100_sub_heavy_r1,SPT,5,BLK_5P,5,전면SAW,2,2025-01-28 11:32:00,2025-01-28 13:00:05,88.1,,공통
b100_sub_heavy_r1,SPT,5,BLK_5P,5,TurnOver,3,2025-01-28 13:00:05,2025-01-28 13:12:05,12.0,,공통
b100_sub_heavy_r1,SPT,5,BLK_5P,5,후면SAW,4,2025-01-28 13:12:05,2025-01-28 14:20:09,68.1,,공통
b100_sub_heavy_r1,SPT,5,BLK_5P,5,NC,5,2025-01-28 14:20:09,2025-01-28 15:05:07,45.0,,공통
b100_sub_heavy_r1,SPT,5,BLK_5P,5,베이35A 론지취부,6,2025-01-28 15:05:07,2025-01-28 16:07:37,62.5,35A,베이35A
b100_sub_heavy_r1,SPT,5,BLK_5P,5,베이35A 론지용접,7,2025-01-28 16:07:37,2025-01-28 16:29:37,22.0,35A,베이35A
b100_sub_heavy_r1,SPT,5,BLK_5P,5,베이35A 수정,8,2025-01-28 16:29:37,2025-01-28 17:07:37,38.0,35A,베이35A
b100_sub_heavy_r1,SPT,69,BLK_69S,6,판계,1,2025-01-28 10:08:00,2025-01-28 10:28:00,20.0,,공통
b100_sub_heavy_r1,SPT,69,BLK_69S,6,전면SAW,2,2025-01-28 13:00:05,2025-01-28 13:34:48,34.7,,공통
b100_sub_heavy_r1,SPT,69,BLK_69S,6,TurnOver,3,2025-01-28 13:34:48,2025-01-28 13:46:48,12.0,,공통
b100_sub_heavy_r1,SPT,69,BLK_69S,6,후면SAW,4,2025-01-28 14:20:09,2025-01-28 14:44:42,24.6,,공통
b100_sub_heavy_r1,SPT,69,BLK_69S,6,NC,5,2025-01-28 15:05:07,2025-01-28 15:31:03,25.9,,공통
b100_sub_heavy_r1,SPT,69,BLK_69S,6,베이36B 론지취부,6,2025-01-28 15:31:03,2025-01-28 15:55:03,24.0,36B,베이36B
b100_sub_heavy_r1,SPT,69,BLK_69S,6,베이36B 론지용접,7,2025-01-28 15:55:03,2025-01-28 16:06:27,11.4,36B,베이36B
b100_sub_heavy_r1,SPT,69,BLK_69S,6,베이36B 수정,8,2025-01-28 16:06:27,2025-01-28 16:20:15,13.8,36B,베이36B
b100_sub_heavy_r1,SPT,39,BLK_39C,7,판계,1,2025-01-28 10:28:00,2025-01-28 10:40:00,12.0,,공통
b100_sub_heavy_r1,SPT,39,BLK_39C,7,전면SAW,2,2025-01-28 13:34:48,2025-01-28 14:12:50,38.0,,공통
b100_sub_heavy_r1,SPT,39,BLK_39C,7,TurnOver,3,2025-01-28 14:12:50,2025-01-28 14:24:50,12.0,,공통
b100_sub_heavy_r1,SPT,39,BLK_39C,7,후면SAW,4,2025-01-28 14:44:42,2025-01-28 15:13:37,28.9,,공통
b100_sub_heavy_r1,SPT,39,BLK_39C,7,NC,5,2025-01-28 15:31:03,2025-01-28 15:52:00,20.9,,공통
b100_sub_heavy_r1,SPT,39,BLK_39C,7,베이35A 론지취부,6,2025-01-28 16:07:37,2025-01-28 16:51:37,44.0,35A,베이35A
b100_sub_heavy_r1,SPT,39,BLK_39C,7,베이35A 론지용접,7,2025-01-28 16:51:37,2025-01-28 17:10:49,19.2,35A,베이35A
b100_sub_heavy_r1,SPT,39,BLK_39C,7,베이35A 수정,8,2025-01-28 17:10:49,2025-01-28 17:26:49,16.0,35A,베이35A
b100_sub_heavy_r1,SPT,59,BLK_59S,8,판계,1,2025-01-28 10:40:00,2025-01-28 10:52:00,12.0,,공통
b100_sub_heavy_r1,SPT,59,BLK_59S,8,전면SAW,2,2025-01-28 14:12:50,2025-01-28 14:54:49,42.0,,공통
b100_sub_heavy_r1,SPT,59,BLK_59S,8,TurnOver,3,2025-01-28 14:54:49,2025-01-28 15:06:49,12.0,,공통
b100_sub_heavy_r1,SPT,59,BLK_59S,8,후면SAW,4,2025-01-28 15:13:37,2025-01-28 15:47:45,34.1,,공통
b100_sub_heavy_r1,SPT,59,BLK_59S,8,NC,5,2025-01-28 15:52:00,2025-01-28 16:13:06,21.1,,공통
b100_sub_heavy_r1,SPT,59,BLK_59S,8,베이36B 론지취부,6,2025-01-28 16:13:06,2025-01-28 16:47:36,34.5,36B,베이36B
b100_sub_heavy_r1,SPT,59,BLK_59S,8,베이36B 론지용접,7,2025-01-28 16:47:36,2025-01-28 17:04:48,17.2,36B,베이36B
b100_sub_heavy_r1,SPT,59,BLK_59S,8,베이36B 수정,8,2025-01-28 17:04:48,2025-01-28 17:25:12,20.4,36B,베이36B
b100_sub_heavy_r1,SPT,49,BLK_49S,9,판계,1,2025-01-28 10:52:00,2025-01-28 11:17:00,25.0,,공통
b100_sub_heavy_r1,SPT,49,BLK_49S,9,전면SAW,2,2025-01-28 14:54:49,2025-01-28 15:28:38,33.8,,공통
b100_sub_heavy_r1,SPT,49,BLK_49S,9,TurnOver,3,2025-01-28 15:28:38,2025-01-28 15:40:38,12.0,,공통
b100_sub_heavy_r1,SPT,49,BLK_49S,9,후면SAW,4,2025-01-28 15:47:45,2025-01-28 16:11:07,23.4,,공통
b100_sub_heavy_r1,SPT,49,BLK_49S,9,NC,5,2025-01-28 16:13:06,2025-01-28 16:43:42,30.6,,공통
b100_sub_heavy_r1,SPT,49,BLK_49S,9,베이35A 론지취부,6,2025-01-28 16:51:37,2025-01-28 17:33:07,41.5,35A,베이35A
b100_sub_heavy_r1,SPT,49,BLK_49S,9,베이35A 론지용접,7,2025-01-28 17:33:07,2025-01-28 17:51:31,18.4,35A,베이35A
b100_sub_heavy_r1,SPT,49,BLK_49S,9,베이35A 수정,8,2025-01-28 17:51:31,2025-01-28 18:16:19,24.8,35A,베이35A
b100_sub_heavy_r1,SPT,89,BLK_89P,10,판계,1,2025-01-28 11:17:00,2025-01-28 11:42:00,25.0,,공통
