grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,1,105,BLK_105P,P,fixed,F_1,F_1,2025-05-09,16.9,20,3,0,False,6,35A,False,284.7,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 08:00,2025-05-09 08:25,2025-05-09 12:44,2025-05-09 08:00,2025-05-09 12:44,284.7,4.75,25.0,33.3,12.0,22.6,37.8,80.0,25.0,49.0
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,2,95,BLK_95S,S,fixed,F_1,F_1,2025-05-09,12.3,16,3,0,False,7,36B,False,289.9,True,NORMAL,False,0,0,1,[],[],[],2025-05-09 08:25,2025-05-09 08:58,2025-05-09 13:23,2025-05-09 08:25,2025-05-09 13:23,323.2,5.39,25.0,47.4,12.0,41.3,35.5,66.0,22.6,40.2
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,3,65,BLK_65S,S,fixed,F_1,F_1,2025-05-09,15.7,19,3,1,False,6,35A,False,431.1,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 08:50,2025-05-09 09:45,2025-05-09 16:23,2025-05-09 08:50,2025-05-09 16:23,503.7,8.4,33.0,110.1,12.0,88.1,40.2,76.5,24.4,46.8
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,4,45,BLK_45C,C,fixed,F_1,F_1,2025-05-09,16.5,23,4,0,False,7,36B,False,555.5,True,NORMAL,False,0,0,1,[],[],[],2025-05-09 09:23,2025-05-09 11:35,2025-05-09 20:06,2025-05-09 09:23,2025-05-09 20:06,726.2,12.1,45.0,157.1,12.0,115.8,52.6,90.5,26.8,55.6
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,5,55,BLK_55C,C,fixed,F_1,F_1,2025-05-09,18.9,22,4,1,False,10,35A,False,485.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 10:08,2025-05-09 14:12,2025-05-09 21:40,2025-05-09 10:08,2025-05-09 21:40,820.5,13.68,38.0,121.1,12.0,98.2,49.7,87.0,26.2,53.4
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,14,BLK_14P,P,line,L_1,L_12,2025-05-10,14.5,12,4,0,False,6,36B,False,235.7,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 10:46,2025-05-09 16:13,2025-05-09 21:18,2025-05-09 10:46,2025-05-09 21:18,820.5,13.68,30.0,30.4,12.0,18.9,40.8,52.0,20.2,31.4
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,7,6,BLK_6P,P,line,L_1,L_12,2025-05-10,21.2,17,5,0,False,9,36B,False,273.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 11:16,2025-05-09 16:44,2025-05-09 22:41,2025-05-09 11:16,2025-05-09 22:41,881.8,14.7,30.0,29.9,12.0,18.2,48.4,69.5,23.2,42.4
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,8,10,BLK_10P,P,line,L_1,L_12,2025-05-10,15.4,14,3,1,False,6,35A,False,348.9,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 3판 연속 → 최대 2판'],2025-05-09 11:46,2025-05-09 17:14,2025-05-09 22:58,2025-05-09 11:46,2025-05-09 22:58,898.4,14.97,33.0,84.1,12.0,64.5,39.1,59.0,21.4,35.8
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,9,2,BLK_2C,C,line,L_1,L_12,2025-05-10,6.7,10,1,0,False,6,36B,False,530.3,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 4판 연속 → 최대 2판'],2025-05-09 12:19,2025-05-09 18:38,2025-05-10 02:49,2025-05-09 12:19,2025-05-10 02:49,1129.7,18.83,39.0,190.0,12.0,156.3,46.0,45.0,15.0,27.0
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,10,18,BLK_18P,P,line,L_1,L_12,2025-05-10,15.6,20,2,2,False,6,35A,False,508.9,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 5판 연속 → 최대 2판'],2025-05-09 12:58,2025-05-09 21:48,2025-05-10 05:44,2025-05-09 12:58,2025-05-10 05:44,1304.4,21.74,35.0,154.3,12.0,113.6,40.1,80.0,25.0,49.0
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,11,15,BLK_15P,P,line,L_2,L_21,2025-05-12,6.4,10,1,0,False,3,36B,False,200.2,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 13:33,2025-05-10 00:22,2025-05-10 04:58,2025-05-09 13:33,2025-05-10 04:58,1304.4,21.74,12.0,38.5,12.0,29.6,21.1,45.0,15.0,27.0
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,12,34,BLK_34C,C,line,L_1,L_12,2025-05-12,6.8,3,2,0,False,3,35A,False,155.7,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 13:45,2025-05-10 01:01,2025-05-10 05:55,2025-05-09 13:45,2025-05-10 05:55,1316.0,21.93,20.0,32.8,12.0,22.0,26.1,20.5,10.8,11.6
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,13,12,BLK_12S,S,line,L_2,L_22,2025-05-12,21.5,8,4,0,False,7,36B,False,204.7,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 14:05,2025-05-10 01:34,2025-05-10 05:54,2025-05-09 14:05,2025-05-10 05:54,1316.0,21.93,30.0,28.9,12.0,16.9,38.4,38.0,17.8,22.6
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,30,BLK_30C,C,line,L_1,L_12,2025-05-12,14.5,11,3,0,False,6,35A,False,213.3,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 14:35,2025-05-10 02:02,2025-05-10 06:45,2025-05-09 14:35,2025-05-10 06:45,1365.7,22.76,25.0,29.2,12.0,17.4,32.4,48.5,19.6,29.2
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,15,22,BLK_22C,C,line,L_1,L_12,2025-05-12,12.0,10,3,0,False,8,36B,False,217.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 15:00,2025-05-10 02:32,2025-05-10 07:14,2025-05-09 15:00,2025-05-10 07:14,1394.9,23.25,25.0,32.4,12.0,21.6,35.6,45.0,19.0,27.0
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,16,13,BLK_13P,P,line,L_1,L_11,2025-05-12,6.7,13,1,0,False,3,35A,False,232.7,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 15:25,2025-05-10 03:04,2025-05-10 07:55,2025-05-09 15:25,2025-05-10 07:55,1435.1,23.92,12.0,42.6,12.0,34.9,21.2,55.5,20.8,33.6
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,17,8,BLK_8P,P,line,L_2,L_22,2025-05-12,12.7,14,4,0,False,7,36B,False,246.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 15:37,2025-05-10 03:47,2025-05-10 08:41,2025-05-09 15:37,2025-05-10 08:41,1481.1,24.68,30.0,30.2,12.0,18.6,39.7,59.0,21.4,35.8
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,18,1,BLK_1C,C,line,L_1,L_11,2025-05-12,12.0,17,2,0,False,5,35A,False,263.0,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 16:07,2025-05-10 04:17,2025-05-10 09:30,2025-05-09 16:07,2025-05-10 09:30,1530.5,25.51,20.0,37.4,12.0,28.0,30.5,69.5,23.2,42.4
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,19,26,BLK_26C,C,line,L_1,L_12,2025-05-12,20.0,16,4,0,False,7,36B,False,263.5,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 16:27,2025-05-10 04:54,2025-05-10 10:05,2025-05-09 16:27,2025-05-10 10:05,1565.7,26.09,30.0,31.2,12.0,20.0,41.5,66.0,22.6,40.2
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,20,38,BLK_38S,S,line,L_1,L_12,2025-05-12,15.4,20,4,0,False,9,35A,False,292.0,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 16:57,2025-05-10 05:26,2025-05-10 11:13,2025-05-09 16:57,2025-05-10 11:13,1633.5,27.22,30.0,32.2,12.0,21.2,42.6,80.0,25.0,49.0
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,21,21,BLK_21P,P,line,L_1,L_11,2025-05-12,19.5,21,5,0,False,9,36B,False,302.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-09 17:27,2025-05-10 05:58,2025-05-10 12:08,2025-05-09 17:27,2025-05-10 12:08,1688.6,28.14,30.0,31.4,12.0,20.1,48.8,83.5,25.6,51.2
