grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,판계,1,2025-05-09 08:00:00,2025-05-09 08:25:00,25.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,전면SAW,2,2025-05-09 08:25:00,2025-05-09 08:58:16,33.3,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,TurnOver,3,2025-05-09 08:58:16,2025-05-09 09:10:16,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,후면SAW,4,2025-05-09 09:10:16,2025-05-09 09:32:55,22.6,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,NC,5,2025-05-09 09:32:55,2025-05-09 10:10:43,37.8,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,베이35A 론지취부,6,2025-05-09 10:10:43,2025-05-09 11:30:43,80.0,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,베이35A 론지용접,7,2025-05-09 11:30:43,2025-05-09 11:55:43,25.0,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,105,BLK_105P,1,베이35A 수정,8,2025-05-09 11:55:43,2025-05-09 12:44:43,49.0,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,판계,1,2025-05-09 08:25:00,2025-05-09 08:50:00,25.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,전면SAW,2,2025-05-09 08:58:16,2025-05-09 09:45:40,47.4,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,TurnOver,3,2025-05-09 09:45:40,2025-05-09 09:57:40,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,후면SAW,4,2025-05-09 09:57:40,2025-05-09 10:38:55,41.3,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,NC,5,2025-05-09 10:38:55,2025-05-09 11:14:22,35.5,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,베이36B 론지취부,6,2025-05-09 11:14:22,2025-05-09 12:20:22,66.0,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,베이36B 론지용접,7,2025-05-09 12:20:22,2025-05-09 12:42:58,22.6,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,95,BLK_95S,2,베이36B 수정,8,2025-05-09 12:42:58,2025-05-09 13:23:10,40.2,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,판계,1,2025-05-09 08:50:00,2025-05-09 09:23:00,33.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,전면SAW,2,2025-05-09 09:45:40,2025-05-09 11:35:44,110.1,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,TurnOver,3,2025-05-09 11:35:44,2025-05-09 11:47:44,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,후면SAW,4,2025-05-09 11:47:44,2025-05-09 13:15:51,88.1,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,NC,5,2025-05-09 13:15:51,2025-05-09 13:56:01,40.2,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,베이35A 론지취부,6,2025-05-09 13:56:01,2025-05-09 15:12:31,76.5,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,베이35A 론지용접,7,2025-05-09 15:12:31,2025-05-09 15:36:55,24.4,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,65,BLK_65S,3,베이35A 수정,8,2025-05-09 15:36:55,2025-05-09 16:23:43,46.8,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,판계,1,2025-05-09 09:23:00,2025-05-09 10:08:00,45.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,전면SAW,2,2025-05-09 11:35:44,2025-05-09 14:12:51,157.1,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,TurnOver,3,2025-05-09 14:12:51,2025-05-09 14:24:51,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,후면SAW,4,2025-05-09 14:24:51,2025-05-09 16:20:40,115.8,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,NC,5,2025-05-09 16:20:40,2025-05-09 17:13:18,52.6,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,베이36B 론지취부,6,2025-05-09 17:13:18,2025-05-09 18:43:48,90.5,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,베이36B 론지용접,7,2025-05-09 18:43:48,2025-05-09 19:10:36,26.8,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,45,BLK_45C,4,베이36B 수정,8,2025-05-09 19:10:36,2025-05-09 20:06:12,55.6,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,판계,1,2025-05-09 10:08:00,2025-05-09 10:46:00,38.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,전면SAW,2,2025-05-09 14:12:51,2025-05-09 16:13:59,121.1,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,TurnOver,3,2025-05-09 16:13:59,2025-05-09 16:25:59,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,후면SAW,4,2025-05-09 16:25:59,2025-05-09 18:04:11,98.2,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,NC,5,2025-05-09 18:04:11,2025-05-09 18:53:54,49.7,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,베이35A 론지취부,6,2025-05-09 18:53:54,2025-05-09 20:20:54,87.0,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,베이35A 론지용접,7,2025-05-09 20:20:54,2025-05-09 20:47:06,26.2,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,55,BLK_55C,5,베이35A 수정,8,2025-05-09 20:47:06,2025-05-09 21:40:30,53.4,35A,베이35A,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,판계,1,2025-05-09 10:46:00,2025-05-09 11:16:00,30.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,전면SAW,2,2025-05-09 16:13:59,2025-05-09 16:44:24,30.4,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,TurnOver,3,2025-05-09 16:44:24,2025-05-09 16:56:24,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,후면SAW,4,2025-05-09 18:04:11,2025-05-09 18:23:06,18.9,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,NC,5,2025-05-09 18:53:54,2025-05-09 19:34:42,40.8,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,베이36B 론지취부,6,2025-05-09 19:34:42,2025-05-09 20:26:42,52.0,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,베이36B 론지용접,7,2025-05-09 20:26:42,2025-05-09 20:46:54,20.2,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,14,BLK_14P,6,베이36B 수정,8,2025-05-09 20:46:54,2025-05-09 21:18:18,31.4,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,판계,1,2025-05-09 11:16:00,2025-05-09 11:46:00,30.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,전면SAW,2,2025-05-09 16:44:24,2025-05-09 17:14:16,29.9,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,TurnOver,3,2025-05-09 17:14:16,2025-05-09 17:26:16,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,후면SAW,4,2025-05-09 18:23:06,2025-05-09 18:41:16,18.2,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,NC,5,2025-05-09 19:34:42,2025-05-09 20:23:09,48.4,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,베이36B 론지취부,6,2025-05-09 20:26:42,2025-05-09 21:36:12,69.5,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,베이36B 론지용접,7,2025-05-09 21:36:12,2025-05-09 21:59:24,23.2,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,6,BLK_6P,7,베이36B 수정,8,2025-05-09 21:59:24,2025-05-09 22:41:48,42.4,36B,베이36B,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,10,BLK_10P,8,판계,1,2025-05-09 11:46:00,2025-05-09 12:19:00,33.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,10,BLK_10P,8,전면SAW,2,2025-05-09 17:14:16,2025-05-09 18:38:25,84.1,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,10,BLK_10P,8,TurnOver,3,2025-05-09 18:38:25,2025-05-09 18:50:25,12.0,,공통,raw,
b110_base_r1,SPT,Medium (81-140),110,base,157.08333333333334,18,20250509,10,BLK_10P,8,후면SAW,4,2025-05-09 18:50:25,2025-05-09 19:54:54,64.5,,공통,raw,
