grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b110_ps_heavy_r1,LPT,1,BLK_1P,1,판계,1,2025-07-24 08:00:00,2025-07-24 08:38:00,38.0,,공통
b110_ps_heavy_r1,LPT,1,BLK_1P,1,전면SAW,2,2025-07-24 08:38:00,2025-07-24 10:17:01,99.0,,공통
b110_ps_heavy_r1,LPT,1,BLK_1P,1,TurnOver,3,2025-07-24 10:17:01,2025-07-24 10:29:01,12.0,,공통
b110_ps_heavy_r1,LPT,1,BLK_1P,1,후면SAW,4,2025-07-24 10:29:01,2025-07-24 11:47:04,78.0,,공통
b110_ps_heavy_r1,LPT,1,BLK_1P,1,NC,5,2025-07-24 11:47:04,2025-07-24 12:36:18,49.2,,공통
b110_ps_heavy_r1,LPT,1,BLK_1P,1,베이35A 론지취부,6,2025-07-24 12:36:18,2025-07-24 13:42:18,66.0,35A,베이35A
b110_ps_heavy_r1,LPT,1,BLK_1P,1,베이35A 론지용접,7,2025-07-24 13:42:18,2025-07-24 14:04:54,22.6,35A,베이35A
b110_ps_heavy_r1,LPT,1,BLK_1P,1,베이35A 수정,8,2025-07-24 14:04:54,2025-07-24 14:45:06,40.2,35A,베이35A
b110_ps_heavy_r1,LPT,106,BLK_1S,2,판계,1,2025-07-24 08:38:00,2025-07-24 09:16:00,38.0,,공통
b110_ps_heavy_r1,LPT,106,BLK_1S,2,전면SAW,2,2025-07-24 10:17:01,2025-07-24 11:56:03,99.0,,공통
b110_ps_heavy_r1,LPT,106,BLK_1S,2,TurnOver,3,2025-07-24 11:56:03,2025-07-24 12:08:03,12.0,,공통
b110_ps_heavy_r1,LPT,106,BLK_1S,2,후면SAW,4,2025-07-24 12:08:03,2025-07-24 13:26:06,78.0,,공통
b110_ps_heavy_r1,LPT,106,BLK_1S,2,NC,5,2025-07-24 13:26:06,2025-07-24 14:15:19,49.2,,공통
b110_ps_heavy_r1,LPT,106,BLK_1S,2,베이36B 론지취부,6,2025-07-24 14:15:19,2025-07-24 15:21:19,66.0,36B,베이36B
b110_ps_heavy_r1,LPT,106,BLK_1S,2,베이36B 론지용접,7,2025-07-24 15:21:19,2025-07-24 15:43:55,22.6,36B,베이36B
b110_ps_heavy_r1,LPT,106,BLK_1S,2,베이36B 수정,8,2025-07-24 15:43:55,2025-07-24 16:24:07,40.2,36B,베이36B
b110_ps_heavy_r1,LPT,5,BLK_5C,3,판계,1,2025-07-24 09:16:00,2025-07-24 09:36:00,20.0,,공통
b110_ps_heavy_r1,LPT,5,BLK_5C,3,전면SAW,2,2025-07-24 11:56:03,2025-07-24 12:50:25,54.4,,공통
b110_ps_heavy_r1,LPT,5,BLK_5C,3,TurnOver,3,2025-07-24 12:50:25,2025-07-24 13:02:25,12.0,,공통
b110_ps_heavy_r1,LPT,5,BLK_5C,3,후면SAW,4,2025-07-24 13:26:06,2025-07-24 14:03:26,37.3,,공통
b110_ps_heavy_r1,LPT,5,BLK_5C,3,NC,5,2025-07-24 14:15:19,2025-07-24 14:39:37,24.3,,공통
b110_ps_heavy_r1,LPT,5,BLK_5C,3,베이35A 론지취부,6,2025-07-24 14:39:37,2025-07-24 15:03:37,24.0,35A,베이35A
b110_ps_heavy_r1,LPT,5,BLK_5C,3,베이35A 론지용접,7,2025-07-24 15:03:37,2025-07-24 15:15:01,11.4,35A,베이35A
b110_ps_heavy_r1,LPT,5,BLK_5C,3,베이35A 수정,8,2025-07-24 15:15:01,2025-07-24 15:28:49,13.8,35A,베이35A
b110_ps_heavy_r1,LPT,9,BLK_9P,4,판계,1,2025-07-24 09:36:00,2025-07-24 10:06:00,30.0,,공통
b110_ps_heavy_r1,LPT,9,BLK_9P,4,전면SAW,2,2025-07-24 12:50:25,2025-07-24 13:21:30,31.1,,공통
b110_ps_heavy_r1,LPT,9,BLK_9P,4,TurnOver,3,2025-07-24 13:21:30,2025-07-24 13:33:30,12.0,,공통
b110_ps_heavy_r1,LPT,9,BLK_9P,4,후면SAW,4,2025-07-24 14:03:26,2025-07-24 14:23:12,19.8,,공통
b110_ps_heavy_r1,LPT,9,BLK_9P,4,NC,5,2025-07-24 14:39:37,2025-07-24 15:21:48,42.2,,공통
b110_ps_heavy_r1,LPT,9,BLK_9P,4,베이36B 론지취부,6,2025-07-24 15:21:48,2025-07-24 16:52:18,90.5,36B,베이36B
b110_ps_heavy_r1,LPT,9,BLK_9P,4,베이36B 론지용접,7,2025-07-24 16:52:18,2025-07-24 17:19:06,26.8,36B,베이36B
b110_ps_heavy_r1,LPT,9,BLK_9P,4,베이36B 수정,8,2025-07-24 17:19:06,2025-07-24 18:14:42,55.6,36B,베이36B
b110_ps_heavy_r1,LPT,33,BLK_33S,5,판계,1,2025-07-24 10:06:00,2025-07-24 10:44:00,38.0,,공통
b110_ps_heavy_r1,LPT,33,BLK_33S,5,전면SAW,2,2025-07-24 13:21:30,2025-07-24 15:07:30,106.0,,공통
b110_ps_heavy_r1,LPT,33,BLK_33S,5,TurnOver,3,2025-07-24 15:07:30,2025-07-24 15:19:30,12.0,,공통
b110_ps_heavy_r1,LPT,33,BLK_33S,5,후면SAW,4,2025-07-24 15:19:30,2025-07-24 16:43:55,84.4,,공통
b110_ps_heavy_r1,LPT,33,BLK_33S,5,NC,5,2025-07-24 16:43:55,2025-07-24 17:29:48,45.9,,공통
b110_ps_heavy_r1,LPT,33,BLK_33S,5,베이35A 론지취부,6,2025-07-24 17:29:48,2025-07-24 18:46:18,76.5,35A,베이35A
b110_ps_heavy_r1,LPT,33,BLK_33S,5,베이35A 론지용접,7,2025-07-24 18:46:18,2025-07-24 19:10:42,24.4,35A,베이35A
b110_ps_heavy_r1,LPT,33,BLK_33S,5,베이35A 수정,8,2025-07-24 19:10:42,2025-07-24 19:57:30,46.8,35A,베이35A
