grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,1,4,BLK_4C,C,line,L_2,L_22,2025-03-14,15.4,22,3,0,False,4,35A,False,573.1,True,NORMAL,False,0,0,0,[],[],[],2025-03-09 08:00,2025-03-09 08:40,2025-03-09 17:33,2025-03-09 08:00,2025-03-09 17:33,573.1,9.55,40.0,175.3,12.0,127.4,51.8,87.0,26.2,53.4
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,2,72,BLK_72S,S,fixed,F_9,F_9,2025-03-16,13.1,8,2,5,False,4,36B,False,468.9,True,NORMAL,False,0,0,1,[],[],[],2025-03-09 08:40,2025-03-09 11:35,2025-03-09 18:37,2025-03-09 08:40,2025-03-09 18:37,637.2,10.62,47.0,159.6,12.0,118.9,52.9,38.0,17.8,22.6
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,3,46,BLK_46C,C,fixed,F_3,F_3,2025-03-16,12.5,18,2,0,False,5,35A,False,430.8,True,NORMAL,False,0,0,0,[],[],[],2025-03-09 09:27,2025-03-09 14:14,2025-03-09 20:58,2025-03-09 09:27,2025-03-09 20:58,778.4,12.97,28.0,118.2,12.0,95.6,35.5,73.0,23.8,44.6
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,4,8,BLK_8C,C,line,L_2,L_22,2025-03-14,19.9,15,6,1,False,8,36B,False,443.6,True,NORMAL,False,0,0,1,[],[],[],2025-03-09 09:55,2025-03-09 16:13,2025-03-09 22:51,2025-03-09 09:55,2025-03-09 22:51,891.8,14.86,45.0,103.7,12.0,102.9,57.6,62.5,22.0,38.0
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,5,45,BLK_45C,C,fixed,F_2,F_2,2025-03-14,5.4,9,1,0,False,5,35A,False,330.3,True,NORMAL,False,0,0,0,[],[],[],2025-03-09 10:40,2025-03-09 17:56,2025-03-09 23:07,2025-03-09 10:40,2025-03-09 23:07,907.1,15.12,20.0,106.6,12.0,85.0,25.9,41.5,14.4,24.8
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,6,17,BLK_17P,P,line,L_1,L_11,2025-03-09,8.3,5,1,2,False,4,36B,False,267.6,True,NORMAL,False,0,0,0,[],[],[],2025-03-09 11:00,2025-03-09 19:43,2025-03-09 23:46,2025-03-09 11:00,2025-03-09 23:46,946.2,15.77,27.0,82.8,12.0,56.4,29.9,27.5,16.0,16.0
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,7,41,BLK_41C,C,line,L_1,L_11,2025-03-11,18.0,24,5,0,False,10,35A,False,336.4,True,NORMAL,False,1,1,1,['ROUTING_WORKSHOP_ORDER'],['WORKSHOP_ORDER_FAMILY'],['후공정 착수 순서 위반: 동일 작업장(L_11)의 1가 먼저 착수해야 함'],2025-03-09 11:27,2025-03-09 21:06,2025-03-10 02:34,2025-03-09 11:27,2025-03-10 02:34,1114.2,18.57,30.0,38.0,12.0,28.9,48.3,94.0,27.4,57.8
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,8,27,BLK_27S,S,line,L_2,L_21,2025-03-13,12.0,13,2,0,False,6,36B,False,257.6,True,NORMAL,False,0,0,0,[],[],[],2025-03-09 11:57,2025-03-09 21:44,2025-03-10 01:53,2025-03-09 11:57,2025-03-10 01:53,1114.2,18.57,20.0,46.6,12.0,40.2,29.0,55.5,20.8,33.6
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,9,24,BLK_24C,C,line,L_2,L_22,2025-03-14,5.4,8,2,0,False,4,35A,False,185.2,True,NORMAL,True,0,0,1,[],[],[],2025-03-09 12:17,2025-03-09 22:30,2025-03-10 02:56,2025-03-09 12:17,2025-03-10 02:56,1136.8,18.95,20.0,32.0,12.0,21.0,25.9,38.0,13.8,22.6
b110_sub_heavy_r1,GA,Medium (81-140),110,sub_heavy,137.51666666666668,5,20250309,9,105,BLK_24C,C,line,L_2,L_22,2025-03-14,5.4,8,2,0,False,4,35A,False,185.2,True,NORMAL,True,0,0,0,[],[],[],2025-03-09 12:17,2025-03-09 22:30,2025-03-10 02:56,2025-03-09 12:17,2025-03-10 02:56,1136.8,18.95,20.0,32.0,12.0,21.0,25.9,38.0,13.8,22.6
