grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b120_heavy_work_r1,MSF,67,BLK_67P,1,35A,249.2,P,fixed,F_1,5.7,10,1,0,0,2025-02-21 08:00,2025-02-21 12:09,2025-02-21 12:09
b120_heavy_work_r1,MSF,47,BLK_47C,2,36B,232.5,C,fixed,F_1,6.7,8,2,0,0,2025-02-21 08:14,2025-02-21 12:33,2025-02-21 12:33
b120_heavy_work_r1,MSF,57,BLK_57P,3,36B,330.7,P,fixed,F_1,22.2,18,5,0,0,2025-02-21 08:38,2025-02-21 14:40,2025-02-21 14:40
b120_heavy_work_r1,MSF,30,BLK_30S,4,35A,444.1,S,line,L_1,5.7,11,1,1,0,2025-02-21 09:14,2025-02-21 17:21,2025-02-21 17:21
b120_heavy_work_r1,MSF,107,BLK_107C,5,36B,295.5,C,fixed,F_1,10.3,14,1,0,0,2025-02-21 09:38,2025-02-21 18:26,2025-02-21 18:26
b120_heavy_work_r1,MSF,7,BLK_7P,6,35A,325.2,P,line,L_2,14.7,11,2,0,0,2025-02-21 09:52,2025-02-21 19:17,2025-02-21 19:17
b120_heavy_work_r1,MSF,6,BLK_6P,7,36B,358.3,P,line,L_1,17.6,17,4,0,0,2025-02-21 10:16,2025-02-21 21:00,2025-02-21 21:00
b120_heavy_work_r1,MSF,22,BLK_22S,8,35A,422.4,S,line,L_1,10.3,13,4,1,0,2025-02-21 10:46,2025-02-21 22:05,2025-02-21 22:05
b120_heavy_work_r1,MSF,3,BLK_3C,9,36B,252.0,C,line,L_2,10.4,10,4,0,0,2025-02-21 11:26,2025-02-21 22:21,2025-02-21 22:21
b120_heavy_work_r1,MSF,11,BLK_11S,10,35A,647.6,S,line,L_2,20.9,26,4,1,0,2025-02-21 11:56,2025-02-22 04:15,2025-02-22 04:15
b120_heavy_work_r1,MSF,2,BLK_2C,11,36B,413.2,C,line,L_1,20.3,27,5,0,0,2025-02-21 12:36,2025-02-22 05:17,2025-02-22 05:17
b120_heavy_work_r1,MSF,10,BLK_10C,12,35A,294.2,C,line,L_1,16.3,14,5,0,0,2025-02-21 13:12,2025-02-22 04:58,2025-02-22 04:58
b120_heavy_work_r1,MSF,77,BLK_77S,13,36B,278.9,S,fixed,F_1,13.1,13,5,0,0,2025-02-21 13:48,2025-02-22 05:57,2025-02-22 05:57
