grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,판계,1,2025-12-01 08:00:00,2025-12-01 08:33:00,33.0,,공통
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,전면SAW,2,2025-12-01 08:33:00,2025-12-01 10:29:30,116.5,,공통
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,TurnOver,3,2025-12-01 10:29:30,2025-12-01 10:41:30,12.0,,공통
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,후면SAW,4,2025-12-01 10:41:30,2025-12-01 12:15:28,94.0,,공통
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,NC,5,2025-12-01 12:15:28,2025-12-01 12:57:00,41.5,,공통
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,베이35A 론지취부,6,2025-12-01 12:57:00,2025-12-01 14:06:30,69.5,35A,베이35A
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,베이35A 론지용접,7,2025-12-01 14:06:30,2025-12-01 14:29:42,23.2,35A,베이35A
b120_mixed_ps_sub_r1,Proposed,9,BLK_9P,1,베이35A 수정,8,2025-12-01 14:29:42,2025-12-01 15:12:06,42.4,35A,베이35A
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,판계,1,2025-12-01 08:33:00,2025-12-01 08:53:00,20.0,,공통
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,전면SAW,2,2025-12-01 10:29:30,2025-12-01 11:19:57,50.5,,공통
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,TurnOver,3,2025-12-01 11:19:57,2025-12-01 11:31:57,12.0,,공통
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,후면SAW,4,2025-12-01 12:15:28,2025-12-01 13:00:45,45.3,,공통
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,NC,5,2025-12-01 13:00:45,2025-12-01 13:30:34,29.8,,공통
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,베이36B 론지취부,6,2025-12-01 13:30:34,2025-12-01 14:36:34,66.0,36B,베이36B
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,베이36B 론지용접,7,2025-12-01 14:36:34,2025-12-01 14:59:10,22.6,36B,베이36B
b120_mixed_ps_sub_r1,Proposed,114,BLK_5S,2,베이36B 수정,8,2025-12-01 14:59:10,2025-12-01 15:39:22,40.2,36B,베이36B
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,판계,1,2025-12-01 08:53:00,2025-12-01 09:31:00,38.0,,공통
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,전면SAW,2,2025-12-01 11:19:57,2025-12-01 13:21:45,121.8,,공통
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,TurnOver,3,2025-12-01 13:21:45,2025-12-01 13:33:45,12.0,,공통
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,후면SAW,4,2025-12-01 13:33:45,2025-12-01 15:37:45,124.0,,공통
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,NC,5,2025-12-01 15:37:45,2025-12-01 16:27:28,49.7,,공통
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,베이35A 론지취부,6,2025-12-01 16:27:28,2025-12-01 18:04:58,97.5,35A,베이35A
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,베이35A 론지용접,7,2025-12-01 18:04:58,2025-12-01 18:32:58,28.0,35A,베이35A
b120_mixed_ps_sub_r1,Proposed,11,BLK_11S,3,베이35A 수정,8,2025-12-01 18:32:58,2025-12-01 19:32:58,60.0,35A,베이35A
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,판계,1,2025-12-01 09:31:00,2025-12-01 09:56:00,25.0,,공통
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,전면SAW,2,2025-12-01 13:21:45,2025-12-01 13:51:49,30.1,,공통
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,TurnOver,3,2025-12-01 13:51:49,2025-12-01 14:03:49,12.0,,공통
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,후면SAW,4,2025-12-01 15:37:45,2025-12-01 15:56:12,18.4,,공통
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,NC,5,2025-12-01 16:27:28,2025-12-01 17:01:40,34.2,,공통
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,베이36B 론지취부,6,2025-12-01 17:01:40,2025-12-01 18:04:10,62.5,36B,베이36B
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,베이36B 론지용접,7,2025-12-01 18:04:10,2025-12-01 18:26:10,22.0,36B,베이36B
b120_mixed_ps_sub_r1,Proposed,1,BLK_1C,4,베이36B 수정,8,2025-12-01 18:26:10,2025-12-01 19:04:10,38.0,36B,베이36B
b120_mixed_ps_sub_r1,Proposed,17,BLK_17P,5,판계,1,2025-12-01 09:56:00,2025-12-01 10:34:00,38.0,,공통
b120_mixed_ps_sub_r1,Proposed,17,BLK_17P,5,전면SAW,2,2025-12-01 13:51:49,2025-12-01 15:24:46,92.9,,공통
b120_mixed_ps_sub_r1,Proposed,17,BLK_17P,5,TurnOver,3,2025-12-01 15:24:46,2025-12-01 15:36:46,12.0,,공통
b120_mixed_ps_sub_r1,Proposed,17,BLK_17P,5,후면SAW,4,2025-12-01 15:56:12,2025-12-01 17:08:42,72.5,,공통
b120_mixed_ps_sub_r1,Proposed,17,BLK_17P,5,NC,5,2025-12-01 17:08:42,2025-12-01 17:55:24,46.7,,공통
