grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,1,77,BLK_77C,C,fixed,F_1,F_1,2025-07-05,18.9,19,4,1,False,9,35A,False,429.9,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 08:00,2025-07-05 08:38,2025-07-05 15:09,2025-07-05 08:00,2025-07-05 15:09,429.9,7.16,38.0,102.5,12.0,81.2,48.5,76.5,24.4,46.8
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,2,13,BLK_13S,S,line,L_1,L_11,2025-07-05,28.9,23,7,0,True,15,36B,False,366.4,True,NORMAL,False,0,0,1,[],[],[],2025-07-05 08:38,2025-07-05 10:20,2025-07-05 16:36,2025-07-05 08:38,2025-07-05 16:36,516.2,8.6,52.0,38.7,12.0,29.8,61.1,90.5,26.8,55.6
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,3,25,BLK_25C,C,line,L_1,L_11,2025-07-05,19.9,18,5,1,False,7,35A,False,387.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 09:30,2025-07-05 10:59,2025-07-05 16:56,2025-07-05 09:30,2025-07-05 16:56,536.3,8.94,30.0,86.0,12.0,66.2,51.5,73.0,23.8,44.6
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,4,47,BLK_47C,C,fixed,F_1,F_1,2025-07-05,18.1,20,4,0,False,7,36B,False,292.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 10:00,2025-07-05 12:25,2025-07-05 17:52,2025-07-05 10:00,2025-07-05 17:52,592.5,9.87,30.0,31.8,12.0,20.7,43.6,80.0,25.0,49.0
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,5,67,BLK_67C,C,fixed,F_1,F_1,2025-07-05,6.7,11,2,1,False,3,35A,False,332.6,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 10:30,2025-07-05 12:56,2025-07-05 18:01,2025-07-05 10:30,2025-07-05 18:01,601.5,10.03,28.0,92.4,12.0,72.0,30.9,48.5,19.6,29.2
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,6,57,BLK_57S,S,fixed,F_1,F_1,2025-07-05,15.4,14,4,0,False,7,36B,False,243.5,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 10:58,2025-07-05 14:29,2025-07-05 18:58,2025-07-05 10:58,2025-07-05 18:58,659.0,10.98,30.0,29.3,12.0,17.4,38.5,59.0,21.4,35.8
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,7,58,BLK_58P,P,fixed,F_10,F_10,2025-07-06,19.2,26,3,1,False,9,35A,False,557.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 11:28,2025-07-05 14:58,2025-07-05 23:42,2025-07-05 11:28,2025-07-05 23:42,942.7,15.71,33.0,135.5,12.0,140.0,44.9,101.0,28.6,62.2
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,8,48,BLK_48C,C,fixed,F_10,F_10,2025-07-06,12.7,12,2,0,False,4,36B,False,532.3,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 12:01,2025-07-05 17:14,2025-07-06 01:31,2025-07-05 12:01,2025-07-06 01:31,1051.4,17.52,35.0,190.0,12.0,151.6,40.1,52.0,20.2,31.4
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250705,9,78,BLK_78S,S,fixed,F_10,F_10,2025-07-06,5.4,14,2,2,False,4,35A,False,420.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-05 12:36,2025-07-05 20:24,2025-07-06 03:21,2025-07-05 12:36,2025-07-06 03:21,1161.3,19.36,35.0,120.2,12.0,101.2,36.2,59.0,21.4,35.8
b120_ps_heavy_r1,LPT,Medium (81-140),120,ps_heavy,195.21666666666667,8,20250706,10,68,BLK_68S,S,fixed,F_10,F_10,2025-07-06,15.4,19,4,0,False,8,36B,False,308.4,True,NORMAL,False,0,0,0,[],[],[],2025-07-06 08:00,2025-07-06 08:30,2025-07-06 13:08,2025-07-06 08:00,2025-07-06 13:08,308.4,5.14,30.0,41.9,12.0,34.0,42.7,76.5,24.4,46.8
