grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b120_ps_heavy_r1,MSF,1,BLK_1C,1,35A,324.2,C,line,L_1,10.0,17,1,0,0,2025-07-05 08:00,2025-07-05 13:24,2025-07-05 13:24
b120_ps_heavy_r1,MSF,21,BLK_21P,2,36B,295.5,P,line,L_1,9.2,10,2,1,0,2025-07-05 08:12,2025-07-05 13:50,2025-07-05 13:50
b120_ps_heavy_r1,MSF,47,BLK_47C,3,35A,292.1,C,fixed,F_1,18.1,20,4,0,0,2025-07-05 08:40,2025-07-05 15:36,2025-07-05 15:36
b120_ps_heavy_r1,MSF,67,BLK_67C,4,36B,332.6,C,fixed,F_1,6.7,11,2,1,0,2025-07-05 09:10,2025-07-05 16:15,2025-07-05 16:15
b120_ps_heavy_r1,MSF,57,BLK_57S,5,35A,243.5,S,fixed,F_1,15.4,14,4,0,0,2025-07-05 09:38,2025-07-05 17:12,2025-07-05 17:12
b120_ps_heavy_r1,MSF,77,BLK_77C,6,36B,429.9,C,fixed,F_1,18.9,19,4,1,0,2025-07-05 10:08,2025-07-05 19:44,2025-07-05 19:44
b120_ps_heavy_r1,MSF,48,BLK_48C,7,35A,532.3,C,fixed,F_10,12.7,12,2,0,0,2025-07-05 10:46,2025-07-05 23:11,2025-07-05 23:11
b120_ps_heavy_r1,MSF,78,BLK_78S,8,36B,420.8,S,fixed,F_10,5.4,14,2,2,0,2025-07-05 11:21,2025-07-06 01:01,2025-07-06 01:01
b120_ps_heavy_r1,MSF,68,BLK_68S,9,35A,308.4,S,fixed,F_10,15.4,19,4,0,0,2025-07-05 11:56,2025-07-06 02:16,2025-07-06 02:16
b120_ps_heavy_r1,MSF,58,BLK_58P,10,36B,557.1,P,fixed,F_10,19.2,26,3,1,0,2025-07-05 12:26,2025-07-06 05:30,2025-07-06 05:30
b120_ps_heavy_r1,MSF,98,BLK_98P,11,35A,290.8,P,fixed,F_10,14.5,20,4,0,0,2025-07-05 12:59,2025-07-06 05:34,2025-07-06 05:34
b120_ps_heavy_r1,MSF,52,BLK_52C,12,36B,408.7,C,fixed,F_5,5.4,10,1,0,0,2025-07-05 13:29,2025-07-06 05:57,2025-07-06 05:57
b120_ps_heavy_r1,MSF,107,BLK_107C,13,35A,175.9,C,fixed,F_1,10.7,6,2,0,0,2025-07-06 08:00,2025-07-06 10:55,2025-07-06 10:55
