grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,1,67,BLK_67P,P,fixed,F_1,F_1,2025-08-08,10.3,9,3,0,False,6,35A,False,212.5,True,NORMAL,False,0,0,0,[],[],[],2025-08-08 08:00,2025-08-08 08:25,2025-08-08 11:32,2025-08-08 08:00,2025-08-08 11:32,212.5,3.54,25.0,33.5,12.0,22.9,34.5,41.5,18.4,24.8
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,2,57,BLK_57S,S,fixed,F_1,F_1,2025-08-08,15.3,15,2,0,False,8,36B,False,258.5,True,NORMAL,False,0,0,1,[],[],[],2025-08-08 08:25,2025-08-08 08:58,2025-08-08 12:56,2025-08-08 08:25,2025-08-08 12:56,296.9,4.95,20.0,40.0,12.0,31.6,32.4,62.5,22.0,38.0
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,3,47,BLK_47C,C,fixed,F_1,F_1,2025-08-08,18.1,19,4,0,False,9,35A,False,433.1,True,NORMAL,False,0,0,0,[],[],[],2025-08-08 08:45,2025-08-08 09:38,2025-08-08 16:21,2025-08-08 08:45,2025-08-08 16:21,501.6,8.36,30.0,105.6,12.0,84.1,53.6,76.5,24.4,46.8
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,4,77,BLK_77P,P,fixed,F_1,F_1,2025-08-08,21.2,30,5,1,False,11,36B,False,485.4,True,NORMAL,False,1,1,2,['P7#10'],['LONGI30_BAY_PREF_FAMILY'],['론지 30개 ≥ 30개인데 B베이 할당됨 (A베이 권장)'],2025-08-08 09:15,2025-08-08 11:24,2025-08-08 18:59,2025-08-08 09:15,2025-08-08 18:59,659.6,10.99,30.0,96.2,12.0,75.5,54.8,115.0,31.0,71.0
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,5,68,BLK_68P,P,fixed,F_10,F_10,2025-08-09,18.1,6,3,0,False,5,35A,False,182.6,True,NORMAL,False,0,0,0,[],[],[],2025-08-08 09:45,2025-08-08 13:00,2025-08-08 17:01,2025-08-08 09:45,2025-08-08 17:01,659.6,10.99,25.0,29.4,12.0,17.6,32.8,31.0,16.6,18.2
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,6,87,BLK_87P,P,fixed,F_1,F_1,2025-08-09,15.7,15,3,0,False,4,36B,False,274.1,True,NORMAL,False,0,0,0,[],[],[],2025-08-08 10:10,2025-08-08 13:29,2025-08-08 19:37,2025-08-08 10:10,2025-08-08 19:37,697.6,11.63,25.0,42.4,12.0,34.6,37.6,62.5,22.0,38.0
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,7,97,BLK_97P,P,fixed,F_1,F_1,2025-08-09,6.4,13,1,0,False,1,35A,False,284.6,True,NORMAL,False,0,0,0,[],[],[],2025-08-08 10:35,2025-08-08 14:12,2025-08-08 18:44,2025-08-08 10:35,2025-08-08 18:44,697.6,11.63,12.0,65.1,12.0,64.5,21.1,55.5,20.8,33.6
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,8,107,BLK_107P,P,fixed,F_1,F_1,2025-08-09,19.9,16,6,0,False,7,36B,False,302.6,True,NORMAL,False,0,0,0,[],[],[],2025-08-08 10:47,2025-08-08 15:17,2025-08-08 20:28,2025-08-08 10:47,2025-08-08 20:28,748.9,12.48,45.0,36.8,12.0,27.4,52.6,66.0,22.6,40.2
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,9,48,BLK_48C,C,fixed,F_10,F_10,2025-08-09,13.9,12,3,0,False,5,35A,False,346.3,True,NORMAL,False,0,0,0,[],[],[],2025-08-08 11:32,2025-08-08 15:54,2025-08-08 21:07,2025-08-08 11:32,2025-08-08 21:07,787.3,13.12,33.0,89.3,12.0,69.2,39.2,52.0,20.2,31.4
b120_sub_heavy_r1,SPT,Medium (81-140),120,sub_heavy,184.4,34,20250808,10,78,BLK_78S,S,fixed,F_10,F_10,2025-08-09,21.2,31,5,0,False,10,36B,False,367.5,True,NORMAL,False,1,1,1,['P7#10'],['LONGI30_BAY_PREF_FAMILY'],['론지 31개 ≥ 30개인데 B베이 할당됨 (A베이 권장)'],2025-08-08 12:05,2025-08-08 17:23,2025-08-08 23:58,2025-08-08 12:05,2025-08-08 23:58,958.0,15.97,30.0,31.2,12.0,19.9,51.0,118.5,31.6,73.2
