grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,판계,1,2025-04-23 08:00:00,2025-04-23 08:45:00,45.0,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,전면SAW,2,2025-04-23 08:45:00,2025-04-23 11:06:27,141.5,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,TurnOver,3,2025-04-23 11:06:27,2025-04-23 11:18:27,12.0,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,후면SAW,4,2025-04-23 11:18:27,2025-04-23 13:01:45,103.3,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,NC,5,2025-04-23 13:01:45,2025-04-23 13:53:18,51.5,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,베이35A 론지취부,6,2025-04-23 13:53:18,2025-04-23 15:09:48,76.5,35A,베이35A,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,베이35A 론지용접,7,2025-04-23 15:09:48,2025-04-23 15:34:12,24.4,35A,베이35A,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,37,BLK_37P,1,베이35A 수정,8,2025-04-23 15:34:12,2025-04-23 16:21:00,46.8,35A,베이35A,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,1,BLK_1C,2,판계,1,2025-04-23 08:45:00,2025-04-23 08:57:00,12.0,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,1,BLK_1C,2,전면SAW,2,2025-04-23 11:06:27,2025-04-23 12:10:04,63.6,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,1,BLK_1C,2,TurnOver,3,2025-04-23 12:10:04,2025-04-23 12:22:04,12.0,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,1,BLK_1C,2,후면SAW,4,2025-04-23 13:01:45,2025-04-23 14:04:21,62.6,,공통,raw,
b130_base_r1,Proposed,Medium (81-140),130,base,176.43333333333334,2,20250423,1,BLK_1C,2,NC,5,2025-04-23 14:04:21,2025-04-23 14:25:27,21.1,,공통,raw,
