grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,판계,1,2025-05-08 08:00:00,2025-05-08 08:45:00,45.0,,공통
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,전면SAW,2,2025-05-08 08:45:00,2025-05-08 10:27:49,102.8,,공통
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,TurnOver,3,2025-05-08 10:27:49,2025-05-08 10:39:49,12.0,,공통
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,후면SAW,4,2025-05-08 10:39:49,2025-05-08 12:21:42,101.9,,공통
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,NC,5,2025-05-08 12:21:42,2025-05-08 13:19:00,57.3,,공통
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,베이36B 론지취부,6,2025-05-08 13:19:00,2025-05-08 14:32:00,73.0,36B,베이36B
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,베이36B 론지용접,7,2025-05-08 14:32:00,2025-05-08 14:55:48,23.8,36B,베이36B
b130_mixed_ps_sub_r1,LPT,79,BLK_79C,1,베이36B 수정,8,2025-05-08 14:55:48,2025-05-08 15:40:24,44.6,36B,베이36B
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,판계,1,2025-05-08 08:45:00,2025-05-08 09:15:00,30.0,,공통
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,전면SAW,2,2025-05-08 10:27:49,2025-05-08 11:00:01,32.2,,공통
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,TurnOver,3,2025-05-08 11:00:01,2025-05-08 11:12:01,12.0,,공통
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,후면SAW,4,2025-05-08 12:21:42,2025-05-08 12:42:58,21.3,,공통
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,NC,5,2025-05-08 13:19:00,2025-05-08 14:08:42,49.7,,공통
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,베이36B 론지취부,6,2025-05-08 14:32:00,2025-05-08 16:06:00,94.0,36B,베이36B
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,베이36B 론지용접,7,2025-05-08 16:06:00,2025-05-08 16:33:24,27.4,36B,베이36B
b130_mixed_ps_sub_r1,LPT,59,BLK_59C,2,베이36B 수정,8,2025-05-08 16:33:24,2025-05-08 17:31:12,57.8,36B,베이36B
b130_mixed_ps_sub_r1,LPT,49,BLK_49C,3,판계,1,2025-05-08 09:15:00,2025-05-08 09:53:00,38.0,,공통
b130_mixed_ps_sub_r1,LPT,49,BLK_49C,3,전면SAW,2,2025-05-08 11:00:01,2025-05-08 12:22:40,82.6,,공통
b130_mixed_ps_sub_r1,LPT,49,BLK_49C,3,TurnOver,3,2025-05-08 12:22:40,2025-05-08 12:34:40,12.0,,공통
b130_mixed_ps_sub_r1,LPT,49,BLK_49C,3,후면SAW,4,2025-05-08 12:42:58,2025-05-08 13:46:04,63.1,,공통
b130_mixed_ps_sub_r1,LPT,49,BLK_49C,3,NC,5,2025-05-08 14:08:42,2025-05-08 14:51:49,43.1,,공통
