grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b130_overload_r1,GA,1,BLK_1C,1,35A,250.3,C,line,L_1,6.4,13,1,0,0,2025-03-17 08:00,2025-03-17 12:10,2025-03-17 12:10
b130_overload_r1,GA,9,BLK_9C,2,36B,372.5,C,line,L_1,19.9,27,6,0,0,2025-03-17 08:13,2025-03-17 14:41,2025-03-17 14:41
b130_overload_r1,GA,14,BLK_14C,3,35A,387.5,C,line,L_1,15.7,20,2,0,0,2025-03-17 08:46,2025-03-17 15:36,2025-03-17 15:36
b130_overload_r1,GA,6,BLK_6S,4,36B,353.8,S,line,L_1,5.4,8,2,1,0,2025-03-17 09:08,2025-03-17 16:07,2025-03-17 16:07
b130_overload_r1,GA,51,BLK_51C,5,35A,256.5,C,fixed,F_1,18.1,13,4,0,0,2025-03-17 09:39,2025-03-17 17:29,2025-03-17 17:29
b130_overload_r1,GA,25,BLK_25P,6,36B,450.8,P,line,L_1,19.2,18,6,1,0,2025-03-17 10:12,2025-03-17 20:01,2025-03-17 20:01
b130_overload_r1,GA,61,BLK_61C,7,35A,295.5,C,fixed,F_1,20.0,16,6,0,1,2025-03-17 10:45,2025-03-17 20:38,2025-03-17 20:38
b130_overload_r1,GA,121,BLK_121S,8,36B,403.4,S,fixed,F_1,15.4,8,2,2,0,2025-03-17 11:18,2025-03-17 21:20,2025-03-17 21:20
b130_overload_r1,GA,2,BLK_2C,9,35A,308.8,C,line,L_1,15.5,18,4,0,0,2025-03-17 11:56,2025-03-17 23:21,2025-03-17 23:21
b130_overload_r1,GA,5,BLK_5C,10,36B,487.1,C,line,L_1,15.4,20,3,1,0,2025-03-17 12:29,2025-03-18 01:29,2025-03-18 01:29
b130_overload_r1,GA,10,BLK_10S,11,35A,238.4,S,line,L_1,5.4,11,1,0,0,2025-03-17 13:05,2025-03-18 00:50,2025-03-18 00:50
b130_overload_r1,GA,13,BLK_13C,12,36B,291.0,C,line,L_1,15.5,16,6,0,0,2025-03-17 13:19,2025-03-18 02:30,2025-03-18 02:30
b130_overload_r1,GA,17,BLK_17C,13,35A,242.6,C,line,L_1,8.2,12,1,0,0,2025-03-17 13:52,2025-03-18 02:11,2025-03-18 02:11
b130_overload_r1,GA,18,BLK_18S,14,36B,484.0,S,line,L_1,9.9,10,2,2,0,2025-03-17 14:05,2025-03-18 05:29,2025-03-18 05:29
b130_overload_r1,GA,21,BLK_21C,15,35A,255.1,C,line,L_1,12.7,12,2,0,0,2025-03-17 14:43,2025-03-18 06:16,2025-03-18 06:16
b130_overload_r1,GA,55,BLK_55C,16,36B,232.3,C,fixed,F_4,18.1,11,3,0,0,2025-03-17 15:05,2025-03-18 06:45,2025-03-18 06:45
b130_overload_r1,GA,41,BLK_41P,17,35A,484.4,P,line,L_1,15.7,16,3,1,0,2025-03-17 15:33,2025-03-18 09:32,2025-03-18 09:32
b130_overload_r1,GA,119,BLK_119P,18,36B,374.1,P,fixed,F_8,21.5,26,6,0,0,2025-03-17 16:09,2025-03-18 11:37,2025-03-18 11:37
b130_overload_r1,GA,22,BLK_22C,19,35A,254.8,C,line,L_1,10.3,12,3,0,0,2025-03-17 16:42,2025-03-18 10:38,2025-03-18 10:38
b130_overload_r1,GA,71,BLK_71S,20,36B,314.9,S,fixed,F_1,18.0,20,4,0,0,2025-03-17 17:10,2025-03-18 12:47,2025-03-18 12:47
b130_overload_r1,GA,33,BLK_33S,21,35A,333.8,S,line,L_1,17.3,21,6,0,0,2025-03-18 08:00,2025-03-18 13:33,2025-03-18 13:33
b130_overload_r1,GA,81,BLK_81C,22,36B,290.7,C,fixed,F_1,14.6,17,3,0,0,2025-03-18 08:33,2025-03-18 13:54,2025-03-18 13:54
b130_overload_r1,GA,91,BLK_91S,23,35A,295.4,S,fixed,F_1,19.9,14,4,0,0,2025-03-18 09:00,2025-03-18 14:17,2025-03-18 14:17
b130_overload_r1,GA,101,BLK_101S,24,36B,221.8,S,fixed,F_1,11.9,9,3,0,0,2025-03-18 09:33,2025-03-18 14:21,2025-03-18 14:21
b130_overload_r1,GA,80,BLK_80C,25,35A,323.3,C,fixed,F_9,9.9,18,4,0,0,2025-03-18 10:01,2025-03-18 15:55,2025-03-18 15:55
b130_overload_r1,GA,49,BLK_49C,26,36B,284.9,C,line,L_1,8.3,13,3,0,0,2025-03-18 10:34,2025-03-18 16:02,2025-03-18 16:02
b130_overload_r1,GA,26,BLK_26S,27,35A,467.3,S,line,L_1,19.9,12,6,2,0,2025-03-18 11:01,2025-03-18 19:47,2025-03-18 19:47
b130_overload_r1,GA,4,BLK_4C,28,36B,500.1,C,line,L_2,18.1,20,4,0,0,2025-03-18 11:34,2025-03-18 22:34,2025-03-18 22:34
b130_overload_r1,GA,3,BLK_3C,29,35A,358.5,C,line,L_2,19.9,24,4,0,0,2025-03-18 12:16,2025-03-18 23:56,2025-03-18 23:56
b130_overload_r1,GA,128,BLK_3C,29,35A,358.5,C,line,L_2,19.9,24,4,0,0,2025-03-18 12:16,2025-03-18 23:56,2025-03-18 23:56
b130_overload_r1,GA,7,BLK_7S,30,36B,537.2,S,line,L_2,21.2,27,6,1,0,2025-03-18 12:49,2025-03-19 02:00,2025-03-19 02:00
b130_overload_r1,GA,30,BLK_30S,31,35A,305.1,S,line,L_1,19.9,17,4,0,0,2025-03-18 13:22,2025-03-19 01:39,2025-03-19 01:39
b130_overload_r1,GA,34,BLK_34S,32,36B,186.7,S,line,L_1,6.4,5,2,0,0,2025-03-18 13:55,2025-03-19 02:18,2025-03-19 02:18
b130_overload_r1,GA,12,BLK_12C,33,36B,642.8,C,line,L_2,28.9,30,7,1,1,2025-03-18 14:17,2025-03-19 06:30,2025-03-19 06:30
b130_overload_r1,GA,116,BLK_116C,34,35A,289.0,C,fixed,F_5,14.6,17,3,0,0,2025-03-18 15:06,2025-03-19 05:40,2025-03-19 05:40
b130_overload_r1,GA,8,BLK_8S,35,36B,328.9,S,line,L_2,14.5,16,2,0,0,2025-03-18 15:34,2025-03-19 07:14,2025-03-19 07:14
b130_overload_r1,GA,42,BLK_42P,36,35A,310.8,P,line,L_1,19.3,20,6,0,0,2025-03-18 15:56,2025-03-19 07:25,2025-03-19 07:25
b130_overload_r1,GA,24,BLK_24C,37,36B,535.0,C,line,L_2,18.8,18,3,1,0,2025-03-18 16:29,2025-03-19 09:16,2025-03-19 09:16
b130_overload_r1,GA,20,BLK_20P,38,35A,210.5,P,line,L_2,12.0,8,2,0,0,2025-03-19 08:00,2025-03-19 11:30,2025-03-19 11:30
b130_overload_r1,GA,84,BLK_84C,39,36B,244.5,C,fixed,F_3,16.8,11,4,0,0,2025-03-19 08:22,2025-03-19 12:32,2025-03-19 12:32
b130_overload_r1,GA,62,BLK_62P,40,35A,439.9,P,fixed,F_10,5.4,6,1,2,0,2025-03-19 08:55,2025-03-19 16:19,2025-03-19 16:19
b130_overload_r1,GA,65,BLK_65P,41,36B,284.3,P,fixed,F_4,19.4,15,6,0,0,2025-03-19 09:24,2025-03-19 18:17,2025-03-19 18:17
b130_overload_r1,GA,16,BLK_16P,42,35A,265.3,P,line,L_2,15.6,13,4,0,0,2025-03-19 09:57,2025-03-19 18:49,2025-03-19 18:49
b130_overload_r1,GA,45,BLK_45P,43,36B,467.7,P,line,L_1,15.9,21,4,1,0,2025-03-19 10:30,2025-03-19 20:36,2025-03-19 20:36
b130_overload_r1,GA,72,BLK_72C,44,35A,351.0,C,fixed,F_10,19.9,24,6,0,0,2025-03-19 11:12,2025-03-19 21:50,2025-03-19 21:50
b130_overload_r1,GA,102,BLK_102C,45,36B,343.3,C,fixed,F_10,19.9,23,3,0,0,2025-03-19 11:45,2025-03-19 22:26,2025-03-19 22:26
b130_overload_r1,GA,115,BLK_115C,46,35A,346.9,C,fixed,F_4,19.9,23,4,0,0,2025-03-19 12:13,2025-03-19 23:27,2025-03-19 23:27
b130_overload_r1,GA,11,BLK_11S,47,36B,304.9,S,line,L_2,6.7,8,1,1,0,2025-03-19 12:46,2025-03-19 22:51,2025-03-19 22:51
b130_overload_r1,GA,15,BLK_15C,48,35A,377.1,C,line,L_2,17.2,24,4,0,0,2025-03-19 13:08,2025-03-20 01:13,2025-03-20 01:13
b130_overload_r1,GA,82,BLK_82C,49,36B,400.4,C,fixed,F_10,18.1,4,6,2,0,2025-03-19 13:41,2025-03-20 01:14,2025-03-20 01:14
b130_overload_r1,GA,52,BLK_52C,50,35A,544.2,C,fixed,F_10,20.0,31,4,0,0,2025-03-19 14:14,2025-03-20 05:41,2025-03-20 05:41
b130_overload_r1,GA,32,BLK_32P,51,36B,445.2,P,line,L_2,15.9,18,3,1,0,2025-03-19 14:55,2025-03-20 05:50,2025-03-20 05:50
b130_overload_r1,GA,40,BLK_40P,52,36B,443.9,P,line,L_2,28.9,15,9,1,1,2025-03-19 15:32,2025-03-20 07:12,2025-03-20 07:12
b130_overload_r1,GA,46,BLK_46C,53,35A,233.2,C,line,L_1,14.7,10,3,0,1,2025-03-20 08:00,2025-03-20 11:53,2025-03-20 11:53
b130_overload_r1,GA,120,BLK_120P,54,36B,465.9,P,fixed,F_9,19.9,21,4,1,0,2025-03-20 08:27,2025-03-20 16:13,2025-03-20 16:13
b130_overload_r1,GA,53,BLK_53C,55,35A,356.1,C,fixed,F_2,16.8,25,4,0,0,2025-03-20 09:09,2025-03-20 17:33,2025-03-20 17:33
b130_overload_r1,GA,57,BLK_57C,56,36B,346.6,C,fixed,F_6,10.3,8,3,0,0,2025-03-20 09:42,2025-03-20 16:34,2025-03-20 16:34
b130_overload_r1,GA,58,BLK_58C,57,35A,336.6,C,fixed,F_7,18.9,18,4,0,0,2025-03-20 10:18,2025-03-20 18:31,2025-03-20 18:31
