grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,판계,1,2025-08-20 08:00:00,2025-08-20 08:12:00,12.0,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,전면SAW,2,2025-08-20 08:12:00,2025-08-20 09:03:37,51.6,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,TurnOver,3,2025-08-20 09:03:37,2025-08-20 09:15:37,12.0,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,후면SAW,4,2025-08-20 09:15:37,2025-08-20 10:02:25,46.8,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,NC,5,2025-08-20 10:02:25,2025-08-20 10:23:01,20.6,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,베이35A 론지취부,6,2025-08-20 10:23:01,2025-08-20 11:04:21,41.3,35A,베이35A,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,베이35A 론지용접,7,2025-08-20 11:04:21,2025-08-20 11:21:09,16.8,35A,베이35A,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,3,BLK_3C,1,베이35A 수정,8,2025-08-20 11:21:09,2025-08-20 11:39:21,18.2,35A,베이35A,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,판계,1,2025-08-20 08:12:00,2025-08-20 08:47:00,35.0,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,전면SAW,2,2025-08-20 09:03:37,2025-08-20 11:26:22,142.8,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,TurnOver,3,2025-08-20 11:26:22,2025-08-20 11:38:22,12.0,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,후면SAW,4,2025-08-20 11:38:22,2025-08-20 13:22:41,104.3,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,NC,5,2025-08-20 13:22:41,2025-08-20 14:02:28,39.8,,공통,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,베이36B 론지취부,6,2025-08-20 14:02:28,2025-08-20 15:08:28,66.0,36B,베이36B,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,베이36B 론지용접,7,2025-08-20 15:08:28,2025-08-20 15:31:04,22.6,36B,베이36B,raw,
b130_ps_heavy_r1,MSF,Medium (81-140),130,ps_heavy,185.58333333333331,9,20250820,92,BLK_92P,2,베이36B 수정,8,2025-08-20 15:31:04,2025-08-20 16:11:16,40.2,36B,베이36B,raw,
