grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b130_ps_heavy_r1,SPT,3,BLK_3C,1,35A,219.4,C,line,L_2,5.4,8,1,0,0,2025-08-20 08:00,2025-08-20 11:39,2025-08-20 11:39
b130_ps_heavy_r1,SPT,11,BLK_11S,2,36B,237.2,S,line,L_2,12.1,13,3,0,0,2025-08-20 08:12,2025-08-20 12:49,2025-08-20 12:49
b130_ps_heavy_r1,SPT,62,BLK_62C,3,35A,276.9,C,fixed,F_10,13.6,18,3,0,0,2025-08-20 08:37,2025-08-20 13:58,2025-08-20 13:58
b130_ps_heavy_r1,SPT,72,BLK_72S,4,36B,377.9,S,fixed,F_10,12.6,17,3,1,0,2025-08-20 09:02,2025-08-20 15:57,2025-08-20 15:57
b130_ps_heavy_r1,SPT,52,BLK_52C,5,35A,421.4,C,fixed,F_10,16.9,16,4,0,0,2025-08-20 09:35,2025-08-20 18:04,2025-08-20 18:04
b130_ps_heavy_r1,SPT,92,BLK_92P,6,36B,462.7,P,fixed,F_10,12.7,16,2,2,0,2025-08-20 10:13,2025-08-20 20:36,2025-08-20 20:36
b130_ps_heavy_r1,SPT,82,BLK_82S,7,35A,223.6,S,fixed,F_10,9.9,12,2,0,0,2025-08-20 10:48,2025-08-20 20:39,2025-08-20 20:39
b130_ps_heavy_r1,SPT,112,BLK_112S,8,36B,241.4,S,fixed,F_10,15.7,15,3,0,0,2025-08-20 11:08,2025-08-20 21:36,2025-08-20 21:36
b130_ps_heavy_r1,SPT,61,BLK_61S,9,35A,279.8,S,fixed,F_1,14.7,15,3,0,0,2025-08-20 11:33,2025-08-20 22:07,2025-08-20 22:07
b130_ps_heavy_r1,SPT,102,BLK_102S,10,36B,294.5,S,fixed,F_10,19.0,21,5,0,0,2025-08-20 11:58,2025-08-20 23:32,2025-08-20 23:32
b130_ps_heavy_r1,SPT,71,BLK_71S,11,35A,400.5,S,fixed,F_1,12.6,14,3,1,0,2025-08-20 12:28,2025-08-21 00:18,2025-08-21 00:18
b130_ps_heavy_r1,SPT,51,BLK_51C,12,36B,515.2,C,fixed,F_1,19.9,24,4,0,0,2025-08-20 13:01,2025-08-21 04:07,2025-08-21 04:07
b130_ps_heavy_r1,SPT,81,BLK_81C,13,35A,402.6,C,fixed,F_1,12.6,18,4,1,0,2025-08-20 13:31,2025-08-21 04:33,2025-08-21 04:33
b130_ps_heavy_r1,SPT,7,BLK_7C,14,36B,428.4,C,line,L_2,13.6,15,4,1,1,2025-08-20 14:09,2025-08-21 06:04,2025-08-21 06:04
b130_ps_heavy_r1,SPT,15,BLK_15P,15,35A,545.3,P,line,L_2,18.6,23,4,2,1,2025-08-20 14:47,2025-08-21 09:39,2025-08-21 09:39
b130_ps_heavy_r1,SPT,53,BLK_53C,16,36B,183.5,C,fixed,F_2,14.5,8,2,0,0,2025-08-20 15:32,2025-08-21 08:34,2025-08-21 08:34
b130_ps_heavy_r1,SPT,13,BLK_13P,17,35A,233.8,P,line,L_1,15.6,13,2,0,0,2025-08-20 15:52,2025-08-21 10:13,2025-08-21 10:13
b130_ps_heavy_r1,SPT,12,BLK_12S,18,36B,235.6,S,line,L_2,16.9,14,2,0,0,2025-08-20 16:12,2025-08-21 10:08,2025-08-21 10:08
b130_ps_heavy_r1,SPT,73,BLK_73C,19,35A,236.5,C,fixed,F_2,11.9,14,2,0,0,2025-08-20 16:32,2025-08-21 11:09,2025-08-21 11:09
b130_ps_heavy_r1,SPT,16,BLK_16S,20,36B,250.7,S,line,L_2,16.7,13,4,0,0,2025-08-20 16:52,2025-08-21 11:13,2025-08-21 11:13
b130_ps_heavy_r1,SPT,57,BLK_57C,21,35A,263.6,C,fixed,F_6,12.6,9,1,0,0,2025-08-20 17:22,2025-08-21 11:36,2025-08-21 11:36
b130_ps_heavy_r1,SPT,25,BLK_25S,22,36B,255.6,S,line,L_1,16.6,16,3,0,0,2025-08-21 08:00,2025-08-21 12:30,2025-08-21 12:30
