grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b130_ps_heavy_r1,SPT,3,BLK_3C,1,판계,1,2025-08-20 08:00:00,2025-08-20 08:12:00,12.0,,공통
b130_ps_heavy_r1,SPT,3,BLK_3C,1,전면SAW,2,2025-08-20 08:12:00,2025-08-20 09:03:37,51.6,,공통
b130_ps_heavy_r1,SPT,3,BLK_3C,1,TurnOver,3,2025-08-20 09:03:37,2025-08-20 09:15:37,12.0,,공통
b130_ps_heavy_r1,SPT,3,BLK_3C,1,후면SAW,4,2025-08-20 09:15:37,2025-08-20 10:02:25,46.8,,공통
b130_ps_heavy_r1,SPT,3,BLK_3C,1,NC,5,2025-08-20 10:02:25,2025-08-20 10:23:01,20.6,,공통
b130_ps_heavy_r1,SPT,3,BLK_3C,1,베이35A 론지취부,6,2025-08-20 10:23:01,2025-08-20 11:04:21,41.3,35A,베이35A
b130_ps_heavy_r1,SPT,3,BLK_3C,1,베이35A 론지용접,7,2025-08-20 11:04:21,2025-08-20 11:21:09,16.8,35A,베이35A
b130_ps_heavy_r1,SPT,3,BLK_3C,1,베이35A 수정,8,2025-08-20 11:21:09,2025-08-20 11:39:21,18.2,35A,베이35A
b130_ps_heavy_r1,SPT,11,BLK_11S,2,판계,1,2025-08-20 08:12:00,2025-08-20 08:37:00,25.0,,공통
b130_ps_heavy_r1,SPT,11,BLK_11S,2,전면SAW,2,2025-08-20 09:03:37,2025-08-20 09:36:31,32.9,,공통
b130_ps_heavy_r1,SPT,11,BLK_11S,2,TurnOver,3,2025-08-20 09:36:31,2025-08-20 09:48:31,12.0,,공통
b130_ps_heavy_r1,SPT,11,BLK_11S,2,후면SAW,4,2025-08-20 10:02:25,2025-08-20 10:24:36,22.2,,공통
b130_ps_heavy_r1,SPT,11,BLK_11S,2,NC,5,2025-08-20 10:24:36,2025-08-20 10:59:48,35.2,,공통
b130_ps_heavy_r1,SPT,11,BLK_11S,2,베이36B 론지취부,6,2025-08-20 10:59:48,2025-08-20 11:55:18,55.5,36B,베이36B
b130_ps_heavy_r1,SPT,11,BLK_11S,2,베이36B 론지용접,7,2025-08-20 11:55:18,2025-08-20 12:16:06,20.8,36B,베이36B
b130_ps_heavy_r1,SPT,11,BLK_11S,2,베이36B 수정,8,2025-08-20 12:16:06,2025-08-20 12:49:42,33.6,36B,베이36B
b130_ps_heavy_r1,SPT,62,BLK_62C,3,판계,1,2025-08-20 08:37:00,2025-08-20 09:02:00,25.0,,공통
b130_ps_heavy_r1,SPT,62,BLK_62C,3,전면SAW,2,2025-08-20 09:36:31,2025-08-20 10:12:16,35.7,,공통
b130_ps_heavy_r1,SPT,62,BLK_62C,3,TurnOver,3,2025-08-20 10:12:16,2025-08-20 10:24:16,12.0,,공통
b130_ps_heavy_r1,SPT,62,BLK_62C,3,후면SAW,4,2025-08-20 10:24:36,2025-08-20 10:50:30,25.9,,공통
b130_ps_heavy_r1,SPT,62,BLK_62C,3,NC,5,2025-08-20 10:59:48,2025-08-20 11:36:39,36.8,,공통
b130_ps_heavy_r1,SPT,62,BLK_62C,3,베이35A 론지취부,6,2025-08-20 11:36:39,2025-08-20 12:49:39,73.0,35A,베이35A
b130_ps_heavy_r1,SPT,62,BLK_62C,3,베이35A 론지용접,7,2025-08-20 12:49:39,2025-08-20 13:13:27,23.8,35A,베이35A
b130_ps_heavy_r1,SPT,62,BLK_62C,3,베이35A 수정,8,2025-08-20 13:13:27,2025-08-20 13:58:03,44.6,35A,베이35A
b130_ps_heavy_r1,SPT,72,BLK_72S,4,판계,1,2025-08-20 09:02:00,2025-08-20 09:35:00,33.0,,공통
b130_ps_heavy_r1,SPT,72,BLK_72S,4,전면SAW,2,2025-08-20 10:12:16,2025-08-20 11:41:10,88.9,,공통
b130_ps_heavy_r1,SPT,72,BLK_72S,4,TurnOver,3,2025-08-20 11:41:10,2025-08-20 11:53:10,12.0,,공통
b130_ps_heavy_r1,SPT,72,BLK_72S,4,후면SAW,4,2025-08-20 11:53:10,2025-08-20 13:02:00,68.8,,공통
b130_ps_heavy_r1,SPT,72,BLK_72S,4,NC,5,2025-08-20 13:02:00,2025-08-20 13:42:02,40.0,,공통
b130_ps_heavy_r1,SPT,72,BLK_72S,4,베이36B 론지취부,6,2025-08-20 13:42:02,2025-08-20 14:51:32,69.5,36B,베이36B
b130_ps_heavy_r1,SPT,72,BLK_72S,4,베이36B 론지용접,7,2025-08-20 14:51:32,2025-08-20 15:14:44,23.2,36B,베이36B
b130_ps_heavy_r1,SPT,72,BLK_72S,4,베이36B 수정,8,2025-08-20 15:14:44,2025-08-20 15:57:08,42.4,36B,베이36B
b130_ps_heavy_r1,SPT,52,BLK_52C,5,판계,1,2025-08-20 09:35:00,2025-08-20 10:13:00,38.0,,공통
b130_ps_heavy_r1,SPT,52,BLK_52C,5,전면SAW,2,2025-08-20 11:41:10,2025-08-20 13:28:57,107.8,,공통
b130_ps_heavy_r1,SPT,52,BLK_52C,5,TurnOver,3,2025-08-20 13:28:57,2025-08-20 13:40:57,12.0,,공통
b130_ps_heavy_r1,SPT,52,BLK_52C,5,후면SAW,4,2025-08-20 13:40:57,2025-08-20 15:06:59,86.0,,공통
b130_ps_heavy_r1,SPT,52,BLK_52C,5,NC,5,2025-08-20 15:06:59,2025-08-20 15:55:47,48.8,,공통
b130_ps_heavy_r1,SPT,52,BLK_52C,5,베이35A 론지취부,6,2025-08-20 15:55:47,2025-08-20 17:01:47,66.0,35A,베이35A
b130_ps_heavy_r1,SPT,52,BLK_52C,5,베이35A 론지용접,7,2025-08-20 17:01:47,2025-08-20 17:24:23,22.6,35A,베이35A
b130_ps_heavy_r1,SPT,52,BLK_52C,5,베이35A 수정,8,2025-08-20 17:24:23,2025-08-20 18:04:35,40.2,35A,베이35A
b130_ps_heavy_r1,SPT,92,BLK_92P,6,판계,1,2025-08-20 10:13:00,2025-08-20 10:48:00,35.0,,공통
b130_ps_heavy_r1,SPT,92,BLK_92P,6,전면SAW,2,2025-08-20 13:28:57,2025-08-20 15:51:42,142.8,,공통
b130_ps_heavy_r1,SPT,92,BLK_92P,6,TurnOver,3,2025-08-20 15:51:42,2025-08-20 16:03:42,12.0,,공통
