grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b130_sub_heavy_r1,LPT,17,BLK_17P,1,판계,1,2025-10-01 08:00:00,2025-10-01 08:40:00,40.0,,공통
b130_sub_heavy_r1,LPT,17,BLK_17P,1,전면SAW,2,2025-10-01 08:40:00,2025-10-01 11:01:21,141.3,,공통
b130_sub_heavy_r1,LPT,17,BLK_17P,1,TurnOver,3,2025-10-01 11:01:21,2025-10-01 11:13:21,12.0,,공통
b130_sub_heavy_r1,LPT,17,BLK_17P,1,후면SAW,4,2025-10-01 11:13:21,2025-10-01 12:56:33,103.2,,공통
b130_sub_heavy_r1,LPT,17,BLK_17P,1,NC,5,2025-10-01 12:56:33,2025-10-01 13:41:24,44.9,,공통
b130_sub_heavy_r1,LPT,17,BLK_17P,1,베이35A 론지취부,6,2025-10-01 13:41:24,2025-10-01 14:50:54,69.5,35A,베이35A
b130_sub_heavy_r1,LPT,17,BLK_17P,1,베이35A 론지용접,7,2025-10-01 14:50:54,2025-10-01 15:14:06,23.2,35A,베이35A
b130_sub_heavy_r1,LPT,17,BLK_17P,1,베이35A 수정,8,2025-10-01 15:14:06,2025-10-01 15:56:30,42.4,35A,베이35A
b130_sub_heavy_r1,LPT,9,BLK_9P,2,판계,1,2025-10-01 08:40:00,2025-10-01 09:10:00,30.0,,공통
b130_sub_heavy_r1,LPT,9,BLK_9P,2,전면SAW,2,2025-10-01 11:01:21,2025-10-01 11:32:23,31.0,,공통
b130_sub_heavy_r1,LPT,9,BLK_9P,2,TurnOver,3,2025-10-01 11:32:23,2025-10-01 11:44:23,12.0,,공통
b130_sub_heavy_r1,LPT,9,BLK_9P,2,후면SAW,4,2025-10-01 12:56:33,2025-10-01 13:16:16,19.7,,공통
b130_sub_heavy_r1,LPT,9,BLK_9P,2,NC,5,2025-10-01 13:41:24,2025-10-01 14:31:21,49.9,,공통
b130_sub_heavy_r1,LPT,9,BLK_9P,2,베이36B 론지취부,6,2025-10-01 14:31:21,2025-10-01 16:12:21,101.0,36B,베이36B
b130_sub_heavy_r1,LPT,9,BLK_9P,2,베이36B 론지용접,7,2025-10-01 16:12:21,2025-10-01 16:40:57,28.6,36B,베이36B
b130_sub_heavy_r1,LPT,9,BLK_9P,2,베이36B 수정,8,2025-10-01 16:40:57,2025-10-01 17:43:09,62.2,36B,베이36B
b130_sub_heavy_r1,LPT,72,BLK_72C,3,판계,1,2025-10-01 09:10:00,2025-10-01 09:40:00,30.0,,공통
b130_sub_heavy_r1,LPT,72,BLK_72C,3,전면SAW,2,2025-10-01 11:32:23,2025-10-01 12:48:02,75.7,,공통
b130_sub_heavy_r1,LPT,72,BLK_72C,3,TurnOver,3,2025-10-01 12:48:02,2025-10-01 13:00:02,12.0,,공통
b130_sub_heavy_r1,LPT,72,BLK_72C,3,후면SAW,4,2025-10-01 13:16:16,2025-10-01 14:13:00,56.7,,공통
b130_sub_heavy_r1,LPT,72,BLK_72C,3,NC,5,2025-10-01 14:31:21,2025-10-01 15:19:00,47.6,,공통
b130_sub_heavy_r1,LPT,72,BLK_72C,3,베이35A 론지취부,6,2025-10-01 15:19:00,2025-10-01 15:57:00,38.0,35A,베이35A
b130_sub_heavy_r1,LPT,72,BLK_72C,3,베이35A 론지용접,7,2025-10-01 15:57:00,2025-10-01 16:14:48,17.8,35A,베이35A
b130_sub_heavy_r1,LPT,72,BLK_72C,3,베이35A 수정,8,2025-10-01 16:14:48,2025-10-01 16:37:24,22.6,35A,베이35A
b130_sub_heavy_r1,LPT,52,BLK_52C,4,판계,1,2025-10-01 09:40:00,2025-10-01 10:05:00,25.0,,공통
b130_sub_heavy_r1,LPT,52,BLK_52C,4,전면SAW,2,2025-10-01 12:48:02,2025-10-01 13:20:25,32.4,,공통
b130_sub_heavy_r1,LPT,52,BLK_52C,4,TurnOver,3,2025-10-01 13:20:25,2025-10-01 13:32:25,12.0,,공통
b130_sub_heavy_r1,LPT,52,BLK_52C,4,후면SAW,4,2025-10-01 14:13:00,2025-10-01 14:34:29,21.5,,공통
b130_sub_heavy_r1,LPT,52,BLK_52C,4,NC,5,2025-10-01 15:19:00,2025-10-01 15:55:49,36.8,,공통
b130_sub_heavy_r1,LPT,52,BLK_52C,4,베이36B 론지취부,6,2025-10-01 16:12:21,2025-10-01 17:18:21,66.0,36B,베이36B
b130_sub_heavy_r1,LPT,52,BLK_52C,4,베이36B 론지용접,7,2025-10-01 17:18:21,2025-10-01 17:40:57,22.6,36B,베이36B
b130_sub_heavy_r1,LPT,52,BLK_52C,4,베이36B 수정,8,2025-10-01 17:43:09,2025-10-01 18:23:21,40.2,36B,베이36B
