grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,1,5,BLK_5P,P,line,L_1,L_11,2025-10-01,9.9,9,1,1,False,5,35A,False,443.6,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 08:00,2025-10-01 08:20,2025-10-01 15:23,2025-10-01 08:00,2025-10-01 15:23,443.6,7.39,20.0,162.7,12.0,136.1,28.1,41.5,18.4,24.8
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,2,9,BLK_9P,P,line,L_1,L_11,2025-10-01,19.5,26,5,0,False,10,36B,False,334.5,True,NORMAL,False,0,0,1,[],[],[],2025-10-01 08:20,2025-10-01 11:02,2025-10-01 18:00,2025-10-01 08:20,2025-10-01 18:00,600.7,10.01,30.0,31.0,12.0,19.7,49.9,101.0,28.6,62.2
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,3,72,BLK_72C,C,fixed,F_10,F_10,2025-10-01,17.4,8,5,1,False,9,35A,False,300.4,True,NORMAL,False,0,0,1,[],[],[],2025-10-01 08:50,2025-10-01 11:33,2025-10-01 16:54,2025-10-01 08:50,2025-10-01 16:54,600.7,10.01,30.0,75.7,12.0,56.7,47.6,38.0,17.8,22.6
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,4,1,BLK_1C,C,line,L_1,L_11,2025-10-01,12.0,11,2,0,False,6,36B,False,231.0,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 09:20,2025-10-01 12:49,2025-10-01 18:29,2025-10-01 09:20,2025-10-01 18:29,629.9,10.5,20.0,39.9,12.0,31.4,30.5,48.5,19.6,29.2
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,5,17,BLK_17P,P,line,L_1,L_11,2025-10-01,12.3,17,3,2,False,7,35A,False,476.5,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 09:40,2025-10-01 13:29,2025-10-01 20:45,2025-10-01 09:40,2025-10-01 20:45,765.8,12.76,40.0,141.3,12.0,103.2,44.9,69.5,23.2,42.4
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,6,52,BLK_52C,C,fixed,F_10,F_10,2025-10-01,15.5,16,3,0,False,4,36B,False,256.5,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 10:20,2025-10-01 15:50,2025-10-01 21:16,2025-10-01 10:20,2025-10-01 21:16,796.3,13.27,25.0,32.4,12.0,21.5,36.8,66.0,22.6,40.2
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,7,82,BLK_82P,P,fixed,F_10,F_10,2025-10-01,9.9,8,3,1,False,6,35A,False,300.3,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 10:45,2025-10-01 16:22,2025-10-01 21:08,2025-10-01 10:45,2025-10-01 21:08,796.3,13.27,33.0,79.6,12.0,60.4,36.9,38.0,17.8,22.6
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,8,13,BLK_13C,C,line,L_1,L_11,2025-10-01,7.4,10,2,0,False,5,36B,False,206.7,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 11:18,2025-10-01 17:42,2025-10-01 21:43,2025-10-01 11:18,2025-10-01 21:43,823.3,13.72,20.0,35.2,12.0,25.2,27.3,45.0,15.0,27.0
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,9,62,BLK_62P,P,fixed,F_10,F_10,2025-10-01,5.4,6,1,0,False,4,35A,False,191.6,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 11:38,2025-10-01 18:17,2025-10-01 21:34,2025-10-01 11:38,2025-10-01 21:34,823.3,13.72,12.0,45.7,12.0,39.0,21.2,31.0,12.6,18.2
b130_sub_heavy_r1,Proposed,Medium (81-140),130,sub_heavy,198.41666666666663,1,20251001,10,15,BLK_15S,S,line,L_2,L_21,2025-10-02,18.8,21,4,5,False,9,36B,False,653.1,True,NORMAL,False,0,0,0,[],[],[],2025-10-01 11:50,2025-10-01 19:03,2025-10-02 04:59,2025-10-01 11:50,2025-10-02 04:59,1259.6,20.99,57.0,190.0,12.0,165.0,68.8,83.5,25.6,51.2
