grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b140_base_r1,GA,1,BLK_1C,1,판계,1,2025-07-15 08:00:00,2025-07-15 08:12:00,12.0,,공통
b140_base_r1,GA,1,BLK_1C,1,전면SAW,2,2025-07-15 08:12:00,2025-07-15 08:53:59,42.0,,공통
b140_base_r1,GA,1,BLK_1C,1,TurnOver,3,2025-07-15 08:53:59,2025-07-15 09:05:59,12.0,,공통
b140_base_r1,GA,1,BLK_1C,1,후면SAW,4,2025-07-15 09:05:59,2025-07-15 09:40:07,34.1,,공통
b140_base_r1,GA,1,BLK_1C,1,NC,5,2025-07-15 09:40:07,2025-07-15 10:02:46,22.6,,공통
b140_base_r1,GA,1,BLK_1C,1,베이35A 론지취부,6,2025-07-15 10:02:46,2025-07-15 11:01:46,59.0,35A,베이35A
b140_base_r1,GA,1,BLK_1C,1,베이35A 론지용접,7,2025-07-15 11:01:46,2025-07-15 11:23:10,21.4,35A,베이35A
b140_base_r1,GA,1,BLK_1C,1,베이35A 수정,8,2025-07-15 11:23:10,2025-07-15 11:58:58,35.8,35A,베이35A
b140_base_r1,GA,5,BLK_5C,2,판계,1,2025-07-15 08:12:00,2025-07-15 08:42:00,30.0,,공통
b140_base_r1,GA,5,BLK_5C,2,전면SAW,2,2025-07-15 08:53:59,2025-07-15 10:50:51,116.9,,공통
b140_base_r1,GA,5,BLK_5C,2,TurnOver,3,2025-07-15 10:50:51,2025-07-15 11:02:51,12.0,,공통
b140_base_r1,GA,5,BLK_5C,2,후면SAW,4,2025-07-15 11:02:51,2025-07-15 12:37:09,94.3,,공통
b140_base_r1,GA,5,BLK_5C,2,NC,5,2025-07-15 12:37:09,2025-07-15 13:31:58,54.8,,공통
b140_base_r1,GA,5,BLK_5C,2,베이36B 론지취부,6,2025-07-15 13:31:58,2025-07-15 14:37:58,66.0,36B,베이36B
b140_base_r1,GA,5,BLK_5C,2,베이36B 론지용접,7,2025-07-15 14:37:58,2025-07-15 15:00:34,22.6,36B,베이36B
b140_base_r1,GA,5,BLK_5C,2,베이36B 수정,8,2025-07-15 15:00:34,2025-07-15 15:40:46,40.2,36B,베이36B
b140_base_r1,GA,9,BLK_9S,3,판계,1,2025-07-15 08:42:00,2025-07-15 09:12:00,30.0,,공통
b140_base_r1,GA,9,BLK_9S,3,전면SAW,2,2025-07-15 10:50:51,2025-07-15 11:21:37,30.8,,공통
b140_base_r1,GA,9,BLK_9S,3,TurnOver,3,2025-07-15 11:21:37,2025-07-15 11:33:37,12.0,,공통
b140_base_r1,GA,9,BLK_9S,3,후면SAW,4,2025-07-15 12:37:09,2025-07-15 12:56:31,19.4,,공통
b140_base_r1,GA,9,BLK_9S,3,NC,5,2025-07-15 13:31:58,2025-07-15 14:13:45,41.8,,공통
b140_base_r1,GA,9,BLK_9S,3,베이35A 론지취부,6,2025-07-15 14:13:45,2025-07-15 15:12:45,59.0,35A,베이35A
b140_base_r1,GA,9,BLK_9S,3,베이35A 론지용접,7,2025-07-15 15:12:45,2025-07-15 15:34:09,21.4,35A,베이35A
b140_base_r1,GA,9,BLK_9S,3,베이35A 수정,8,2025-07-15 15:34:09,2025-07-15 16:09:57,35.8,35A,베이35A
b140_base_r1,GA,13,BLK_13P,4,판계,1,2025-07-15 09:12:00,2025-07-15 09:42:00,30.0,,공통
b140_base_r1,GA,13,BLK_13P,4,전면SAW,2,2025-07-15 11:21:37,2025-07-15 13:17:03,115.4,,공통
b140_base_r1,GA,13,BLK_13P,4,TurnOver,3,2025-07-15 13:17:03,2025-07-15 13:29:03,12.0,,공통
b140_base_r1,GA,13,BLK_13P,4,후면SAW,4,2025-07-15 13:29:03,2025-07-15 15:25:39,116.6,,공통
b140_base_r1,GA,13,BLK_13P,4,NC,5,2025-07-15 15:25:39,2025-07-15 16:18:51,53.2,,공통
b140_base_r1,GA,13,BLK_13P,4,베이36B 론지취부,6,2025-07-15 16:18:51,2025-07-15 17:52:51,94.0,36B,베이36B
b140_base_r1,GA,13,BLK_13P,4,베이36B 론지용접,7,2025-07-15 17:52:51,2025-07-15 18:20:15,27.4,36B,베이36B
b140_base_r1,GA,13,BLK_13P,4,베이36B 수정,8,2025-07-15 18:20:15,2025-07-15 19:18:03,57.8,36B,베이36B
b140_base_r1,GA,17,BLK_17C,5,판계,1,2025-07-15 09:42:00,2025-07-15 10:07:00,25.0,,공통
b140_base_r1,GA,17,BLK_17C,5,전면SAW,2,2025-07-15 13:17:03,2025-07-15 14:06:19,49.3,,공통
b140_base_r1,GA,17,BLK_17C,5,TurnOver,3,2025-07-15 14:06:19,2025-07-15 14:18:19,12.0,,공통
b140_base_r1,GA,17,BLK_17C,5,후면SAW,4,2025-07-15 15:25:39,2025-07-15 16:09:22,43.7,,공통
b140_base_r1,GA,17,BLK_17C,5,NC,5,2025-07-15 16:18:51,2025-07-15 16:55:54,37.0,,공통
b140_base_r1,GA,17,BLK_17C,5,베이35A 론지취부,6,2025-07-15 16:55:54,2025-07-15 18:08:54,73.0,35A,베이35A
b140_base_r1,GA,17,BLK_17C,5,베이35A 론지용접,7,2025-07-15 18:08:54,2025-07-15 18:32:42,23.8,35A,베이35A
b140_base_r1,GA,17,BLK_17C,5,베이35A 수정,8,2025-07-15 18:32:42,2025-07-15 19:17:18,44.6,35A,베이35A
b140_base_r1,GA,87,BLK_87S,6,판계,1,2025-07-15 10:07:00,2025-07-15 10:27:00,20.0,,공통
b140_base_r1,GA,87,BLK_87S,6,전면SAW,2,2025-07-15 14:06:19,2025-07-15 14:40:57,34.6,,공통
b140_base_r1,GA,87,BLK_87S,6,TurnOver,3,2025-07-15 14:40:57,2025-07-15 14:52:57,12.0,,공통
b140_base_r1,GA,87,BLK_87S,6,후면SAW,4,2025-07-15 16:09:22,2025-07-15 16:33:49,24.4,,공통
b140_base_r1,GA,87,BLK_87S,6,NC,5,2025-07-15 16:55:54,2025-07-15 17:22:52,27.0,,공통
