grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b140_base_r1,SPT,1,BLK_1C,1,35A,239.0,C,line,L_1,10.5,14,1,0,0,2025-07-15 08:00,2025-07-15 11:58,2025-07-15 11:58
b140_base_r1,SPT,9,BLK_9S,2,36B,250.1,S,line,L_1,16.8,14,4,0,0,2025-07-15 08:12,2025-07-15 12:40,2025-07-15 12:40
b140_base_r1,SPT,87,BLK_87S,3,35A,196.5,S,fixed,F_1,9.4,8,2,0,0,2025-07-15 08:42,2025-07-15 12:29,2025-07-15 12:29
b140_base_r1,SPT,77,BLK_77S,4,36B,201.3,S,fixed,F_1,14.0,9,3,0,0,2025-07-15 09:02,2025-07-15 13:09,2025-07-15 13:09
b140_base_r1,SPT,57,BLK_57C,5,35A,429.1,C,fixed,F_1,16.9,15,3,0,0,2025-07-15 09:27,2025-07-15 17:04,2025-07-15 17:04
b140_base_r1,SPT,67,BLK_67C,6,36B,496.5,C,fixed,F_1,15.7,22,2,1,0,2025-07-15 10:00,2025-07-15 20:17,2025-07-15 20:17
b140_base_r1,SPT,17,BLK_17C,7,35A,308.5,C,line,L_1,15.3,18,3,0,0,2025-07-15 10:28,2025-07-15 20:35,2025-07-15 20:35
b140_base_r1,SPT,117,BLK_117P,8,36B,584.9,P,fixed,F_1,15.6,18,4,3,0,2025-07-15 10:53,2025-07-16 00:36,2025-07-16 00:36
b140_base_r1,SPT,5,BLK_5C,9,35A,436.8,C,line,L_1,19.3,16,5,1,1,2025-07-15 11:38,2025-07-16 01:57,2025-07-16 01:57
b140_base_r1,SPT,13,BLK_13P,10,36B,506.4,P,line,L_1,17.4,24,5,1,1,2025-07-15 12:08,2025-07-16 04:43,2025-07-16 04:43
b140_base_r1,SPT,29,BLK_29S,11,35A,174.2,S,line,L_1,8.5,5,2,0,1,2025-07-15 12:38,2025-07-16 03:10,2025-07-16 03:10
b140_base_r1,SPT,21,BLK_21S,12,36B,263.0,S,line,L_1,15.4,16,4,0,1,2025-07-15 12:58,2025-07-16 05:26,2025-07-16 05:26
b140_base_r1,SPT,25,BLK_25P,13,35A,456.5,P,line,L_1,16.9,11,2,2,1,2025-07-15 13:28,2025-07-16 06:44,2025-07-16 06:44
b140_base_r1,SPT,33,BLK_33C,14,36B,466.1,C,line,L_1,18.1,20,3,1,2,2025-07-15 14:03,2025-07-16 09:32,2025-07-16 09:32
b140_base_r1,SPT,45,BLK_45P,15,35A,280.2,P,line,L_1,15.6,19,3,0,1,2025-07-15 14:36,2025-07-16 10:03,2025-07-16 10:03
b140_base_r1,SPT,49,BLK_49P,16,36B,297.6,P,line,L_1,21.5,21,5,0,1,2025-07-15 15:01,2025-07-16 11:03,2025-07-16 11:03
b140_base_r1,SPT,37,BLK_37P,17,35A,450.1,P,line,L_1,12.7,15,2,1,1,2025-07-15 15:31,2025-07-16 12:29,2025-07-16 12:29
b140_base_r1,SPT,97,BLK_97P,18,36B,196.0,P,fixed,F_1,12.0,6,2,0,0,2025-07-15 15:59,2025-07-16 12:02,2025-07-16 12:02
b140_base_r1,SPT,41,BLK_41P,19,35A,476.3,P,line,L_1,15.5,19,2,1,0,2025-07-15 16:19,2025-07-16 15:52,2025-07-16 15:52
b140_base_r1,SPT,89,BLK_89C,20,36B,160.6,C,fixed,F_2,6.1,3,1,0,0,2025-07-15 16:47,2025-07-16 14:28,2025-07-16 14:28
b140_base_r1,SPT,137,BLK_137C,21,35A,247.5,C,fixed,F_1,15.4,13,4,0,0,2025-07-16 08:00,2025-07-16 16:30,2025-07-16 16:30
b140_base_r1,SPT,107,BLK_107P,22,36B,278.6,P,fixed,F_1,19.9,14,5,0,0,2025-07-16 08:30,2025-07-16 17:10,2025-07-16 17:10
b140_base_r1,SPT,127,BLK_127S,23,35A,391.7,S,fixed,F_1,19.9,29,5,0,0,2025-07-16 09:00,2025-07-16 19:34,2025-07-16 19:34
b140_base_r1,SPT,53,BLK_53C,24,36B,375.8,C,line,L_1,16.7,13,5,1,0,2025-07-16 09:30,2025-07-16 19:09,2025-07-16 19:09
b140_base_r1,SPT,88,BLK_88P,25,35A,167.4,P,fixed,F_10,5.4,5,1,0,0,2025-07-16 10:00,2025-07-16 19:50,2025-07-16 19:50
b140_base_r1,SPT,58,BLK_58C,26,36B,228.3,C,fixed,F_10,15.4,12,3,0,0,2025-07-16 10:12,2025-07-16 19:58,2025-07-16 19:58
b140_base_r1,SPT,68,BLK_68P,27,35A,267.9,P,fixed,F_10,13.1,17,5,0,0,2025-07-16 10:37,2025-07-16 21:13,2025-07-16 21:13
b140_base_r1,SPT,69,BLK_69S,28,36B,270.4,S,fixed,F_2,16.5,16,4,0,0,2025-07-16 11:07,2025-07-16 21:49,2025-07-16 21:49
b140_base_r1,SPT,93,BLK_93S,29,35A,272.4,S,fixed,F_6,16.5,18,4,0,0,2025-07-16 11:37,2025-07-16 22:41,2025-07-16 22:41
b140_base_r1,SPT,92,BLK_92S,30,36B,279.2,S,fixed,F_5,18.1,12,6,0,0,2025-07-16 12:07,2025-07-16 22:55,2025-07-16 22:55
b140_base_r1,SPT,79,BLK_79P,31,35A,374.4,P,fixed,F_2,13.1,15,4,1,0,2025-07-16 12:52,2025-07-16 23:58,2025-07-16 23:58
b140_base_r1,SPT,63,BLK_63C,32,36B,430.6,C,fixed,F_6,12.0,17,3,0,0,2025-07-16 13:30,2025-07-17 02:21,2025-07-17 02:21
b140_base_r1,SPT,108,BLK_108S,33,35A,390.4,S,fixed,F_10,16.7,10,4,2,0,2025-07-16 14:10,2025-07-17 03:33,2025-07-17 03:33
