grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b140_ps_heavy_r1,Proposed,106,BLK_106S,1,35A,418.7,S,fixed,F_10,15.7,15,3,1,0,2025-03-19 08:00,2025-03-19 14:58,2025-03-19 14:58
b140_ps_heavy_r1,Proposed,56,BLK_56C,2,36B,253.0,C,fixed,F_10,12.3,15,3,0,0,2025-03-19 08:33,2025-03-19 15:33,2025-03-19 15:33
b140_ps_heavy_r1,Proposed,25,BLK_25C,3,35A,406.1,C,line,L_1,10.1,9,2,1,0,2025-03-19 08:58,2025-03-19 17:21,2025-03-19 17:21
b140_ps_heavy_r1,Proposed,66,BLK_66C,4,36B,242.8,C,fixed,F_10,19.9,13,4,0,0,2025-03-19 09:26,2025-03-19 18:26,2025-03-19 18:26
b140_ps_heavy_r1,Proposed,86,BLK_86C,5,35A,318.7,C,fixed,F_10,10.7,7,4,1,0,2025-03-19 09:56,2025-03-19 18:43,2025-03-19 18:43
b140_ps_heavy_r1,Proposed,95,BLK_95P,6,36B,371.3,P,fixed,F_1,19.3,24,7,0,0,2025-03-19 10:34,2025-03-19 21:30,2025-03-19 21:30
b140_ps_heavy_r1,Proposed,105,BLK_105P,7,35A,419.5,P,fixed,F_1,15.6,20,5,1,0,2025-03-19 11:26,2025-03-19 22:12,2025-03-19 22:12
b140_ps_heavy_r1,Proposed,13,BLK_13C,8,36B,266.3,C,line,L_1,13.1,14,1,0,0,2025-03-19 11:56,2025-03-19 22:05,2025-03-19 22:05
b140_ps_heavy_r1,Proposed,5,BLK_5S,9,35A,354.6,S,line,L_1,16.8,12,4,1,0,2025-03-19 12:08,2025-03-19 23:27,2025-03-19 23:27
b140_ps_heavy_r1,Proposed,55,BLK_55C,10,36B,267.0,C,fixed,F_1,16.4,17,4,0,0,2025-03-19 12:46,2025-03-20 00:39,2025-03-20 00:39
b140_ps_heavy_r1,Proposed,1,BLK_1C,11,35A,246.0,C,line,L_1,15.4,15,3,0,0,2025-03-19 13:16,2025-03-20 01:01,2025-03-20 01:01
b140_ps_heavy_r1,Proposed,75,BLK_75S,12,36B,228.7,S,fixed,F_1,16.8,11,4,0,0,2025-03-19 13:41,2025-03-20 01:18,2025-03-20 01:18
b140_ps_heavy_r1,Proposed,9,BLK_9C,13,35A,194.3,C,line,L_1,7.4,9,2,0,0,2025-03-19 14:11,2025-03-20 01:28,2025-03-20 01:28
b140_ps_heavy_r1,Proposed,65,BLK_65C,14,36B,193.5,C,fixed,F_1,12.6,10,1,0,0,2025-03-19 14:31,2025-03-20 02:01,2025-03-20 02:01
b140_ps_heavy_r1,Proposed,33,BLK_33C,15,35A,511.9,C,line,L_1,19.4,20,4,1,0,2025-03-19 14:43,2025-03-20 06:10,2025-03-20 06:10
b140_ps_heavy_r1,Proposed,85,BLK_85P,16,36B,251.8,P,fixed,F_1,9.9,16,2,0,0,2025-03-19 15:21,2025-03-20 06:13,2025-03-20 06:13
b140_ps_heavy_r1,Proposed,18,BLK_18S,17,35A,445.5,S,line,L_1,9.8,11,1,1,0,2025-03-19 15:41,2025-03-20 08:19,2025-03-20 08:19
b140_ps_heavy_r1,Proposed,57,BLK_57C,18,36B,488.6,C,fixed,F_2,18.8,17,4,0,0,2025-03-19 16:01,2025-03-20 11:14,2025-03-20 11:14
b140_ps_heavy_r1,Proposed,11,BLK_11P,19,35A,479.9,P,line,L_2,18.1,15,5,2,0,2025-03-19 16:46,2025-03-20 13:42,2025-03-20 13:42
b140_ps_heavy_r1,Proposed,15,BLK_15C,20,36B,311.7,C,line,L_2,13.6,16,2,0,0,2025-03-19 17:16,2025-03-20 14:22,2025-03-20 14:22
b140_ps_heavy_r1,Proposed,115,BLK_115P,21,35A,196.6,P,fixed,F_1,10.3,8,1,0,0,2025-03-19 17:36,2025-03-20 14:05,2025-03-20 14:05
b140_ps_heavy_r1,Proposed,6,BLK_6S,22,36B,397.9,S,line,L_1,15.3,16,4,1,0,2025-03-20 08:00,2025-03-20 16:23,2025-03-20 16:23
b140_ps_heavy_r1,Proposed,67,BLK_67P,23,35A,339.1,P,fixed,F_2,16.9,27,5,0,0,2025-03-20 08:38,2025-03-20 18:22,2025-03-20 18:22
b140_ps_heavy_r1,Proposed,87,BLK_87P,24,36B,393.5,P,fixed,F_2,5.4,10,1,3,0,2025-03-20 09:08,2025-03-20 18:27,2025-03-20 18:27
b140_ps_heavy_r1,Proposed,10,BLK_10S,25,35A,313.6,S,line,L_1,19.9,23,5,0,0,2025-03-20 09:35,2025-03-20 20:42,2025-03-20 20:42
b140_ps_heavy_r1,Proposed,7,BLK_7S,26,36B,367.9,S,line,L_2,9.5,13,2,1,0,2025-03-20 10:05,2025-03-20 20:46,2025-03-20 20:46
b140_ps_heavy_r1,Proposed,14,BLK_14S,27,35A,270.8,S,line,L_1,12.3,15,4,0,0,2025-03-20 10:33,2025-03-20 21:39,2025-03-20 21:39
b140_ps_heavy_r1,Proposed,125,BLK_125S,28,36B,337.2,S,fixed,F_1,5.4,9,1,1,0,2025-03-20 11:03,2025-03-20 22:44,2025-03-20 22:44
b140_ps_heavy_r1,Proposed,97,BLK_97C,29,35A,240.6,C,fixed,F_2,18.6,13,4,0,0,2025-03-20 11:23,2025-03-20 23:53,2025-03-20 23:53
b140_ps_heavy_r1,Proposed,2,BLK_2C,30,36B,228.5,C,line,L_1,9.2,13,3,0,0,2025-03-20 11:53,2025-03-21 00:26,2025-03-21 00:26
b140_ps_heavy_r1,Proposed,3,BLK_3C,31,35A,202.1,C,line,L_2,6.7,9,1,0,0,2025-03-20 12:18,2025-03-21 00:19,2025-03-21 00:19
b140_ps_heavy_r1,Proposed,77,BLK_77P,32,36B,214.6,P,fixed,F_2,8.6,11,3,0,0,2025-03-20 12:30,2025-03-21 01:08,2025-03-21 01:08
b140_ps_heavy_r1,Proposed,17,BLK_17P,33,35A,247.6,P,line,L_1,13.9,15,4,0,0,2025-03-20 12:55,2025-03-21 02:09,2025-03-21 02:09
b140_ps_heavy_r1,Proposed,19,BLK_19C,34,36B,175.2,C,line,L_2,5.4,8,1,0,0,2025-03-20 13:25,2025-03-21 01:42,2025-03-21 01:42
b140_ps_heavy_r1,Proposed,12,BLK_12C,35,35A,484.5,C,line,L_2,14.5,15,3,2,0,2025-03-20 13:37,2025-03-21 05:56,2025-03-21 05:56
b140_ps_heavy_r1,Proposed,4,BLK_4C,36,36B,283.8,C,line,L_2,15.7,13,3,0,0,2025-03-20 14:17,2025-03-21 06:21,2025-03-21 06:21
b140_ps_heavy_r1,Proposed,116,BLK_116S,37,35A,444.2,S,fixed,F_10,19.5,15,4,2,0,2025-03-20 14:42,2025-03-21 08:24,2025-03-21 08:24
b140_ps_heavy_r1,Proposed,126,BLK_126S,38,36B,340.8,S,fixed,F_10,18.1,21,6,0,0,2025-03-20 15:27,2025-03-21 09:55,2025-03-21 09:55
b140_ps_heavy_r1,Proposed,8,BLK_8P,39,35A,372.7,P,line,L_2,9.2,8,1,1,0,2025-03-20 16:12,2025-03-21 10:22,2025-03-21 10:22
b140_ps_heavy_r1,Proposed,21,BLK_21S,40,36B,259.0,S,line,L_1,19.9,16,4,0,0,2025-03-20 16:32,2025-03-21 11:54,2025-03-21 11:54
b140_ps_heavy_r1,Proposed,96,BLK_96S,41,35A,254.3,S,fixed,F_10,20.0,14,5,0,0,2025-03-20 17:02,2025-03-21 12:31,2025-03-21 12:31
b140_ps_heavy_r1,Proposed,37,BLK_37P,42,36B,403.3,P,line,L_1,17.3,21,5,1,0,2025-03-21 08:00,2025-03-21 14:43,2025-03-21 14:43
b140_ps_heavy_r1,Proposed,140,BLK_37S,43,35A,403.3,S,line,L_1,17.3,21,5,1,0,2025-03-21 08:30,2025-03-21 16:08,2025-03-21 16:08
b140_ps_heavy_r1,Proposed,20,BLK_20P,44,36B,279.9,P,line,L_2,16.4,18,5,0,0,2025-03-21 09:00,2025-03-21 16:37,2025-03-21 16:37
b140_ps_heavy_r1,Proposed,16,BLK_16C,45,35A,250.8,C,line,L_2,19.4,14,4,0,0,2025-03-21 09:30,2025-03-21 16:53,2025-03-21 16:53
b140_ps_heavy_r1,Proposed,76,BLK_76P,46,36B,203.2,P,fixed,F_10,10.7,9,3,0,0,2025-03-21 10:00,2025-03-21 17:01,2025-03-21 17:01
b140_ps_heavy_r1,Proposed,30,BLK_30C,47,35A,527.7,C,line,L_1,15.3,15,3,2,0,2025-03-21 10:25,2025-03-21 20:58,2025-03-21 20:58
b140_ps_heavy_r1,Proposed,35,BLK_35P,48,36B,306.2,P,line,L_2,15.7,23,3,0,0,2025-03-21 11:05,2025-03-21 22:27,2025-03-21 22:27
b140_ps_heavy_r1,Proposed,22,BLK_22S,49,35A,444.8,S,line,L_1,15.5,10,3,2,0,2025-03-21 11:30,2025-03-21 22:53,2025-03-21 22:53
b140_ps_heavy_r1,Proposed,23,BLK_23C,50,36B,309.0,C,line,L_2,19.3,18,4,0,0,2025-03-21 12:10,2025-03-22 00:26,2025-03-22 00:26
b140_ps_heavy_r1,Proposed,31,BLK_31P,51,35A,403.2,P,line,L_2,13.6,19,3,1,0,2025-03-21 12:40,2025-03-22 01:38,2025-03-22 01:38
b140_ps_heavy_r1,Proposed,26,BLK_26P,52,36B,281.2,P,line,L_1,15.6,16,4,0,0,2025-03-21 13:13,2025-03-22 01:59,2025-03-22 01:59
b140_ps_heavy_r1,Proposed,27,BLK_27P,53,35A,395.2,P,line,L_2,18.3,12,5,1,0,2025-03-21 13:43,2025-03-22 03:41,2025-03-22 03:41
b140_ps_heavy_r1,Proposed,34,BLK_34C,54,36B,228.8,C,line,L_1,10.3,12,3,0,0,2025-03-21 14:13,2025-03-22 04:15,2025-03-22 04:15
b140_ps_heavy_r1,Proposed,132,BLK_132C,55,35A,667.5,C,fixed,F_7,18.9,29,3,2,0,2025-03-21 14:38,2025-03-22 10:16,2025-03-22 10:16
b140_ps_heavy_r1,Proposed,36,BLK_36C,56,36B,415.5,C,line,L_2,28.9,28,8,0,0,2025-03-21 15:18,2025-03-22 11:21,2025-03-22 11:21
b140_ps_heavy_r1,Proposed,89,BLK_89S,57,35A,307.7,S,fixed,F_4,14.0,16,1,0,0,2025-03-21 16:17,2025-03-22 10:56,2025-03-22 10:56
b140_ps_heavy_r1,Proposed,135,BLK_110S,58,36B,294.2,S,fixed,F_5,8.2,16,2,0,0,2025-03-21 16:29,2025-03-22 12:01,2025-03-22 12:01
b140_ps_heavy_r1,Proposed,102,BLK_102S,59,35A,292.7,S,fixed,F_7,7.4,8,1,0,0,2025-03-21 16:49,2025-03-22 11:27,2025-03-22 11:27
b140_ps_heavy_r1,Proposed,74,BLK_74C,60,36B,456.4,C,fixed,F_9,12.5,22,3,1,0,2025-03-22 08:00,2025-03-22 15:36,2025-03-22 15:36
b140_ps_heavy_r1,Proposed,104,BLK_104P,61,35A,308.7,P,fixed,F_9,12.5,21,3,0,0,2025-03-22 08:33,2025-03-22 16:04,2025-03-22 16:04
b140_ps_heavy_r1,Proposed,52,BLK_52S,62,36B,449.6,S,line,L_2,15.4,16,4,2,0,2025-03-22 08:58,2025-03-22 17:53,2025-03-22 17:53
b140_ps_heavy_r1,Proposed,114,BLK_114P,63,35A,342.2,P,fixed,F_9,19.9,21,4,0,0,2025-03-22 09:43,2025-03-22 19:09,2025-03-22 19:09
b140_ps_heavy_r1,Proposed,49,BLK_49P,64,36B,425.1,P,line,L_1,8.6,9,2,2,0,2025-03-22 10:13,2025-03-22 20:32,2025-03-22 20:32
b140_ps_heavy_r1,Proposed,54,BLK_54S,65,35A,273.4,S,line,L_1,15.5,13,4,0,0,2025-03-22 10:48,2025-03-22 21:40,2025-03-22 21:40
b140_ps_heavy_r1,Proposed,38,BLK_38C,66,36B,477.7,C,line,L_1,12.7,14,3,2,0,2025-03-22 11:18,2025-03-23 00:30,2025-03-23 00:30
b140_ps_heavy_r1,Proposed,29,BLK_29P,67,35A,262.6,P,line,L_1,12.3,14,2,0,0,2025-03-22 11:58,2025-03-23 01:01,2025-03-23 01:01
b140_ps_heavy_r1,Proposed,94,BLK_94S,68,36B,453.9,S,fixed,F_9,15.4,20,5,1,0,2025-03-22 12:18,2025-03-23 03:34,2025-03-23 03:34
b140_ps_heavy_r1,Proposed,46,BLK_46S,69,35A,254.8,S,line,L_1,19.0,14,4,0,0,2025-03-22 12:48,2025-03-23 03:40,2025-03-23 03:40
b140_ps_heavy_r1,Proposed,42,BLK_42C,70,36B,266.1,C,line,L_1,12.1,17,2,0,0,2025-03-22 13:18,2025-03-23 04:35,2025-03-23 04:35
b140_ps_heavy_r1,Proposed,112,BLK_112S,71,35A,250.9,S,fixed,F_7,8.2,10,1,0,0,2025-03-22 13:38,2025-03-23 04:10,2025-03-23 04:10
b140_ps_heavy_r1,Proposed,41,BLK_41S,72,36B,423.1,S,line,L_1,16.7,15,3,1,0,2025-03-23 08:00,2025-03-23 15:03,2025-03-23 15:03
b140_ps_heavy_r1,Proposed,50,BLK_50S,73,36B,291.9,S,line,L_1,21.5,19,5,0,0,2025-03-23 08:33,2025-03-23 16:30,2025-03-23 16:30
b140_ps_heavy_r1,Proposed,117,BLK_117C,74,35A,375.9,C,fixed,F_2,19.9,16,5,1,0,2025-03-23 09:03,2025-03-23 16:55,2025-03-23 16:55
b140_ps_heavy_r1,Proposed,47,BLK_47C,75,36B,274.6,C,line,L_2,18.8,17,4,0,0,2025-03-23 09:33,2025-03-23 17:45,2025-03-23 17:45
b140_ps_heavy_r1,Proposed,39,BLK_39S,76,35A,363.2,S,line,L_2,9.8,8,2,2,0,2025-03-23 10:03,2025-03-23 18:23,2025-03-23 18:23
b140_ps_heavy_r1,Proposed,45,BLK_45S,77,36B,271.8,S,line,L_1,19.8,17,3,0,0,2025-03-23 10:38,2025-03-23 19:57,2025-03-23 19:57
b140_ps_heavy_r1,Proposed,127,BLK_127C,78,36B,372.3,C,fixed,F_2,21.1,9,6,1,0,2025-03-23 11:03,2025-03-23 20:56,2025-03-23 20:56
b140_ps_heavy_r1,Proposed,107,BLK_107C,79,35A,283.8,C,fixed,F_2,18.8,17,5,0,0,2025-03-23 11:48,2025-03-23 22:31,2025-03-23 22:31
b140_ps_heavy_r1,Proposed,64,BLK_64C,80,36B,238.8,C,fixed,F_9,9.9,13,4,0,0,2025-03-23 12:18,2025-03-23 22:45,2025-03-23 22:45
b140_ps_heavy_r1,Proposed,43,BLK_43C,81,35A,229.5,C,line,L_2,15.3,12,3,0,0,2025-03-23 12:48,2025-03-23 23:13,2025-03-23 23:13
b140_ps_heavy_r1,Proposed,40,BLK_40P,82,36B,294.2,P,line,L_2,19.8,20,5,0,0,2025-03-24 08:00,2025-03-24 12:54,2025-03-24 12:54
b140_ps_heavy_r1,Proposed,24,BLK_24P,83,35A,236.4,P,line,L_2,15.7,13,3,0,0,2025-03-24 08:30,2025-03-24 12:47,2025-03-24 12:47
b140_ps_heavy_r1,Proposed,51,BLK_51P,84,36B,212.7,P,line,L_2,6.3,6,2,1,0,2025-03-24 08:55,2025-03-24 13:12,2025-03-24 13:12
b140_ps_heavy_r1,Proposed,28,BLK_28C,85,35A,212.1,C,line,L_2,12.0,10,3,0,0,2025-03-24 09:23,2025-03-24 13:40,2025-03-24 13:40
b140_ps_heavy_r1,Proposed,32,BLK_32P,86,36B,208.9,P,line,L_2,13.6,10,2,0,0,2025-03-24 09:48,2025-03-24 14:09,2025-03-24 14:09
b140_ps_heavy_r1,Proposed,84,BLK_84C,87,35A,206.3,C,fixed,F_9,9.5,9,3,0,0,2025-03-24 10:08,2025-03-24 14:35,2025-03-24 14:35
b140_ps_heavy_r1,Proposed,130,BLK_130C,88,36B,654.9,C,fixed,F_5,15.5,29,4,3,0,2025-03-24 10:33,2025-03-24 22:08,2025-03-24 22:08
b140_ps_heavy_r1,Proposed,90,BLK_90C,89,36B,355.5,C,fixed,F_5,21.2,23,5,0,0,2025-03-24 11:18,2025-03-24 23:22,2025-03-24 23:22
b140_ps_heavy_r1,Proposed,113,BLK_113S,90,35A,580.2,S,fixed,F_8,19.2,30,4,2,0,2025-03-24 11:48,2025-03-25 00:51,2025-03-25 00:51
