grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b140_sub_heavy_r1,GA,57,BLK_57C,1,35A,342.4,C,fixed,F_2,12.3,9,4,0,0,2025-09-15 08:00,2025-09-15 13:42,2025-09-15 13:42
b140_sub_heavy_r1,GA,76,BLK_76C,2,36B,232.2,C,fixed,F_10,12.5,13,2,0,0,2025-09-15 08:38,2025-09-15 14:37,2025-09-15 14:37
b140_sub_heavy_r1,GA,77,BLK_77S,3,35A,278.4,S,fixed,F_2,5.4,10,1,1,0,2025-09-15 08:58,2025-09-15 15:03,2025-09-15 15:03
b140_sub_heavy_r1,GA,5,BLK_5P,4,36B,249.1,P,line,L_1,10.3,9,2,0,0,2025-09-15 09:18,2025-09-15 15:54,2025-09-15 15:54
b140_sub_heavy_r1,GA,55,BLK_55C,5,35A,247.1,C,fixed,F_1,15.4,10,4,0,0,2025-09-15 09:38,2025-09-15 16:46,2025-09-15 16:46
b140_sub_heavy_r1,GA,38,BLK_38S,6,36B,300.4,S,line,L_1,5.4,7,1,1,1,2025-09-15 10:08,2025-09-15 18:16,2025-09-15 18:16
b140_sub_heavy_r1,GA,1,BLK_1P,7,35A,363.5,P,line,L_1,15.4,15,4,0,0,2025-09-15 10:28,2025-09-15 20:47,2025-09-15 20:47
b140_sub_heavy_r1,GA,134,BLK_1P,7,35A,363.5,P,line,L_1,15.4,15,4,0,0,2025-09-15 10:28,2025-09-15 20:47,2025-09-15 20:47
b140_sub_heavy_r1,GA,107,BLK_107S,8,36B,455.3,S,fixed,F_2,14.5,10,3,2,0,2025-09-15 10:58,2025-09-15 23:33,2025-09-15 23:33
b140_sub_heavy_r1,GA,79,BLK_79C,9,35A,223.0,C,fixed,F_4,12.6,11,2,0,0,2025-09-15 11:38,2025-09-16 00:09,2025-09-16 00:09
b140_sub_heavy_r1,GA,9,BLK_9C,10,36B,293.7,C,line,L_1,15.4,17,3,0,0,2025-09-15 11:58,2025-09-16 01:24,2025-09-16 01:24
b140_sub_heavy_r1,GA,13,BLK_13C,11,35A,457.4,C,line,L_1,18.1,16,5,2,0,2025-09-15 12:23,2025-09-16 03:42,2025-09-16 03:42
b140_sub_heavy_r1,GA,56,BLK_56C,12,36B,313.8,C,fixed,F_10,15.3,18,3,0,0,2025-09-15 12:53,2025-09-16 04:32,2025-09-16 04:32
b140_sub_heavy_r1,GA,66,BLK_66C,13,35A,327.8,C,fixed,F_10,7.4,7,2,1,0,2025-09-15 13:18,2025-09-16 04:31,2025-09-16 04:31
b140_sub_heavy_r1,GA,6,BLK_6S,14,36B,326.1,S,line,L_1,16.6,20,4,0,0,2025-09-15 13:46,2025-09-16 06:49,2025-09-16 06:49
b140_sub_heavy_r1,GA,34,BLK_34C,15,35A,195.2,C,line,L_1,9.2,8,1,0,1,2025-09-15 14:16,2025-09-16 05:55,2025-09-16 05:55
b140_sub_heavy_r1,GA,21,BLK_21S,16,36B,415.1,S,line,L_1,21.2,18,5,1,0,2025-09-15 14:28,2025-09-16 09:08,2025-09-16 09:08
b140_sub_heavy_r1,GA,25,BLK_25C,17,35A,205.7,C,line,L_1,5.4,10,2,0,0,2025-09-15 14:58,2025-09-16 08:39,2025-09-16 08:39
b140_sub_heavy_r1,GA,91,BLK_91C,18,36B,522.1,C,fixed,F_6,8.3,9,1,5,0,2025-09-15 15:18,2025-09-16 13:01,2025-09-16 13:01
b140_sub_heavy_r1,GA,10,BLK_10C,19,36B,294.6,C,line,L_1,21.1,19,5,0,0,2025-09-15 15:57,2025-09-16 14:54,2025-09-16 14:54
b140_sub_heavy_r1,GA,105,BLK_105P,20,35A,309.6,P,fixed,F_1,16.5,7,2,2,1,2025-09-15 16:27,2025-09-16 14:15,2025-09-16 14:15
b140_sub_heavy_r1,GA,59,BLK_59C,21,36B,296.4,C,fixed,F_4,15.7,21,4,0,0,2025-09-15 17:02,2025-09-16 16:25,2025-09-16 16:25
b140_sub_heavy_r1,GA,16,BLK_16S,22,35A,336.6,S,line,L_2,10.1,13,3,1,0,2025-09-16 08:00,2025-09-16 16:13,2025-09-16 16:13
b140_sub_heavy_r1,GA,7,BLK_7S,23,36B,276.3,S,line,L_2,9.2,17,1,0,0,2025-09-16 08:33,2025-09-16 17:23,2025-09-16 17:23
b140_sub_heavy_r1,GA,67,BLK_67C,24,35A,300.8,C,fixed,F_2,20.0,19,3,0,0,2025-09-16 08:45,2025-09-16 18:01,2025-09-16 18:01
b140_sub_heavy_r1,GA,14,BLK_14C,25,36B,202.3,C,line,L_1,12.6,8,2,0,0,2025-09-16 09:10,2025-09-16 17:46,2025-09-16 17:46
b140_sub_heavy_r1,GA,37,BLK_37P,26,35A,455.1,P,line,L_1,15.4,24,4,1,0,2025-09-16 09:30,2025-09-16 21:11,2025-09-16 21:11
b140_sub_heavy_r1,GA,8,BLK_8P,27,36B,370.4,P,line,L_2,19.0,27,4,0,0,2025-09-16 10:08,2025-09-16 22:14,2025-09-16 22:14
b140_sub_heavy_r1,GA,26,BLK_26P,28,35A,322.6,P,line,L_1,20.0,12,4,1,0,2025-09-16 10:38,2025-09-16 21:43,2025-09-16 21:43
b140_sub_heavy_r1,GA,69,BLK_69P,29,36B,280.4,P,fixed,F_4,15.5,18,4,0,0,2025-09-16 11:16,2025-09-16 23:02,2025-09-16 23:02
b140_sub_heavy_r1,GA,20,BLK_20P,30,35A,418.7,P,line,L_2,15.3,16,3,1,0,2025-09-16 11:46,2025-09-17 00:52,2025-09-17 00:52
b140_sub_heavy_r1,GA,2,BLK_2C,31,36B,323.3,C,line,L_1,12.3,9,3,0,0,2025-09-16 12:19,2025-09-17 01:12,2025-09-17 01:12
b140_sub_heavy_r1,GA,33,BLK_33S,32,35A,529.3,S,line,L_1,20.0,22,4,2,0,2025-09-16 12:52,2025-09-17 05:50,2025-09-17 05:50
b140_sub_heavy_r1,GA,75,BLK_75C,33,36B,433.4,C,fixed,F_1,28.9,33,6,0,1,2025-09-16 13:37,2025-09-17 07:59,2025-09-17 07:59
b140_sub_heavy_r1,GA,30,BLK_30P,34,35A,606.4,P,line,L_1,16.5,15,4,5,0,2025-09-16 14:22,2025-09-17 10:06,2025-09-17 10:06
b140_sub_heavy_r1,GA,18,BLK_18C,35,36B,232.9,C,line,L_1,10.1,13,2,0,0,2025-09-16 15:19,2025-09-17 10:22,2025-09-17 10:22
b140_sub_heavy_r1,GA,17,BLK_17C,36,36B,335.2,C,line,L_1,21.5,23,5,0,0,2025-09-16 15:39,2025-09-17 12:21,2025-09-17 12:21
