grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,1,6,BLK_6S,S,line,L_1,L_12,2025-09-15,16.6,20,4,0,False,6,35A,False,326.1,True,NORMAL,False,0,0,0,[],[],[],2025-09-15 08:00,2025-09-15 08:30,2025-09-15 13:26,2025-09-15 08:00,2025-09-15 13:26,326.1,5.44,30.0,46.9,12.0,40.6,42.7,80.0,25.0,49.0
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,2,2,BLK_2C,C,line,L_1,L_12,2025-09-15,12.3,9,3,0,False,6,36B,False,323.3,True,NORMAL,False,0,0,1,[],[],[],2025-09-15 08:30,2025-09-15 09:16,2025-09-15 14:07,2025-09-15 08:30,2025-09-15 14:07,367.2,6.12,33.0,87.6,12.0,67.6,38.4,41.5,18.4,24.8
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,3,26,BLK_26P,P,line,L_1,L_12,2025-09-15,20.0,12,4,1,False,4,35A,False,322.6,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 3판 연속 → 최대 2판'],2025-09-15 09:03,2025-09-15 10:44,2025-09-15 15:29,2025-09-15 09:03,2025-09-15 15:29,449.1,7.48,38.0,73.1,12.0,54.4,41.6,52.0,20.2,31.4
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,4,10,BLK_10C,C,line,L_1,L_12,2025-09-15,21.1,19,5,0,False,11,36B,False,294.6,True,NORMAL,False,1,1,2,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 4판 연속 → 최대 2판'],2025-09-15 09:41,2025-09-15 11:57,2025-09-15 17:03,2025-09-15 09:41,2025-09-15 17:03,544.0,9.07,30.0,32.5,12.0,21.6,50.8,76.5,24.4,46.8
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,5,14,BLK_14C,C,line,L_1,L_12,2025-09-15,12.6,8,2,0,False,5,35A,False,202.3,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 5판 연속 → 최대 2판'],2025-09-15 10:11,2025-09-15 12:30,2025-09-15 16:23,2025-09-15 10:11,2025-09-15 16:23,544.0,9.07,20.0,36.5,12.0,26.9,28.5,38.0,17.8,22.6
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,6,30,BLK_30P,P,line,L_1,L_12,2025-09-16,16.5,15,4,5,False,7,36B,False,606.4,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 6판 연속 → 최대 2판'],2025-09-15 10:31,2025-09-15 13:06,2025-09-15 22:15,2025-09-15 10:31,2025-09-15 22:15,855.9,14.27,57.0,190.0,12.0,158.7,66.2,62.5,22.0,38.0
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,7,18,BLK_18C,C,line,L_1,L_12,2025-09-16,10.1,13,2,0,False,6,35A,False,232.9,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 7판 연속 → 최대 2판'],2025-09-15 11:28,2025-09-15 16:16,2025-09-15 22:32,2025-09-15 11:28,2025-09-15 22:32,872.5,14.54,20.0,35.9,12.0,26.0,29.1,55.5,20.8,33.6
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,8,38,BLK_38S,S,line,L_1,L_12,2025-09-16,5.4,7,1,1,False,3,36B,False,300.4,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 8판 연속 → 최대 2판'],2025-09-15 11:48,2025-09-15 16:52,2025-09-15 22:36,2025-09-15 11:48,2025-09-15 22:36,876.3,14.61,20.0,97.9,12.0,77.0,25.4,34.5,13.2,20.4
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,9,22,BLK_22S,S,line,L_1,L_12,2025-09-16,10.0,8,2,0,False,3,35A,False,176.5,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 9판 연속 → 최대 2판'],2025-09-15 12:08,2025-09-15 18:30,2025-09-15 22:58,2025-09-15 12:08,2025-09-15 22:58,898.7,14.98,20.0,27.0,12.0,14.4,24.6,38.0,17.8,22.6
b140_sub_heavy_r1,LPT,Medium (81-140),140,sub_heavy,186.45,13,20250915,10,13,BLK_13C,C,line,L_1,L_11,2025-09-18,18.1,16,5,2,False,10,36B,False,457.4,True,NORMAL,False,0,0,0,[],[],[],2025-09-15 12:28,2025-09-15 18:57,2025-09-16 02:04,2025-09-15 12:28,2025-09-16 02:04,1084.7,18.08,30.0,125.0,12.0,105.8,55.8,66.0,22.6,40.2
