grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,판계,1,2025-12-27 08:00:00,2025-12-27 08:20:00,20.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,전면SAW,2,2025-12-27 08:20:00,2025-12-27 08:52:11,32.2,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,TurnOver,3,2025-12-27 08:52:11,2025-12-27 09:04:11,12.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,후면SAW,4,2025-12-27 09:04:11,2025-12-27 09:25:25,21.2,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,NC,5,2025-12-27 09:25:25,2025-12-27 09:53:32,28.1,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,베이35A 론지취부,6,2025-12-27 09:53:32,2025-12-27 10:59:32,66.0,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,베이35A 론지용접,7,2025-12-27 10:59:32,2025-12-27 11:22:08,22.6,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,74,BLK_74P,1,베이35A 수정,8,2025-12-27 11:22:08,2025-12-27 12:02:20,40.2,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,판계,1,2025-12-27 08:20:00,2025-12-27 08:53:00,33.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,전면SAW,2,2025-12-27 08:53:00,2025-12-27 10:36:35,103.6,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,TurnOver,3,2025-12-27 10:36:35,2025-12-27 10:48:35,12.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,후면SAW,4,2025-12-27 10:48:35,2025-12-27 12:10:48,82.2,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,NC,5,2025-12-27 12:10:48,2025-12-27 12:51:45,41.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,베이36B 론지취부,6,2025-12-27 12:51:45,2025-12-27 14:25:45,94.0,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,베이36B 론지용접,7,2025-12-27 14:25:45,2025-12-27 14:53:09,27.4,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,42,BLK_42C,2,베이36B 수정,8,2025-12-27 14:53:09,2025-12-27 15:50:57,57.8,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,판계,1,2025-12-27 08:53:00,2025-12-27 09:13:00,20.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,전면SAW,2,2025-12-27 10:36:35,2025-12-27 11:11:06,34.5,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,TurnOver,3,2025-12-27 11:11:06,2025-12-27 11:23:06,12.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,후면SAW,4,2025-12-27 12:10:48,2025-12-27 12:35:06,24.3,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,NC,5,2025-12-27 12:51:45,2025-12-27 13:21:15,29.5,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,베이35A 론지취부,6,2025-12-27 13:21:15,2025-12-27 14:02:45,41.5,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,베이35A 론지용접,7,2025-12-27 14:02:45,2025-12-27 14:21:09,18.4,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,93,BLK_93P,3,베이35A 수정,8,2025-12-27 14:21:09,2025-12-27 14:45:57,24.8,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,판계,1,2025-12-27 09:13:00,2025-12-27 09:25:00,12.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,전면SAW,2,2025-12-27 11:11:06,2025-12-27 12:09:12,58.1,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,TurnOver,3,2025-12-27 12:09:12,2025-12-27 12:21:12,12.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,후면SAW,4,2025-12-27 12:35:06,2025-12-27 13:30:26,55.3,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,NC,5,2025-12-27 13:30:26,2025-12-27 13:51:39,21.2,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,베이36B 론지취부,6,2025-12-27 14:25:45,2025-12-27 15:10:45,45.0,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,베이36B 론지용접,7,2025-12-27 15:10:45,2025-12-27 15:25:45,15.0,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,128,BLK_128C,4,베이36B 수정,8,2025-12-27 15:50:57,2025-12-27 16:17:57,27.0,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,판계,1,2025-12-27 09:25:00,2025-12-27 10:03:00,38.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,전면SAW,2,2025-12-27 12:09:12,2025-12-27 13:52:25,103.2,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,TurnOver,3,2025-12-27 13:52:25,2025-12-27 14:04:25,12.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,후면SAW,4,2025-12-27 14:04:25,2025-12-27 15:26:18,81.9,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,NC,5,2025-12-27 15:26:18,2025-12-27 16:11:56,45.6,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,베이35A 론지취부,6,2025-12-27 16:11:56,2025-12-27 17:17:56,66.0,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,베이35A 론지용접,7,2025-12-27 17:17:56,2025-12-27 17:40:32,22.6,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,29,BLK_29P,5,베이35A 수정,8,2025-12-27 17:40:32,2025-12-27 18:20:44,40.2,35A,베이35A,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,판계,1,2025-12-27 10:03:00,2025-12-27 10:33:00,30.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,전면SAW,2,2025-12-27 13:52:25,2025-12-27 14:34:30,42.1,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,TurnOver,3,2025-12-27 14:34:30,2025-12-27 14:46:30,12.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,후면SAW,4,2025-12-27 15:26:18,2025-12-27 16:00:33,34.2,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,NC,5,2025-12-27 16:11:56,2025-12-27 16:53:10,41.2,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,베이36B 론지취부,6,2025-12-27 16:53:10,2025-12-27 17:59:10,66.0,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,베이36B 론지용접,7,2025-12-27 17:59:10,2025-12-27 18:21:46,22.6,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,15,BLK_15S,6,베이36B 수정,8,2025-12-27 18:21:46,2025-12-27 19:01:58,40.2,36B,베이36B,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,148,BLK_148C,7,판계,1,2025-12-27 10:33:00,2025-12-27 10:58:00,25.0,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,148,BLK_148C,7,전면SAW,2,2025-12-27 14:34:30,2025-12-27 15:07:19,32.8,,공통,raw,
b150_base_r1,GA,Large (141-200),150,base,207.05,20,20251227,148,BLK_148C,7,TurnOver,3,2025-12-27 15:07:19,2025-12-27 15:19:19,12.0,,공통,raw,
