grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b150_heavy_work_r1,Proposed,79,BLK_79P,1,35A,622.6,P,fixed,F_10,19.0,19,4,1,0,2025-01-23 08:00,2025-01-23 18:22,2025-01-23 18:22
b150_heavy_work_r1,Proposed,69,BLK_69S,2,36B,455.1,S,fixed,F_10,19.8,28,6,0,0,2025-01-23 08:39,2025-01-23 20:30,2025-01-23 20:30
b150_heavy_work_r1,Proposed,21,BLK_21P,3,35A,499.0,P,line,L_1,19.0,16,2,1,0,2025-01-23 09:15,2025-01-23 20:30,2025-01-23 20:30
b150_heavy_work_r1,Proposed,59,BLK_59C,4,36B,354.8,C,fixed,F_10,16.5,15,5,0,0,2025-01-23 09:49,2025-01-23 21:20,2025-01-23 21:20
b150_heavy_work_r1,Proposed,9,BLK_9S,5,35A,445.8,S,line,L_1,8.9,9,2,1,0,2025-01-23 10:25,2025-01-23 22:30,2025-01-23 22:30
b150_heavy_work_r1,Proposed,13,BLK_13S,6,36B,320.2,S,line,L_1,16.5,16,4,0,0,2025-01-23 10:58,2025-01-24 00:07,2025-01-24 00:07
b150_heavy_work_r1,Proposed,14,BLK_14C,7,36B,726.7,C,line,L_1,30.3,24,10,2,0,2025-01-23 11:28,2025-01-24 05:39,2025-01-24 05:39
b150_heavy_work_r1,Proposed,1,BLK_1C,8,35A,315.9,C,line,L_1,10.5,17,4,0,0,2025-01-23 12:39,2025-01-24 05:27,2025-01-24 05:27
b150_heavy_work_r1,Proposed,5,BLK_5S,9,36B,246.7,S,line,L_1,5.7,7,1,0,0,2025-01-23 13:09,2025-01-24 06:04,2025-01-24 06:04
b150_heavy_work_r1,Proposed,6,BLK_6S,10,35A,455.4,S,line,L_1,16.4,11,4,1,0,2025-01-23 13:24,2025-01-24 06:23,2025-01-24 06:23
b150_heavy_work_r1,Proposed,60,BLK_60C,11,36B,608.1,C,fixed,F_2,18.3,18,5,0,0,2025-01-23 14:03,2025-01-24 10:48,2025-01-24 10:48
b150_heavy_work_r1,Proposed,29,BLK_29P,12,35A,473.7,P,line,L_1,5.9,10,1,2,0,2025-01-23 14:57,2025-01-24 11:53,2025-01-24 11:53
b150_heavy_work_r1,Proposed,18,BLK_18C,13,36B,332.5,C,line,L_1,20.9,17,4,0,0,2025-01-23 15:30,2025-01-24 13:37,2025-01-24 13:37
b150_heavy_work_r1,Proposed,147,BLK_18C,13,36B,332.5,C,line,L_1,20.9,17,4,0,0,2025-01-23 15:30,2025-01-24 13:37,2025-01-24 13:37
b150_heavy_work_r1,Proposed,80,BLK_80C,14,36B,346.3,C,fixed,F_2,23.9,18,6,0,0,2025-01-23 16:00,2025-01-24 15:08,2025-01-24 15:08
b150_heavy_work_r1,Proposed,90,BLK_90S,15,35A,429.2,S,fixed,F_2,13.8,15,5,1,0,2025-01-23 16:36,2025-01-24 15:14,2025-01-24 15:14
b150_heavy_work_r1,Proposed,17,BLK_17S,16,36B,276.6,S,line,L_1,16.5,12,4,0,0,2025-01-24 08:00,2025-01-24 15:50,2025-01-24 15:50
b150_heavy_work_r1,Proposed,10,BLK_10S,17,36B,438.1,S,line,L_1,22.6,23,7,0,0,2025-01-24 08:30,2025-01-24 18:15,2025-01-24 18:15
b150_heavy_work_r1,Proposed,130,BLK_130S,18,35A,339.3,S,fixed,F_2,15.2,20,4,0,0,2025-01-24 09:24,2025-01-24 18:23,2025-01-24 18:23
b150_heavy_work_r1,Proposed,2,BLK_2C,19,36B,263.9,C,line,L_1,18.3,10,5,0,0,2025-01-24 09:54,2025-01-24 18:48,2025-01-24 18:48
b150_heavy_work_r1,Proposed,70,BLK_70S,20,35A,293.8,S,fixed,F_2,17.6,13,6,0,0,2025-01-24 10:30,2025-01-24 19:17,2025-01-24 19:17
b150_heavy_work_r1,Proposed,58,BLK_58C,21,36B,547.5,C,fixed,F_1,12.9,17,2,0,0,2025-01-24 11:06,2025-01-24 22:12,2025-01-24 22:12
b150_heavy_work_r1,Proposed,54,BLK_54S,22,35A,670.0,S,line,L_1,19.0,21,4,2,0,2025-01-24 11:39,2025-01-25 02:42,2025-01-25 02:42
b150_heavy_work_r1,Proposed,26,BLK_26S,23,36B,416.5,S,line,L_1,16.1,24,5,0,0,2025-01-24 12:27,2025-01-25 03:56,2025-01-25 03:56
b150_heavy_work_r1,Proposed,68,BLK_68S,24,35A,533.1,S,fixed,F_1,15.2,15,2,1,0,2025-01-24 13:03,2025-01-25 05:00,2025-01-25 05:00
b150_heavy_work_r1,Proposed,34,BLK_34S,25,36B,381.9,S,line,L_1,22.8,23,5,0,0,2025-01-24 13:37,2025-01-25 06:55,2025-01-25 06:55
b150_heavy_work_r1,Proposed,42,BLK_42P,26,35A,456.8,P,line,L_1,8.7,15,2,1,0,2025-01-24 14:13,2025-01-25 07:07,2025-01-25 07:07
b150_heavy_work_r1,Proposed,98,BLK_98S,27,36B,318.4,S,fixed,F_1,22.6,16,5,0,0,2025-01-24 14:46,2025-01-25 08:06,2025-01-25 08:06
