grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b150_mixed_ps_sub_r1,GA,1,BLK_1C,1,35A,270.5,C,line,L_1,13.1,17,4,0,0,2025-04-06 08:00,2025-04-06 12:30,2025-04-06 12:30
b150_mixed_ps_sub_r1,GA,9,BLK_9S,2,36B,478.9,S,line,L_1,21.5,24,6,1,0,2025-04-06 08:30,2025-04-06 16:28,2025-04-06 16:28
b150_mixed_ps_sub_r1,GA,87,BLK_87P,3,35A,212.6,P,fixed,F_2,15.7,9,5,0,0,2025-04-06 09:15,2025-04-06 15:36,2025-04-06 15:36
b150_mixed_ps_sub_r1,GA,21,BLK_21C,4,36B,305.9,C,line,L_1,21.4,21,4,0,0,2025-04-06 09:45,2025-04-06 17:44,2025-04-06 17:44
b150_mixed_ps_sub_r1,GA,113,BLK_113C,5,35A,393.0,C,fixed,F_8,9.9,12,3,1,0,2025-04-06 10:15,2025-04-06 17:51,2025-04-06 17:51
b150_mixed_ps_sub_r1,GA,4,BLK_4C,6,36B,275.1,C,line,L_2,13.6,14,3,0,0,2025-04-06 10:48,2025-04-06 18:41,2025-04-06 18:41
b150_mixed_ps_sub_r1,GA,5,BLK_5C,7,35A,377.1,C,line,L_1,16.9,18,5,1,0,2025-04-06 11:13,2025-04-06 20:23,2025-04-06 20:23
b150_mixed_ps_sub_r1,GA,17,BLK_17S,8,36B,254.9,S,line,L_1,16.5,15,4,0,0,2025-04-06 11:43,2025-04-06 20:44,2025-04-06 20:44
b150_mixed_ps_sub_r1,GA,20,BLK_20S,9,35A,274.5,S,line,L_2,12.6,7,2,1,0,2025-04-06 12:13,2025-04-06 20:43,2025-04-06 20:43
b150_mixed_ps_sub_r1,GA,93,BLK_93C,10,36B,321.4,C,fixed,F_8,21.5,24,5,0,0,2025-04-06 12:41,2025-04-06 23:06,2025-04-06 23:06
b150_mixed_ps_sub_r1,GA,13,BLK_13P,11,35A,483.0,P,line,L_1,14.5,18,6,1,0,2025-04-07 08:00,2025-04-07 16:03,2025-04-07 16:03
b150_mixed_ps_sub_r1,GA,100,BLK_100P,12,36B,283.3,P,fixed,F_5,15.3,19,4,0,0,2025-04-07 08:45,2025-04-07 16:51,2025-04-07 16:51
b150_mixed_ps_sub_r1,GA,11,BLK_11S,13,35A,431.9,S,line,L_2,15.3,18,4,1,0,2025-04-07 09:15,2025-04-07 17:49,2025-04-07 17:49
b150_mixed_ps_sub_r1,GA,41,BLK_41C,14,36B,261.6,C,line,L_1,12.7,16,3,0,0,2025-04-07 09:53,2025-04-07 18:11,2025-04-07 18:11
b150_mixed_ps_sub_r1,GA,45,BLK_45S,15,35A,136.2,S,line,L_1,5.4,4,1,0,0,2025-04-07 10:18,2025-04-07 18:03,2025-04-07 18:03
b150_mixed_ps_sub_r1,GA,55,BLK_55C,16,36B,282.0,C,fixed,F_1,18.6,16,4,0,0,2025-04-07 10:30,2025-04-07 19:17,2025-04-07 19:17
b150_mixed_ps_sub_r1,GA,65,BLK_65C,17,35A,168.8,C,fixed,F_1,5.4,6,1,0,0,2025-04-07 11:00,2025-04-07 18:25,2025-04-07 18:25
b150_mixed_ps_sub_r1,GA,95,BLK_95C,18,36B,432.8,C,fixed,F_1,21.7,20,5,1,0,2025-04-07 11:12,2025-04-07 21:49,2025-04-07 21:49
b150_mixed_ps_sub_r1,GA,3,BLK_3C,19,35A,287.7,C,line,L_2,12.5,15,2,0,0,2025-04-07 11:42,2025-04-07 21:47,2025-04-07 21:47
b150_mixed_ps_sub_r1,GA,7,BLK_7C,20,36B,171.2,C,line,L_2,7.4,7,2,0,0,2025-04-07 12:02,2025-04-07 22:09,2025-04-07 22:09
b150_mixed_ps_sub_r1,GA,105,BLK_105P,21,35A,251.0,P,fixed,F_1,16.5,15,4,0,0,2025-04-07 12:22,2025-04-07 22:52,2025-04-07 22:52
b150_mixed_ps_sub_r1,GA,15,BLK_15S,22,36B,518.6,S,line,L_2,15.3,13,4,2,0,2025-04-07 12:52,2025-04-08 02:34,2025-04-08 02:34
b150_mixed_ps_sub_r1,GA,31,BLK_31C,23,35A,192.7,C,line,L_2,10.3,8,2,0,0,2025-04-07 13:37,2025-04-08 02:30,2025-04-08 02:30
b150_mixed_ps_sub_r1,GA,147,BLK_31C,23,35A,192.7,C,line,L_2,10.3,8,2,0,0,2025-04-07 13:37,2025-04-08 02:30,2025-04-08 02:30
b150_mixed_ps_sub_r1,GA,37,BLK_37C,24,36B,215.3,C,line,L_1,9.9,10,2,0,0,2025-04-07 13:57,2025-04-08 03:11,2025-04-08 03:11
b150_mixed_ps_sub_r1,GA,129,BLK_129C,25,35A,188.7,C,fixed,F_4,6.7,9,2,0,0,2025-04-07 14:17,2025-04-08 03:25,2025-04-08 03:25
b150_mixed_ps_sub_r1,GA,75,BLK_75S,26,36B,256.0,S,fixed,F_1,15.7,16,4,0,0,2025-04-07 14:37,2025-04-08 04:54,2025-04-08 04:54
b150_mixed_ps_sub_r1,GA,125,BLK_125P,27,35A,312.9,P,fixed,F_1,10.7,8,2,1,0,2025-04-07 15:07,2025-04-08 04:36,2025-04-08 04:36
b150_mixed_ps_sub_r1,GA,56,BLK_56C,28,36B,249.1,C,fixed,F_10,15.7,14,3,0,0,2025-04-07 15:35,2025-04-08 05:51,2025-04-08 05:51
b150_mixed_ps_sub_r1,GA,19,BLK_19P,29,35A,480.4,P,line,L_2,15.7,20,3,1,0,2025-04-07 16:00,2025-04-08 09:14,2025-04-08 09:14
b150_mixed_ps_sub_r1,GA,12,BLK_12S,30,36B,208.6,S,line,L_2,10.7,7,2,0,0,2025-04-07 16:33,2025-04-08 08:19,2025-04-08 08:19
b150_mixed_ps_sub_r1,GA,16,BLK_16P,31,35A,274.2,P,line,L_2,15.3,17,4,0,0,2025-04-07 16:53,2025-04-08 10:16,2025-04-08 10:16
b150_mixed_ps_sub_r1,GA,29,BLK_29C,32,36B,267.4,C,line,L_1,21.2,16,4,0,0,2025-04-07 17:23,2025-04-08 10:42,2025-04-08 10:42
b150_mixed_ps_sub_r1,GA,99,BLK_99C,33,36B,281.8,C,fixed,F_4,23.3,13,6,0,0,2025-04-08 08:00,2025-04-08 12:41,2025-04-08 12:41
b150_mixed_ps_sub_r1,GA,145,BLK_99C,33,36B,281.8,C,fixed,F_4,23.3,13,6,0,0,2025-04-08 08:00,2025-04-08 12:41,2025-04-08 12:41
b150_mixed_ps_sub_r1,GA,59,BLK_59P,34,35A,433.8,P,fixed,F_4,8.5,12,1,0,0,2025-04-08 08:45,2025-04-08 16:08,2025-04-08 16:08
b150_mixed_ps_sub_r1,GA,10,BLK_10S,35,36B,393.9,S,line,L_1,11.9,10,2,1,0,2025-04-08 09:12,2025-04-08 17:56,2025-04-08 17:56
b150_mixed_ps_sub_r1,GA,25,BLK_25S,36,35A,269.6,S,line,L_1,18.9,14,3,0,0,2025-04-08 09:40,2025-04-08 19:01,2025-04-08 19:01
b150_mixed_ps_sub_r1,GA,84,BLK_84P,37,36B,329.9,P,fixed,F_9,5.4,5,3,1,0,2025-04-08 10:05,2025-04-08 19:35,2025-04-08 19:35
b150_mixed_ps_sub_r1,GA,33,BLK_33S,38,35A,220.3,S,line,L_1,8.5,7,2,0,0,2025-04-08 10:38,2025-04-08 20:25,2025-04-08 20:25
b150_mixed_ps_sub_r1,GA,85,BLK_85P,39,36B,214.9,P,fixed,F_1,8.6,10,1,0,0,2025-04-08 10:58,2025-04-08 21:13,2025-04-08 21:13
b150_mixed_ps_sub_r1,GA,135,BLK_125S,40,35A,312.9,S,fixed,F_1,10.7,8,2,1,0,2025-04-08 11:10,2025-04-08 22:21,2025-04-08 22:21
b150_mixed_ps_sub_r1,GA,62,BLK_62C,41,36B,334.6,C,fixed,F_7,20.0,26,4,0,0,2025-04-08 11:38,2025-04-09 01:04,2025-04-09 01:04
b150_mixed_ps_sub_r1,GA,138,BLK_85S,42,35A,214.9,S,fixed,F_1,8.6,10,1,0,0,2025-04-08 12:08,2025-04-08 23:45,2025-04-08 23:45
b150_mixed_ps_sub_r1,GA,76,BLK_76P,43,36B,422.8,P,fixed,F_10,9.9,16,2,1,0,2025-04-08 12:20,2025-04-09 02:55,2025-04-09 02:55
