grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b150_ps_heavy_r1,MSF,1,BLK_1C,1,판계,1,2025-01-27 08:00:00,2025-01-27 08:12:00,12.0,,공통
b150_ps_heavy_r1,MSF,1,BLK_1C,1,전면SAW,2,2025-01-27 08:12:00,2025-01-27 08:53:51,41.9,,공통
b150_ps_heavy_r1,MSF,1,BLK_1C,1,TurnOver,3,2025-01-27 08:53:51,2025-01-27 09:05:51,12.0,,공통
b150_ps_heavy_r1,MSF,1,BLK_1C,1,후면SAW,4,2025-01-27 09:05:51,2025-01-27 09:39:49,34.0,,공통
b150_ps_heavy_r1,MSF,1,BLK_1C,1,NC,5,2025-01-27 09:39:49,2025-01-27 10:00:52,21.1,,공통
b150_ps_heavy_r1,MSF,1,BLK_1C,1,베이35A 론지취부,6,2025-01-27 10:00:52,2025-01-27 10:44:52,44.0,35A,베이35A
b150_ps_heavy_r1,MSF,1,BLK_1C,1,베이35A 론지용접,7,2025-01-27 10:44:52,2025-01-27 11:04:04,19.2,35A,베이35A
b150_ps_heavy_r1,MSF,1,BLK_1C,1,베이35A 수정,8,2025-01-27 11:04:04,2025-01-27 11:20:04,16.0,35A,베이35A
b150_ps_heavy_r1,MSF,13,BLK_13S,2,판계,1,2025-01-27 08:12:00,2025-01-27 08:32:00,20.0,,공통
b150_ps_heavy_r1,MSF,13,BLK_13S,2,전면SAW,2,2025-01-27 08:53:51,2025-01-27 10:14:06,80.2,,공통
b150_ps_heavy_r1,MSF,13,BLK_13S,2,TurnOver,3,2025-01-27 10:14:06,2025-01-27 10:26:06,12.0,,공통
b150_ps_heavy_r1,MSF,13,BLK_13S,2,후면SAW,4,2025-01-27 10:26:06,2025-01-27 11:41:40,75.6,,공통
b150_ps_heavy_r1,MSF,13,BLK_13S,2,NC,5,2025-01-27 11:41:40,2025-01-27 12:06:41,25.0,,공통
b150_ps_heavy_r1,MSF,13,BLK_13S,2,베이36B 론지취부,6,2025-01-27 12:06:41,2025-01-27 12:51:41,45.0,36B,베이36B
b150_ps_heavy_r1,MSF,13,BLK_13S,2,베이36B 론지용접,7,2025-01-27 12:51:41,2025-01-27 13:06:41,15.0,36B,베이36B
b150_ps_heavy_r1,MSF,13,BLK_13S,2,베이36B 수정,8,2025-01-27 13:06:41,2025-01-27 13:33:41,27.0,36B,베이36B
b150_ps_heavy_r1,MSF,78,BLK_78C,3,판계,1,2025-01-27 08:32:00,2025-01-27 08:57:00,25.0,,공통
b150_ps_heavy_r1,MSF,78,BLK_78C,3,전면SAW,2,2025-01-27 10:14:06,2025-01-27 10:47:18,33.2,,공통
b150_ps_heavy_r1,MSF,78,BLK_78C,3,TurnOver,3,2025-01-27 10:47:18,2025-01-27 10:59:18,12.0,,공통
b150_ps_heavy_r1,MSF,78,BLK_78C,3,후면SAW,4,2025-01-27 11:41:40,2025-01-27 12:04:14,22.6,,공통
b150_ps_heavy_r1,MSF,78,BLK_78C,3,NC,5,2025-01-27 12:06:41,2025-01-27 12:43:30,36.8,,공통
b150_ps_heavy_r1,MSF,78,BLK_78C,3,베이35A 론지취부,6,2025-01-27 12:43:30,2025-01-27 13:56:30,73.0,35A,베이35A
b150_ps_heavy_r1,MSF,78,BLK_78C,3,베이35A 론지용접,7,2025-01-27 13:56:30,2025-01-27 14:20:18,23.8,35A,베이35A
b150_ps_heavy_r1,MSF,78,BLK_78C,3,베이35A 수정,8,2025-01-27 14:20:18,2025-01-27 15:04:54,44.6,35A,베이35A
b150_ps_heavy_r1,MSF,58,BLK_58C,4,판계,1,2025-01-27 08:57:00,2025-01-27 09:27:00,30.0,,공통
b150_ps_heavy_r1,MSF,58,BLK_58C,4,전면SAW,2,2025-01-27 10:47:18,2025-01-27 11:15:55,28.6,,공통
b150_ps_heavy_r1,MSF,58,BLK_58C,4,TurnOver,3,2025-01-27 11:15:55,2025-01-27 11:27:55,12.0,,공통
b150_ps_heavy_r1,MSF,58,BLK_58C,4,후면SAW,4,2025-01-27 12:04:14,2025-01-27 12:20:46,16.5,,공통
b150_ps_heavy_r1,MSF,58,BLK_58C,4,NC,5,2025-01-27 12:43:30,2025-01-27 13:23:29,40.0,,공통
b150_ps_heavy_r1,MSF,58,BLK_58C,4,베이36B 론지취부,6,2025-01-27 13:23:29,2025-01-27 14:22:29,59.0,36B,베이36B
b150_ps_heavy_r1,MSF,58,BLK_58C,4,베이36B 론지용접,7,2025-01-27 14:22:29,2025-01-27 14:43:53,21.4,36B,베이36B
b150_ps_heavy_r1,MSF,58,BLK_58C,4,베이36B 수정,8,2025-01-27 14:43:53,2025-01-27 15:19:41,35.8,36B,베이36B
b150_ps_heavy_r1,MSF,68,BLK_68P,5,판계,1,2025-01-27 09:27:00,2025-01-27 10:05:00,38.0,,공통
b150_ps_heavy_r1,MSF,68,BLK_68P,5,전면SAW,2,2025-01-27 11:15:55,2025-01-27 13:18:49,122.9,,공통
