grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b150_sub_heavy_r1,MSF,9,BLK_9S,1,판계,1,2025-04-12 08:00:00,2025-04-12 08:20:00,20.0,,공통
b150_sub_heavy_r1,MSF,9,BLK_9S,1,전면SAW,2,2025-04-12 08:20:00,2025-04-12 08:56:40,36.7,,공통
b150_sub_heavy_r1,MSF,9,BLK_9S,1,TurnOver,3,2025-04-12 08:56:40,2025-04-12 09:08:40,12.0,,공통
b150_sub_heavy_r1,MSF,9,BLK_9S,1,후면SAW,4,2025-04-12 09:08:40,2025-04-12 09:35:49,27.1,,공통
b150_sub_heavy_r1,MSF,9,BLK_9S,1,NC,5,2025-04-12 09:35:49,2025-04-12 10:06:22,30.6,,공통
b150_sub_heavy_r1,MSF,9,BLK_9S,1,베이35A 론지취부,6,2025-04-12 10:06:22,2025-04-12 11:05:22,59.0,35A,베이35A
b150_sub_heavy_r1,MSF,9,BLK_9S,1,베이35A 론지용접,7,2025-04-12 11:05:22,2025-04-12 11:26:46,21.4,35A,베이35A
b150_sub_heavy_r1,MSF,9,BLK_9S,1,베이35A 수정,8,2025-04-12 11:26:46,2025-04-12 12:02:34,35.8,35A,베이35A
b150_sub_heavy_r1,MSF,13,BLK_13S,2,판계,1,2025-04-12 08:20:00,2025-04-12 08:40:00,20.0,,공통
b150_sub_heavy_r1,MSF,13,BLK_13S,2,전면SAW,2,2025-04-12 08:56:40,2025-04-12 09:29:34,32.9,,공통
b150_sub_heavy_r1,MSF,13,BLK_13S,2,TurnOver,3,2025-04-12 09:29:34,2025-04-12 09:41:34,12.0,,공통
b150_sub_heavy_r1,MSF,13,BLK_13S,2,후면SAW,4,2025-04-12 09:41:34,2025-04-12 10:03:43,22.2,,공통
b150_sub_heavy_r1,MSF,13,BLK_13S,2,NC,5,2025-04-12 10:06:22,2025-04-12 10:36:16,29.9,,공통
b150_sub_heavy_r1,MSF,13,BLK_13S,2,베이36B 론지취부,6,2025-04-12 10:36:16,2025-04-12 11:52:46,76.5,36B,베이36B
b150_sub_heavy_r1,MSF,13,BLK_13S,2,베이36B 론지용접,7,2025-04-12 11:52:46,2025-04-12 12:17:10,24.4,36B,베이36B
b150_sub_heavy_r1,MSF,13,BLK_13S,2,베이36B 수정,8,2025-04-12 12:17:10,2025-04-12 13:03:58,46.8,36B,베이36B
b150_sub_heavy_r1,MSF,79,BLK_79C,3,판계,1,2025-04-12 08:40:00,2025-04-12 09:08:00,28.0,,공통
b150_sub_heavy_r1,MSF,79,BLK_79C,3,전면SAW,2,2025-04-12 09:29:34,2025-04-12 11:10:45,101.2,,공통
b150_sub_heavy_r1,MSF,79,BLK_79C,3,TurnOver,3,2025-04-12 11:10:45,2025-04-12 11:22:45,12.0,,공통
