grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,1,69,BLK_69C,C,fixed,F_1,F_1,2025-09-27,15.4,18,4,1,False,7,35A,False,393.6,True,NORMAL,False,0,0,0,[],[],[],2025-09-27 08:00,2025-09-27 08:38,2025-09-27 14:33,2025-09-27 08:00,2025-09-27 14:33,393.6,6.56,38.0,88.9,12.0,68.8,44.5,73.0,23.8,44.6
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,2,99,BLK_99C,C,fixed,F_1,F_1,2025-09-27,16.5,16,4,0,False,7,36B,False,261.6,True,NORMAL,False,0,0,1,[],[],[],2025-09-27 08:38,2025-09-27 10:06,2025-09-27 15:03,2025-09-27 08:38,2025-09-27 15:03,423.0,7.05,30.0,30.2,12.0,18.6,42.0,66.0,22.6,40.2
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,3,79,BLK_79P,P,fixed,F_1,F_1,2025-09-27,12.3,9,1,1,False,2,35A,False,366.5,True,NORMAL,False,0,0,0,[],[],[],2025-09-27 09:08,2025-09-27 10:37,2025-09-27 16:23,2025-09-27 09:08,2025-09-27 16:23,503.5,8.39,20.0,122.2,12.0,99.2,28.4,41.5,18.4,24.8
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,4,59,BLK_59C,C,fixed,F_1,F_1,2025-09-27,15.3,16,4,0,False,7,36B,False,258.5,True,NORMAL,False,0,0,1,[],[],[],2025-09-27 09:28,2025-09-27 12:39,2025-09-27 17:46,2025-09-27 09:28,2025-09-27 17:46,586.7,9.78,30.0,30.1,12.0,18.5,39.0,66.0,22.6,40.2
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,5,89,BLK_89S,S,fixed,F_1,F_1,2025-09-27,14.5,5,2,0,False,2,35A,False,189.3,True,NORMAL,False,0,0,0,[],[],[],2025-09-27 09:58,2025-09-27 13:09,2025-09-27 17:03,2025-09-27 09:58,2025-09-27 17:03,586.7,9.78,20.0,39.9,12.0,31.4,26.6,27.5,16.0,16.0
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,6,21,BLK_21S,S,line,L_1,L_11,2025-09-28,12.7,12,4,1,False,6,36B,False,410.9,True,NORMAL,False,0,0,0,[],[],[],2025-09-27 10:18,2025-09-27 13:49,2025-09-27 20:02,2025-09-27 10:18,2025-09-27 20:02,722.2,12.04,38.0,106.1,12.0,105.7,45.6,52.0,20.2,31.4
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,7,9,BLK_9S,S,line,L_1,L_11,2025-09-28,28.9,22,6,0,True,12,36B,False,359.1,True,NORMAL,False,0,0,0,[],[],[],2025-09-27 10:56,2025-09-27 15:35,2025-09-27 22:02,2025-09-27 10:56,2025-09-27 22:02,842.8,14.05,45.0,42.8,12.0,35.2,57.5,87.0,26.2,53.4
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,8,17,BLK_17C,C,line,L_1,L_11,2025-09-28,5.4,9,1,1,False,5,35A,False,312.9,True,NORMAL,False,1,1,2,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 3판 연속 → 최대 2판'],2025-09-27 11:41,2025-09-27 16:18,2025-09-27 21:11,2025-09-27 11:41,2025-09-27 21:11,842.8,14.05,20.0,97.8,12.0,77.0,25.4,41.5,14.4,24.8
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,9,13,BLK_13S,S,line,L_1,L_11,2025-09-28,10.3,14,2,0,False,6,36B,False,245.1,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 4판 연속 → 최대 2판'],2025-09-27 12:01,2025-09-27 17:56,2025-09-27 22:39,2025-09-27 12:01,2025-09-27 22:39,879.4,14.66,20.0,38.4,12.0,29.4,29.1,59.0,21.4,35.8
b160_mixed_ps_sub_r1,LPT,Large (141-200),160,mixed_ps_sub,249.76666666666668,14,20250927,10,5,BLK_5C,C,line,L_1,L_11,2025-09-28,28.9,8,6,0,False,9,36B,False,232.2,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 5판 연속 → 최대 2판'],2025-09-27 12:21,2025-09-27 18:34,2025-09-27 23:01,2025-09-27 12:21,2025-09-27 23:01,902.0,15.03,45.0,30.1,12.0,18.5,48.3,38.0,17.8,22.6
