grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b160_mixed_ps_sub_r1,Proposed,83,BLK_83P,1,35A,671.5,P,fixed,F_4,17.4,29,3,3,0,2025-09-27 08:00,2025-09-27 19:11,2025-09-27 19:11
b160_mixed_ps_sub_r1,Proposed,4,BLK_4C,2,36B,449.9,C,line,L_2,19.0,18,4,0,0,2025-09-27 08:40,2025-09-27 19:31,2025-09-27 19:31
b160_mixed_ps_sub_r1,Proposed,125,BLK_125C,3,36B,424.8,C,fixed,F_6,28.9,32,6,0,1,2025-09-27 09:18,2025-09-27 22:12,2025-09-27 22:12
b160_mixed_ps_sub_r1,Proposed,81,BLK_81C,4,35A,630.3,C,fixed,F_2,19.8,26,5,3,0,2025-09-27 10:03,2025-09-28 00:28,2025-09-28 00:28
b160_mixed_ps_sub_r1,Proposed,115,BLK_115C,5,36B,362.3,C,fixed,F_6,18.9,28,5,0,0,2025-09-27 10:33,2025-09-28 01:30,2025-09-28 01:30
b160_mixed_ps_sub_r1,Proposed,31,BLK_31C,6,35A,424.0,C,line,L_2,12.6,12,4,2,0,2025-09-27 11:03,2025-09-28 00:59,2025-09-28 00:59
b160_mixed_ps_sub_r1,Proposed,99,BLK_99C,7,36B,261.6,C,fixed,F_1,16.5,16,4,0,0,2025-09-27 11:48,2025-09-28 02:10,2025-09-28 02:10
b160_mixed_ps_sub_r1,Proposed,133,BLK_133C,8,35A,483.6,C,fixed,F_4,16.4,27,3,1,0,2025-09-27 12:18,2025-09-28 04:20,2025-09-28 04:20
b160_mixed_ps_sub_r1,Proposed,67,BLK_67C,9,36B,282.8,C,fixed,F_8,13.6,15,2,0,0,2025-09-27 12:51,2025-09-28 03:39,2025-09-28 03:39
b160_mixed_ps_sub_r1,Proposed,92,BLK_92S,10,35A,484.3,S,fixed,F_3,16.5,17,4,2,0,2025-09-28 08:00,2025-09-28 16:04,2025-09-28 16:04
b160_mixed_ps_sub_r1,Proposed,9,BLK_9S,11,36B,359.1,S,line,L_1,28.9,22,6,0,0,2025-09-28 08:45,2025-09-28 17:33,2025-09-28 17:33
b160_mixed_ps_sub_r1,Proposed,69,BLK_69C,12,35A,393.6,C,fixed,F_1,15.4,18,4,1,0,2025-09-28 09:30,2025-09-28 17:52,2025-09-28 17:52
b160_mixed_ps_sub_r1,Proposed,13,BLK_13S,13,36B,245.1,S,line,L_1,10.3,14,2,0,0,2025-09-28 10:08,2025-09-28 18:09,2025-09-28 18:09
b160_mixed_ps_sub_r1,Proposed,79,BLK_79P,14,35A,366.5,P,fixed,F_1,12.3,9,1,1,0,2025-09-28 10:28,2025-09-28 19:41,2025-09-28 19:41
b160_mixed_ps_sub_r1,Proposed,59,BLK_59C,15,36B,258.5,C,fixed,F_1,15.3,16,4,0,0,2025-09-28 10:48,2025-09-28 21:04,2025-09-28 21:04
b160_mixed_ps_sub_r1,Proposed,118,BLK_118S,16,35A,448.1,S,fixed,F_9,10.1,10,2,3,0,2025-09-28 11:18,2025-09-28 23:20,2025-09-28 23:20
b160_mixed_ps_sub_r1,Proposed,61,BLK_61C,17,36B,327.5,C,fixed,F_2,9.5,8,2,0,0,2025-09-28 11:53,2025-09-29 00:15,2025-09-29 00:15
b160_mixed_ps_sub_r1,Proposed,70,BLK_70C,18,35A,366.7,C,fixed,F_10,18.1,15,2,1,0,2025-09-28 12:21,2025-09-29 02:20,2025-09-29 02:20
b160_mixed_ps_sub_r1,Proposed,11,BLK_11C,19,36B,340.9,C,line,L_2,21.7,27,4,0,0,2025-09-28 12:49,2025-09-29 04:21,2025-09-29 04:21
b160_mixed_ps_sub_r1,Proposed,158,BLK_11C,19,36B,340.9,C,line,L_2,21.7,27,4,0,0,2025-09-28 12:49,2025-09-29 04:21,2025-09-29 04:21
b160_mixed_ps_sub_r1,Proposed,96,BLK_96P,20,35A,467.0,P,fixed,F_7,12.6,15,3,2,0,2025-09-28 13:19,2025-09-29 05:56,2025-09-29 05:56
b160_mixed_ps_sub_r1,Proposed,1,BLK_1C,21,36B,205.6,C,line,L_1,5.4,10,1,0,0,2025-09-28 13:59,2025-09-29 05:42,2025-09-29 05:42
b160_mixed_ps_sub_r1,Proposed,17,BLK_17C,22,35A,312.9,C,line,L_1,5.4,9,1,1,0,2025-09-29 08:00,2025-09-29 13:12,2025-09-29 13:12
b160_mixed_ps_sub_r1,Proposed,128,BLK_128C,23,36B,325.3,C,fixed,F_9,19.9,25,4,0,0,2025-09-29 08:20,2025-09-29 15:41,2025-09-29 15:41
b160_mixed_ps_sub_r1,Proposed,153,BLK_128C,23,36B,325.3,C,fixed,F_9,19.9,25,4,0,0,2025-09-29 08:20,2025-09-29 15:41,2025-09-29 15:41
b160_mixed_ps_sub_r1,Proposed,71,BLK_71C,24,35A,513.6,C,fixed,F_2,15.7,21,4,1,0,2025-09-29 08:50,2025-09-29 18:25,2025-09-29 18:25
b160_mixed_ps_sub_r1,Proposed,114,BLK_114P,25,36B,341.0,P,fixed,F_5,19.9,27,4,0,0,2025-09-29 09:28,2025-09-29 19:48,2025-09-29 19:48
b160_mixed_ps_sub_r1,Proposed,105,BLK_105C,26,35A,450.9,C,fixed,F_6,18.9,23,4,1,0,2025-09-29 09:58,2025-09-29 20:22,2025-09-29 20:22
b160_mixed_ps_sub_r1,Proposed,94,BLK_94P,27,36B,296.8,P,fixed,F_5,15.9,21,3,0,0,2025-09-29 10:36,2025-09-29 20:55,2025-09-29 20:55
b160_mixed_ps_sub_r1,Proposed,77,BLK_77S,28,35A,415.0,S,fixed,F_8,7.4,10,2,1,0,2025-09-29 11:01,2025-09-29 21:52,2025-09-29 21:52
b160_mixed_ps_sub_r1,Proposed,85,BLK_85C,29,36B,323.8,C,fixed,F_6,19.9,25,4,0,0,2025-09-29 11:29,2025-09-30 00:15,2025-09-30 00:15
b160_mixed_ps_sub_r1,Proposed,88,BLK_88S,30,35A,396.3,S,fixed,F_9,5.4,8,2,2,0,2025-09-29 11:59,2025-09-30 00:04,2025-09-30 00:04
b160_mixed_ps_sub_r1,Proposed,135,BLK_135S,31,36B,319.0,S,fixed,F_6,23.3,25,4,0,0,2025-09-29 12:34,2025-09-30 02:40,2025-09-30 02:40
