grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b160_sub_heavy_r1,LPT,92,BLK_92S,1,35A,505.3,S,fixed,F_1,18.1,21,5,2,0,2025-10-10 08:00,2025-10-10 16:25,2025-10-10 16:25
b160_sub_heavy_r1,LPT,72,BLK_72C,2,36B,213.0,C,fixed,F_1,7.4,9,1,0,0,2025-10-10 08:30,2025-10-10 15:28,2025-10-10 15:28
b160_sub_heavy_r1,LPT,62,BLK_62C,3,35A,187.3,C,fixed,F_1,9.8,10,1,0,0,2025-10-10 08:42,2025-10-10 16:52,2025-10-10 16:52
b160_sub_heavy_r1,LPT,9,BLK_9C,4,36B,475.8,C,line,L_1,18.8,21,6,1,0,2025-10-10 08:54,2025-10-10 19:20,2025-10-10 19:20
b160_sub_heavy_r1,LPT,2,BLK_2C,5,35A,368.6,C,line,L_1,15.7,8,2,0,0,2025-10-10 09:39,2025-10-10 19:30,2025-10-10 19:30
b160_sub_heavy_r1,LPT,18,BLK_18S,6,36B,423.4,S,line,L_1,17.4,15,4,1,0,2025-10-10 10:07,2025-10-10 22:12,2025-10-10 22:12
b160_sub_heavy_r1,LPT,5,BLK_5S,7,36B,330.1,S,line,L_1,22.5,19,4,0,0,2025-10-10 10:45,2025-10-10 23:39,2025-10-10 23:39
b160_sub_heavy_r1,LPT,29,BLK_29P,8,35A,386.5,P,line,L_1,14.0,14,3,1,0,2025-10-10 11:15,2025-10-11 00:11,2025-10-11 00:11
b160_sub_heavy_r1,LPT,6,BLK_6P,9,36B,300.2,P,line,L_1,16.5,21,3,0,0,2025-10-10 11:48,2025-10-11 01:33,2025-10-11 01:33
b160_sub_heavy_r1,LPT,13,BLK_13P,10,35A,256.5,P,line,L_1,15.4,13,5,0,0,2025-10-10 12:13,2025-10-11 01:26,2025-10-11 01:26
b160_sub_heavy_r1,LPT,1,BLK_1C,11,36B,246.1,C,line,L_1,15.7,15,2,0,0,2025-10-10 12:43,2025-10-11 02:18,2025-10-11 02:18
b160_sub_heavy_r1,LPT,132,BLK_132P,12,35A,623.9,P,fixed,F_1,19.8,30,4,2,0,2025-10-10 13:03,2025-10-11 07:28,2025-10-11 07:28
b160_sub_heavy_r1,LPT,63,BLK_63C,13,36B,332.2,C,fixed,F_10,5.4,8,1,0,0,2025-10-10 13:48,2025-10-11 06:06,2025-10-11 06:06
b160_sub_heavy_r1,LPT,83,BLK_83P,14,35A,457.1,P,fixed,F_10,19.9,23,5,1,0,2025-10-10 14:08,2025-10-11 09:35,2025-10-11 09:35
b160_sub_heavy_r1,LPT,73,BLK_73S,15,36B,225.8,S,fixed,F_10,17.4,11,4,0,0,2025-10-10 14:38,2025-10-11 09:00,2025-10-11 09:00
b160_sub_heavy_r1,LPT,102,BLK_102S,16,35A,366.2,S,fixed,F_1,6.4,8,1,1,0,2025-10-10 15:08,2025-10-11 10:27,2025-10-11 10:27
b160_sub_heavy_r1,LPT,82,BLK_82P,17,36B,211.7,P,fixed,F_1,9.9,10,2,0,0,2025-10-10 15:28,2025-10-11 11:11,2025-10-11 11:11
b160_sub_heavy_r1,LPT,112,BLK_112C,18,35A,180.6,C,fixed,F_1,5.4,6,1,0,0,2025-10-10 15:48,2025-10-11 11:09,2025-10-11 11:09
b160_sub_heavy_r1,LPT,64,BLK_64C,19,36B,560.8,C,fixed,F_2,15.7,14,2,0,0,2025-10-10 16:00,2025-10-11 16:52,2025-10-11 16:52
b160_sub_heavy_r1,LPT,74,BLK_74S,20,35A,533.6,S,fixed,F_2,18.1,27,2,1,0,2025-10-10 16:35,2025-10-11 20:01,2025-10-11 20:01
b160_sub_heavy_r1,LPT,3,BLK_3C,21,36B,312.9,C,line,L_2,18.9,18,3,0,0,2025-10-10 17:03,2025-10-11 19:50,2025-10-11 19:50
b160_sub_heavy_r1,LPT,17,BLK_17C,22,35A,300.0,C,line,L_1,17.4,21,4,0,0,2025-10-10 17:28,2025-10-11 21:08,2025-10-11 21:08
b160_sub_heavy_r1,LPT,57,BLK_57S,23,36B,546.5,S,line,L_1,19.0,25,4,2,0,2025-10-11 08:00,2025-10-11 23:22,2025-10-11 23:22
b160_sub_heavy_r1,LPT,7,BLK_7P,24,35A,278.2,P,line,L_2,18.9,17,4,0,0,2025-10-11 08:45,2025-10-11 23:16,2025-10-11 23:16
b160_sub_heavy_r1,LPT,11,BLK_11S,25,36B,464.3,S,line,L_2,18.9,15,4,1,0,2025-10-11 09:15,2025-10-12 01:05,2025-10-12 01:05
b160_sub_heavy_r1,LPT,21,BLK_21S,26,35A,294.8,S,line,L_1,18.1,20,4,0,0,2025-10-11 09:53,2025-10-12 02:19,2025-10-12 02:19
b160_sub_heavy_r1,LPT,15,BLK_15P,27,36B,421.0,P,line,L_2,15.4,16,6,1,0,2025-10-11 10:23,2025-10-12 03:08,2025-10-12 03:08
b160_sub_heavy_r1,LPT,104,BLK_104P,28,35A,237.6,P,fixed,F_2,16.4,13,3,0,0,2025-10-11 11:08,2025-10-12 03:26,2025-10-12 03:26
b160_sub_heavy_r1,LPT,53,BLK_53P,29,36B,368.9,P,line,L_1,15.3,13,4,1,0,2025-10-11 11:33,2025-10-12 04:13,2025-10-12 04:13
b160_sub_heavy_r1,LPT,122,BLK_122S,30,35A,262.8,S,fixed,F_1,19.9,14,4,0,0,2025-10-11 12:11,2025-10-12 05:01,2025-10-12 05:01
b160_sub_heavy_r1,LPT,152,BLK_152S,31,36B,450.8,S,fixed,F_1,15.4,13,4,2,0,2025-10-11 12:41,2025-10-12 07:30,2025-10-12 07:30
b160_sub_heavy_r1,LPT,75,BLK_75P,32,35A,246.3,P,fixed,F_3,10.0,13,1,0,0,2025-10-11 13:26,2025-10-12 07:53,2025-10-12 07:53
b160_sub_heavy_r1,LPT,142,BLK_142P,33,36B,448.8,P,fixed,F_1,9.9,13,2,2,0,2025-10-12 08:00,2025-10-12 15:28,2025-10-12 15:28
b160_sub_heavy_r1,LPT,10,BLK_10P,34,35A,243.0,P,line,L_1,10.2,15,3,0,0,2025-10-12 08:35,2025-10-12 16:15,2025-10-12 16:15
