grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b170_base_r1,LPT,5,BLK_5C,1,판계,1,2025-08-15 08:00:00,2025-08-15 08:30:00,30.0,,공통
b170_base_r1,LPT,5,BLK_5C,1,전면SAW,2,2025-08-15 08:30:00,2025-08-15 11:10:28,160.5,,공통
b170_base_r1,LPT,5,BLK_5C,1,TurnOver,3,2025-08-15 11:10:28,2025-08-15 11:22:28,12.0,,공통
b170_base_r1,LPT,5,BLK_5C,1,후면SAW,4,2025-08-15 11:22:28,2025-08-15 13:42:18,139.8,,공통
b170_base_r1,LPT,5,BLK_5C,1,NC,5,2025-08-15 13:42:18,2025-08-15 14:40:55,58.6,,공통
b170_base_r1,LPT,5,BLK_5C,1,베이35A 론지취부,6,2025-08-15 14:40:55,2025-08-15 16:21:55,101.0,35A,베이35A
b170_base_r1,LPT,5,BLK_5C,1,베이35A 론지용접,7,2025-08-15 16:21:55,2025-08-15 16:50:31,28.6,35A,베이35A
b170_base_r1,LPT,5,BLK_5C,1,베이35A 수정,8,2025-08-15 16:50:31,2025-08-15 17:52:43,62.2,35A,베이35A
b170_base_r1,LPT,13,BLK_13C,2,판계,1,2025-08-15 08:30:00,2025-08-15 09:00:00,30.0,,공통
b170_base_r1,LPT,13,BLK_13C,2,전면SAW,2,2025-08-15 11:10:28,2025-08-15 11:44:38,34.2,,공통
b170_base_r1,LPT,13,BLK_13C,2,TurnOver,3,2025-08-15 11:44:38,2025-08-15 11:56:38,12.0,,공통
b170_base_r1,LPT,13,BLK_13C,2,후면SAW,4,2025-08-15 13:42:18,2025-08-15 14:06:08,23.8,,공통
b170_base_r1,LPT,13,BLK_13C,2,NC,5,2025-08-15 14:40:55,2025-08-15 15:24:43,43.8,,공통
b170_base_r1,LPT,13,BLK_13C,2,베이36B 론지취부,6,2025-08-15 15:24:43,2025-08-15 16:37:43,73.0,36B,베이36B
b170_base_r1,LPT,13,BLK_13C,2,베이36B 론지용접,7,2025-08-15 16:37:43,2025-08-15 17:01:31,23.8,36B,베이36B
b170_base_r1,LPT,13,BLK_13C,2,베이36B 수정,8,2025-08-15 17:01:31,2025-08-15 17:46:07,44.6,36B,베이36B
b170_base_r1,LPT,79,BLK_79P,3,판계,1,2025-08-15 09:00:00,2025-08-15 09:45:00,45.0,,공통
b170_base_r1,LPT,79,BLK_79P,3,전면SAW,2,2025-08-15 11:44:38,2025-08-15 14:23:35,158.9,,공통
b170_base_r1,LPT,79,BLK_79P,3,TurnOver,3,2025-08-15 14:23:35,2025-08-15 14:35:35,12.0,,공통
b170_base_r1,LPT,79,BLK_79P,3,후면SAW,4,2025-08-15 14:35:35,2025-08-15 16:32:52,117.3,,공통
b170_base_r1,LPT,79,BLK_79P,3,NC,5,2025-08-15 16:32:52,2025-08-15 17:28:32,55.7,,공통
