grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b170_heavy_work_r1,GA,2,BLK_2C,1,판계,1,2025-12-02 08:00:00,2025-12-02 08:45:36,45.6,,공통
b170_heavy_work_r1,GA,2,BLK_2C,1,전면SAW,2,2025-12-02 08:45:36,2025-12-02 10:59:39,134.1,,공통
b170_heavy_work_r1,GA,2,BLK_2C,1,TurnOver,3,2025-12-02 10:59:39,2025-12-02 11:14:03,14.4,,공통
b170_heavy_work_r1,GA,2,BLK_2C,1,후면SAW,4,2025-12-02 11:14:03,2025-12-02 13:28:47,134.7,,공통
b170_heavy_work_r1,GA,2,BLK_2C,1,NC,5,2025-12-02 13:28:47,2025-12-02 14:25:53,57.1,,공통
b170_heavy_work_r1,GA,2,BLK_2C,1,베이35A 론지취부,6,2025-12-02 14:25:53,2025-12-02 16:06:05,100.2,35A,베이35A
b170_heavy_work_r1,GA,2,BLK_2C,1,베이35A 론지용접,7,2025-12-02 16:06:05,2025-12-02 16:36:48,30.7,35A,베이35A
b170_heavy_work_r1,GA,2,BLK_2C,1,베이35A 수정,8,2025-12-02 16:36:48,2025-12-02 17:38:15,61.4,35A,베이35A
b170_heavy_work_r1,GA,14,BLK_14C,2,판계,1,2025-12-02 08:45:36,2025-12-02 09:19:12,33.6,,공통
b170_heavy_work_r1,GA,14,BLK_14C,2,전면SAW,2,2025-12-02 10:59:39,2025-12-02 12:35:42,96.0,,공통
b170_heavy_work_r1,GA,14,BLK_14C,2,TurnOver,3,2025-12-02 12:35:42,2025-12-02 12:50:06,14.4,,공통
b170_heavy_work_r1,GA,14,BLK_14C,2,후면SAW,4,2025-12-02 13:28:47,2025-12-02 14:59:10,90.4,,공통
b170_heavy_work_r1,GA,14,BLK_14C,2,NC,5,2025-12-02 14:59:10,2025-12-02 15:36:07,36.9,,공통
b170_heavy_work_r1,GA,14,BLK_14C,2,베이36B 론지취부,6,2025-12-02 15:36:07,2025-12-02 16:13:19,37.2,36B,베이36B
b170_heavy_work_r1,GA,14,BLK_14C,2,베이36B 론지용접,7,2025-12-02 16:13:19,2025-12-02 16:33:14,19.9,36B,베이36B
b170_heavy_work_r1,GA,14,BLK_14C,2,베이36B 수정,8,2025-12-02 16:33:14,2025-12-02 16:55:04,21.8,36B,베이36B
b170_heavy_work_r1,GA,30,BLK_30C,3,판계,1,2025-12-02 09:19:12,2025-12-02 09:55:12,36.0,,공통
b170_heavy_work_r1,GA,30,BLK_30C,3,전면SAW,2,2025-12-02 12:35:42,2025-12-02 13:11:21,35.7,,공통
b170_heavy_work_r1,GA,30,BLK_30C,3,TurnOver,3,2025-12-02 13:11:21,2025-12-02 13:25:45,14.4,,공통
b170_heavy_work_r1,GA,30,BLK_30C,3,후면SAW,4,2025-12-02 14:59:10,2025-12-02 15:20:44,21.6,,공통
b170_heavy_work_r1,GA,30,BLK_30C,3,NC,5,2025-12-02 15:36:07,2025-12-02 16:30:57,54.8,,공통
b170_heavy_work_r1,GA,30,BLK_30C,3,베이35A 론지취부,6,2025-12-02 16:30:57,2025-12-02 17:37:33,66.6,35A,베이35A
b170_heavy_work_r1,GA,30,BLK_30C,3,베이35A 론지용접,7,2025-12-02 17:37:33,2025-12-02 18:02:31,25.0,35A,베이35A
b170_heavy_work_r1,GA,30,BLK_30C,3,베이35A 수정,8,2025-12-02 18:02:31,2025-12-02 18:42:50,40.3,35A,베이35A
b170_heavy_work_r1,GA,76,BLK_76P,4,판계,1,2025-12-02 09:55:12,2025-12-02 10:40:48,45.6,,공통
b170_heavy_work_r1,GA,76,BLK_76P,4,전면SAW,2,2025-12-02 13:11:21,2025-12-02 15:47:28,156.1,,공통
b170_heavy_work_r1,GA,76,BLK_76P,4,TurnOver,3,2025-12-02 15:47:28,2025-12-02 16:01:52,14.4,,공통
b170_heavy_work_r1,GA,76,BLK_76P,4,후면SAW,4,2025-12-02 16:01:52,2025-12-02 18:09:30,127.6,,공통
b170_heavy_work_r1,GA,76,BLK_76P,4,NC,5,2025-12-02 18:09:30,2025-12-02 19:09:35,60.1,,공통
b170_heavy_work_r1,GA,76,BLK_76P,4,베이36B 론지취부,6,2025-12-02 19:09:35,2025-12-02 20:45:35,96.0,36B,베이36B
b170_heavy_work_r1,GA,76,BLK_76P,4,베이36B 론지용접,7,2025-12-02 20:45:35,2025-12-02 21:15:35,30.0,36B,베이36B
b170_heavy_work_r1,GA,76,BLK_76P,4,베이36B 수정,8,2025-12-02 21:15:35,2025-12-02 22:14:23,58.8,36B,베이36B
