grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,1,114,BLK_114S,S,fixed,F_8,F_8,2025-12-09,30.3,18,8,3,False,10,36B,False,691.4,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 08:00,2025-12-02 09:02,2025-12-02 19:31,2025-12-02 08:00,2025-12-02 19:31,691.4,11.52,62.4,194.4,14.4,159.3,91.3,87.6,28.6,53.5
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,2,67,BLK_67C,C,fixed,F_10,F_10,2025-12-05,13.8,19,2,0,False,6,35A,False,378.1,True,NORMAL,False,0,0,1,[],[],[],2025-12-02 09:02,2025-12-02 12:16,2025-12-02 20:14,2025-12-02 09:02,2025-12-02 20:14,734.4,12.24,24.0,65.8,14.4,61.2,35.4,91.8,29.3,56.2
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,3,76,BLK_76P,P,fixed,F_1,F_1,2025-12-02,22.3,20,5,1,False,9,36B,False,588.6,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 09:26,2025-12-02 13:22,2025-12-02 22:25,2025-12-02 09:26,2025-12-02 22:25,865.6,14.43,45.6,156.1,14.4,127.6,60.1,96.0,30.0,58.8
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,4,2,BLK_2C,C,line,L_1,L_12,2025-12-02,17.2,21,5,0,False,7,35A,False,578.3,True,NORMAL,False,0,0,1,[],[],[],2025-12-02 10:12,2025-12-02 15:58,2025-12-03 00:51,2025-12-02 10:12,2025-12-03 00:51,1011.3,16.86,45.6,134.1,14.4,134.7,57.1,100.2,30.7,61.4
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,5,106,BLK_106C,C,fixed,F_1,F_1,2025-12-02,22.3,13,7,0,False,9,36B,False,339.3,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 10:57,2025-12-02 18:12,2025-12-03 00:53,2025-12-02 10:57,2025-12-03 00:53,1014.0,16.9,54.0,43.7,14.4,32.2,63.1,66.6,25.0,40.3
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,6,10,BLK_10S,S,line,L_1,L_12,2025-12-02,13.1,20,5,2,False,6,35A,False,624.8,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 11:51,2025-12-02 18:56,2025-12-03 04:27,2025-12-02 11:51,2025-12-03 04:27,1227.3,20.45,54.0,179.6,14.4,131.8,60.2,96.0,30.0,58.8
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,7,72,BLK_72C,C,fixed,F_6,F_6,2025-12-10,12.4,15,5,0,False,7,36B,False,689.2,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 12:45,2025-12-02 21:56,2025-12-03 08:31,2025-12-02 12:45,2025-12-03 08:31,1471.2,24.52,54.0,219.6,14.4,193.7,60.5,75.0,26.4,45.6
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,8,86,BLK_86S,S,fixed,F_1,F_1,2025-12-02,10.3,8,4,2,False,5,35A,False,431.2,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 13:39,2025-12-03 01:35,2025-12-03 09:01,2025-12-02 13:39,2025-12-03 09:01,1501.3,25.02,48.0,131.2,14.4,93.1,50.4,45.6,21.4,27.1
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,9,75,BLK_75C,C,fixed,F_9,F_9,2025-12-10,23.6,25,5,0,False,11,36B,False,447.4,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 14:27,2025-12-03 03:46,2025-12-03 12:16,2025-12-02 14:27,2025-12-03 12:16,1696.7,28.28,54.0,49.6,14.4,39.9,66.9,117.0,33.6,72.0
b170_heavy_work_r1,Proposed,Large (141-200),170,heavy_work,265.81666666666666,3,20251202,10,7,BLK_7S,S,line,L_2,L_21,2025-12-04,24.5,26,6,1,False,11,36B,False,618.0,True,NORMAL,False,0,0,0,[],[],[],2025-12-02 15:21,2025-12-03 04:36,2025-12-03 14:29,2025-12-02 15:21,2025-12-03 14:29,1829.6,30.49,36.0,134.7,14.4,135.5,67.3,121.2,34.3,74.6
