grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,1,106,BLK_106P,P,fixed,F_1,F_1,2025-05-10,28.9,37,8,0,False,14,36B,False,473.6,True,NORMAL,False,1,1,1,['P7#10'],['LONGI30_BAY_PREF_FAMILY'],['론지 37개 ≥ 30개인데 B베이 할당됨 (A베이 권장)'],2025-05-10 08:00,2025-05-10 08:59,2025-05-10 15:53,2025-05-10 08:00,2025-05-10 15:53,473.6,7.89,59.0,40.0,12.0,31.4,70.1,139.5,35.2,86.4
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,2,66,BLK_66C,C,fixed,F_1,F_1,2025-05-10,15.3,18,4,0,False,8,35A,False,479.4,True,NORMAL,False,0,0,1,[],[],[],2025-05-10 08:59,2025-05-10 09:38,2025-05-10 17:00,2025-05-10 08:59,2025-05-10 17:00,540.3,9.01,38.0,119.5,12.0,121.3,47.2,73.0,23.8,44.6
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,3,87,BLK_87P,P,fixed,F_10,F_10,2025-05-12,19.9,22,4,2,False,9,36B,False,550.5,True,NORMAL,False,0,0,0,[],[],[],2025-05-10 09:37,2025-05-10 11:38,2025-05-10 20:03,2025-05-10 09:37,2025-05-10 20:03,724.0,12.07,45.0,146.1,12.0,126.1,54.7,87.0,26.2,53.4
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,4,70,BLK_70C,C,fixed,F_4,F_4,2025-05-16,18.8,23,3,0,False,7,35A,False,582.1,True,NORMAL,False,0,0,1,[],[],[],2025-05-10 10:22,2025-05-10 14:04,2025-05-10 23:13,2025-05-10 10:22,2025-05-10 23:13,913.6,15.23,33.0,155.7,12.0,163.6,44.8,90.5,26.8,55.6
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,5,49,BLK_49C,C,line,L_1,L_11,2025-05-13,12.6,16,3,5,False,7,36B,False,581.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-10 10:55,2025-05-10 16:40,2025-05-11 01:29,2025-05-10 10:55,2025-05-11 01:29,1049.8,17.5,52.0,187.4,12.0,141.3,60.0,66.0,22.6,40.2
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,6,163,BLK_106S,S,fixed,F_1,F_1,2025-05-10,28.9,37,8,0,False,14,36B,False,473.6,True,NORMAL,False,1,1,1,['P7#10'],['LONGI30_BAY_PREF_FAMILY'],['론지 37개 ≥ 30개인데 B베이 할당됨 (A베이 권장)'],2025-05-10 11:47,2025-05-10 19:47,2025-05-11 04:52,2025-05-10 11:47,2025-05-11 04:52,1252.2,20.87,59.0,40.0,12.0,31.4,70.1,139.5,35.2,86.4
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,7,86,BLK_86C,C,fixed,F_1,F_1,2025-05-10,15.6,12,4,1,False,7,35A,False,418.9,True,NORMAL,False,0,0,1,[],[],[],2025-05-10 12:46,2025-05-10 20:27,2025-05-11 03:03,2025-05-10 12:46,2025-05-11 03:03,1252.2,20.87,38.0,119.9,12.0,97.1,48.4,52.0,20.2,31.4
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,8,69,BLK_69C,C,fixed,F_3,F_3,2025-05-17,13.1,16,2,0,False,5,36B,False,410.3,True,NORMAL,False,0,0,0,[],[],[],2025-05-10 13:24,2025-05-10 22:27,2025-05-11 05:32,2025-05-10 13:24,2025-05-11 05:32,1292.4,21.54,28.0,114.2,12.0,91.9,35.4,66.0,22.6,40.2
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250510,9,154,BLK_154C,C,fixed,F_8,F_8,2025-05-18,10.7,14,1,0,False,4,35A,False,256.2,True,NORMAL,False,0,0,1,[],[],[],2025-05-10 13:52,2025-05-11 00:21,2025-05-11 05:09,2025-05-10 13:52,2025-05-11 05:09,1292.4,21.54,12.0,48.9,12.0,43.2,24.0,59.0,21.4,35.8
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250511,10,41,BLK_41C,C,line,L_1,L_11,2025-05-13,15.7,16,4,2,False,4,36B,False,565.9,True,NORMAL,False,0,0,0,[],[],[],2025-05-11 08:00,2025-05-11 08:45,2025-05-11 17:25,2025-05-11 08:00,2025-05-11 17:25,565.8,9.43,45.0,174.3,12.0,153.1,52.7,66.0,22.6,40.2
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250511,11,68,BLK_68C,C,fixed,F_2,F_2,2025-05-15,19.9,30,4,0,False,10,35A,False,519.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-11 08:45,2025-05-11 11:39,2025-05-11 20:38,2025-05-11 08:45,2025-05-11 20:38,758.3,12.64,30.0,103.8,12.0,103.0,53.9,115.0,31.0,71.0
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250511,12,99,BLK_99S,S,fixed,F_3,F_3,2025-05-17,12.5,18,4,2,False,8,36B,False,504.2,True,NORMAL,False,0,0,0,[],[],[],2025-05-11 09:15,2025-05-11 13:23,2025-05-11 21:16,2025-05-11 09:15,2025-05-11 21:16,796.8,13.28,45.0,137.8,12.0,118.1,49.9,73.0,23.8,44.6
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250511,13,77,BLK_77S,S,fixed,F_10,F_10,2025-05-12,19.9,21,5,0,False,9,35A,False,318.9,True,NORMAL,False,0,0,0,[],[],[],2025-05-11 10:00,2025-05-11 15:40,2025-05-11 22:25,2025-05-11 10:00,2025-05-11 22:25,865.0,14.42,30.0,38.2,12.0,29.1,49.3,83.5,25.6,51.2
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250511,14,51,BLK_51C,C,line,L_2,L_21,2025-05-17,18.8,17,4,3,False,8,36B,False,604.2,True,NORMAL,False,0,0,0,[],[],[],2025-05-11 10:30,2025-05-11 16:19,2025-05-12 01:38,2025-05-11 10:30,2025-05-12 01:38,1058.3,17.64,45.0,190.0,12.0,165.0,57.1,69.5,23.2,42.4
b170_ps_heavy_r1,Proposed,Large (141-200),170,ps_heavy,246.9,3,20250511,15,92,BLK_92S,S,fixed,F_6,F_6,2025-05-18,28.9,32,7,0,False,12,36B,False,439.0,True,NORMAL,False,1,1,1,['P7#10'],['LONGI30_BAY_PREF_FAMILY'],['론지 32개 ≥ 30개인데 B베이 할당됨 (A베이 권장)'],2025-05-11 11:15,2025-05-11 19:29,2025-05-12 04:22,2025-05-11 11:15,2025-05-12 04:22,1222.3,20.37,52.0,43.1,12.0,35.6,66.7,122.0,32.2,75.4
