grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b170_sub_heavy_r1,MSF,86,BLK_86S,1,35A,496.8,S,fixed,F_1,9.8,11,2,3,0,2025-07-20 08:00,2025-07-20 16:16,2025-07-20 16:16
b170_sub_heavy_r1,MSF,66,BLK_66C,2,36B,198.8,C,fixed,F_1,13.1,8,3,0,0,2025-07-20 08:35,2025-07-20 16:31,2025-07-20 16:31
b170_sub_heavy_r1,MSF,76,BLK_76P,3,35A,223.5,P,fixed,F_1,12.5,10,4,0,0,2025-07-20 09:00,2025-07-20 17:22,2025-07-20 17:22
b170_sub_heavy_r1,MSF,13,BLK_13S,4,36B,346.4,S,line,L_1,18.0,28,3,0,0,2025-07-20 09:30,2025-07-20 19:55,2025-07-20 19:55
b170_sub_heavy_r1,MSF,1,BLK_1C,5,36B,427.6,C,line,L_1,21.5,20,4,0,0,2025-07-20 09:55,2025-07-20 20:52,2025-07-20 20:52
b170_sub_heavy_r1,MSF,5,BLK_5C,6,36B,410.5,C,line,L_1,21.7,19,5,1,2,2025-07-20 10:25,2025-07-20 22:06,2025-07-20 22:06
b170_sub_heavy_r1,MSF,67,BLK_67C,7,35A,464.1,C,fixed,F_10,6.7,12,2,0,0,2025-07-20 10:55,2025-07-20 23:37,2025-07-20 23:37
b170_sub_heavy_r1,MSF,137,BLK_137P,8,36B,529.9,P,fixed,F_10,14.0,17,2,2,0,2025-07-20 11:30,2025-07-21 03:21,2025-07-21 03:21
b170_sub_heavy_r1,MSF,96,BLK_96S,9,35A,223.5,S,fixed,F_1,10.3,11,2,0,0,2025-07-20 12:05,2025-07-21 03:12,2025-07-21 03:12
b170_sub_heavy_r1,MSF,106,BLK_106P,10,36B,430.1,P,fixed,F_1,15.6,14,4,1,0,2025-07-20 12:25,2025-07-21 05:23,2025-07-21 05:23
b170_sub_heavy_r1,MSF,166,BLK_106P,10,36B,430.1,P,fixed,F_1,15.6,14,4,1,0,2025-07-20 12:25,2025-07-21 05:23,2025-07-21 05:23
b170_sub_heavy_r1,MSF,6,BLK_6C,11,35A,206.9,C,line,L_1,6.7,10,1,0,0,2025-07-20 13:03,2025-07-21 05:15,2025-07-21 05:15
b170_sub_heavy_r1,MSF,77,BLK_77C,12,36B,358.5,C,fixed,F_10,21.7,23,6,0,0,2025-07-21 08:00,2025-07-21 13:58,2025-07-21 13:58
b170_sub_heavy_r1,MSF,147,BLK_147C,13,36B,611.7,C,fixed,F_10,21.5,24,6,2,1,2025-07-21 08:45,2025-07-21 18:56,2025-07-21 18:56
b170_sub_heavy_r1,MSF,107,BLK_107C,14,35A,219.5,C,fixed,F_10,11.8,11,3,0,0,2025-07-21 09:30,2025-07-21 18:07,2025-07-21 18:07
b170_sub_heavy_r1,MSF,126,BLK_126P,15,36B,294.8,P,fixed,F_1,6.4,6,2,1,0,2025-07-21 09:55,2025-07-21 19:14,2025-07-21 19:14
b170_sub_heavy_r1,MSF,127,BLK_127P,16,35A,313.1,P,fixed,F_10,16.7,24,3,0,0,2025-07-21 10:23,2025-07-21 20:37,2025-07-21 20:37
b170_sub_heavy_r1,MSF,157,BLK_157C,17,36B,246.4,C,fixed,F_10,12.5,13,3,0,0,2025-07-21 10:48,2025-07-21 20:01,2025-07-21 20:01
b170_sub_heavy_r1,MSF,116,BLK_116S,18,35A,445.0,S,fixed,F_1,12.6,11,3,1,0,2025-07-21 11:13,2025-07-21 22:23,2025-07-21 22:23
b170_sub_heavy_r1,MSF,146,BLK_146P,19,36B,241.9,P,fixed,F_1,15.4,14,3,0,0,2025-07-21 11:46,2025-07-21 23:17,2025-07-21 23:17
b170_sub_heavy_r1,MSF,2,BLK_2C,20,35A,322.5,C,line,L_1,17.4,24,4,0,0,2025-07-21 12:11,2025-07-22 01:09,2025-07-22 01:09
b170_sub_heavy_r1,MSF,87,BLK_87C,21,36B,230.7,C,fixed,F_10,15.6,12,4,0,0,2025-07-21 12:41,2025-07-22 00:34,2025-07-22 00:34
b170_sub_heavy_r1,MSF,97,BLK_97S,22,36B,199.6,S,fixed,F_10,22.4,6,4,0,0,2025-07-21 13:11,2025-07-22 00:52,2025-07-22 00:52
b170_sub_heavy_r1,MSF,156,BLK_156P,23,35A,312.8,P,fixed,F_1,18.1,24,4,0,0,2025-07-21 13:41,2025-07-22 03:14,2025-07-22 03:14
b170_sub_heavy_r1,MSF,9,BLK_9S,24,36B,481.9,S,line,L_1,21.2,25,5,1,0,2025-07-21 14:11,2025-07-22 04:16,2025-07-22 04:16
