grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,1,86,BLK_86S,S,fixed,F_1,F_1,2025-07-20,9.8,11,2,3,False,6,35A,False,496.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-20 08:00,2025-07-20 08:35,2025-07-20 16:16,2025-07-20 08:00,2025-07-20 16:16,496.8,8.28,35.0,178.9,12.0,130.2,43.4,48.5,19.6,29.2
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,2,66,BLK_66C,C,fixed,F_1,F_1,2025-07-20,13.1,8,3,0,False,6,36B,False,198.8,True,NORMAL,False,0,0,1,[],[],[],2025-07-20 08:35,2025-07-20 11:33,2025-07-20 16:31,2025-07-20 08:35,2025-07-20 16:31,511.1,8.52,25.0,30.8,12.0,19.4,33.1,38.0,17.8,22.6
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,3,76,BLK_76P,P,fixed,F_1,F_1,2025-07-20,12.5,10,4,0,False,7,35A,False,223.5,True,NORMAL,False,0,0,0,[],[],[],2025-07-20 09:00,2025-07-20 12:04,2025-07-20 17:22,2025-07-20 09:00,2025-07-20 17:22,563.0,9.38,30.0,31.2,12.0,20.0,39.3,45.0,19.0,27.0
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,4,13,BLK_13S,S,line,L_1,L_11,2025-07-21,18.0,28,3,0,False,6,36B,False,346.4,True,NORMAL,False,0,0,1,[],[],[],2025-07-20 09:30,2025-07-20 12:35,2025-07-20 19:55,2025-07-20 09:30,2025-07-20 19:55,715.2,11.92,25.0,37.7,12.0,28.5,38.9,108.0,29.8,66.6
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,5,1,BLK_1C,C,line,L_1,L_11,2025-07-21,21.5,20,4,0,False,8,36B,False,427.6,True,NORMAL,False,0,0,0,[],[],[],2025-07-20 09:55,2025-07-20 13:13,2025-07-20 20:52,2025-07-20 09:55,2025-07-20 20:52,772.8,12.88,30.0,99.4,12.0,78.4,53.8,80.0,25.0,49.0
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,6,5,BLK_5C,C,line,L_1,L_11,2025-07-21,21.7,19,5,1,False,8,36B,False,410.5,True,NORMAL,False,2,2,3,"['LINE_GROUP_CONSTRAINT', 'P7#7']","['LINE_GROUP_FAMILY', 'BAY_STREAK_FAMILY']","['라인 그룹 연속 제한 위반: L_11 3판 연속 → 최대 2판', 'B베이 3개 연속 배치 불가 (현재 블록 포함 카운트)']",2025-07-20 10:25,2025-07-20 14:53,2025-07-20 22:06,2025-07-20 10:25,2025-07-20 22:06,846.5,14.11,30.0,95.0,12.0,74.4,51.5,76.5,24.4,46.8
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,7,67,BLK_67C,C,fixed,F_10,F_10,2025-07-22,6.7,12,2,0,False,4,35A,False,464.1,True,NORMAL,False,0,0,1,[],[],[],2025-07-20 10:55,2025-07-20 16:28,2025-07-20 23:37,2025-07-20 10:55,2025-07-20 23:37,937.1,15.62,35.0,158.2,12.0,114.1,41.1,52.0,20.2,31.4
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,8,137,BLK_137P,P,fixed,F_10,F_10,2025-07-22,14.0,17,2,2,False,4,36B,False,529.9,True,NORMAL,False,0,0,0,[],[],[],2025-07-20 11:30,2025-07-20 19:06,2025-07-21 03:21,2025-07-20 11:30,2025-07-21 03:21,1161.2,19.35,35.0,175.6,12.0,130.6,41.6,69.5,23.2,42.4
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,9,96,BLK_96S,S,fixed,F_1,F_1,2025-07-22,10.3,11,2,0,False,6,35A,False,223.5,True,NORMAL,False,0,0,1,[],[],[],2025-07-20 12:05,2025-07-20 22:01,2025-07-21 03:12,2025-07-20 12:05,2025-07-21 03:12,1161.2,19.35,20.0,37.2,12.0,27.9,29.1,48.5,19.6,29.2
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,10,106,BLK_106P,P,fixed,F_1,F_1,2025-07-22,15.6,14,4,1,False,6,36B,False,430.1,True,NORMAL,True,0,0,1,[],[],[],2025-07-20 12:25,2025-07-20 22:39,2025-07-21 05:23,2025-07-20 12:25,2025-07-21 05:23,1283.3,21.39,38.0,109.3,12.0,109.5,45.2,59.0,21.4,35.8
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,10,166,BLK_106P,P,fixed,F_1,F_1,2025-07-22,15.6,14,4,1,False,6,36B,False,430.1,True,NORMAL,True,0,0,0,[],[],[],2025-07-20 12:25,2025-07-20 22:39,2025-07-21 05:23,2025-07-20 12:25,2025-07-21 05:23,1283.3,21.39,38.0,109.3,12.0,109.5,45.2,59.0,21.4,35.8
b170_sub_heavy_r1,MSF,Large (141-200),170,sub_heavy,262.15,9,20250720,11,6,BLK_6C,C,line,L_1,L_12,2025-07-23,6.7,10,1,0,False,3,35A,False,206.9,True,NORMAL,False,0,0,1,[],[],[],2025-07-20 13:03,2025-07-21 00:28,2025-07-21 05:15,2025-07-20 13:03,2025-07-21 05:15,1283.3,21.39,12.0,41.4,12.0,33.4,21.1,45.0,15.0,27.0
