grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b180_heavy_work_r1,LPT,6,BLK_6C,1,판계,1,2025-07-27 08:00:00,2025-07-27 08:48:00,48.0,,공통
b180_heavy_work_r1,LPT,6,BLK_6C,1,전면SAW,2,2025-07-27 08:48:00,2025-07-27 12:16:12,208.2,,공통
b180_heavy_work_r1,LPT,6,BLK_6C,1,TurnOver,3,2025-07-27 12:16:12,2025-07-27 12:30:36,14.4,,공통
b180_heavy_work_r1,LPT,6,BLK_6C,1,후면SAW,4,2025-07-27 12:30:36,2025-07-27 15:05:18,154.7,,공통
b180_heavy_work_r1,LPT,6,BLK_6C,1,NC,5,2025-07-27 15:05:18,2025-07-27 16:01:37,56.3,,공통
b180_heavy_work_r1,LPT,6,BLK_6C,1,베이35A 론지취부,6,2025-07-27 16:01:37,2025-07-27 17:29:13,87.6,35A,베이35A
b180_heavy_work_r1,LPT,6,BLK_6C,1,베이35A 론지용접,7,2025-07-27 17:29:13,2025-07-27 17:57:46,28.6,35A,베이35A
b180_heavy_work_r1,LPT,6,BLK_6C,1,베이35A 수정,8,2025-07-27 17:57:46,2025-07-27 18:51:18,53.5,35A,베이35A
b180_heavy_work_r1,LPT,1,BLK_1C,2,판계,1,2025-07-27 08:48:00,2025-07-27 09:21:36,33.6,,공통
b180_heavy_work_r1,LPT,1,BLK_1C,2,전면SAW,2,2025-07-27 12:16:12,2025-07-27 14:43:06,146.9,,공통
b180_heavy_work_r1,LPT,1,BLK_1C,2,TurnOver,3,2025-07-27 14:43:06,2025-07-27 14:57:30,14.4,,공통
b180_heavy_work_r1,LPT,1,BLK_1C,2,후면SAW,4,2025-07-27 15:05:18,2025-07-27 17:04:34,119.3,,공통
b180_heavy_work_r1,LPT,1,BLK_1C,2,NC,5,2025-07-27 17:04:34,2025-07-27 17:49:46,45.2,,공통
b180_heavy_work_r1,LPT,1,BLK_1C,2,베이36B 론지취부,6,2025-07-27 17:49:46,2025-07-27 19:00:34,70.8,36B,베이36B
b180_heavy_work_r1,LPT,1,BLK_1C,2,베이36B 론지용접,7,2025-07-27 19:00:34,2025-07-27 19:26:15,25.7,36B,베이36B
