grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b180_overload_r1,Proposed,81,BLK_81S,1,35A,554.8,S,fixed,F_10,12.3,14,3,2,0,2025-08-23 08:00,2025-08-23 17:14,2025-08-23 17:14
b180_overload_r1,Proposed,1,BLK_1C,2,36B,504.1,C,line,L_1,15.7,13,2,0,0,2025-08-23 08:44,2025-08-23 19:33,2025-08-23 19:33
b180_overload_r1,Proposed,71,BLK_71C,3,35A,349.8,C,fixed,F_10,15.0,22,3,0,0,2025-08-23 09:22,2025-08-23 21:15,2025-08-23 21:15
b180_overload_r1,Proposed,91,BLK_91P,4,36B,329.1,P,fixed,F_10,14.7,18,4,0,0,2025-08-23 09:50,2025-08-23 21:33,2025-08-23 21:33
b180_overload_r1,Proposed,5,BLK_5P,5,36B,305.8,P,line,L_1,5.4,4,1,1,0,2025-08-23 10:23,2025-08-23 21:48,2025-08-23 21:48
b180_overload_r1,Proposed,2,BLK_2C,6,35A,307.3,C,line,L_1,17.4,18,4,0,0,2025-08-23 10:45,2025-08-23 23:18,2025-08-23 23:18
b180_overload_r1,Proposed,176,BLK_5S,7,36B,305.8,S,line,L_1,5.4,4,1,1,0,2025-08-23 11:18,2025-08-23 23:11,2025-08-23 23:11
b180_overload_r1,Proposed,9,BLK_9S,8,35A,284.7,S,line,L_1,13.6,15,2,0,0,2025-08-23 11:40,2025-08-24 01:13,2025-08-24 01:13
b180_overload_r1,Proposed,18,BLK_18C,9,36B,641.5,C,line,L_1,18.1,23,4,2,0,2025-08-23 12:02,2025-08-24 06:49,2025-08-24 06:49
b180_overload_r1,Proposed,111,BLK_111P,10,35A,285.4,P,fixed,F_10,7.4,15,1,0,0,2025-08-23 12:51,2025-08-24 06:18,2025-08-24 06:18
b180_overload_r1,Proposed,131,BLK_131S,11,36B,485.0,S,fixed,F_10,12.6,13,3,2,0,2025-08-23 13:04,2025-08-24 08:21,2025-08-24 08:21
b180_overload_r1,Proposed,6,BLK_6S,12,35A,233.6,S,line,L_1,9.9,11,3,0,0,2025-08-23 13:48,2025-08-24 08:42,2025-08-24 08:42
