grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b180_overload_r1,SPT,9,BLK_9S,1,35A,284.7,S,line,L_1,13.6,15,2,0,0,2025-08-23 08:00,2025-08-23 12:44,2025-08-23 12:44
b180_overload_r1,SPT,5,BLK_5P,2,36B,305.8,P,line,L_1,5.4,4,1,1,0,2025-08-23 08:22,2025-08-23 13:50,2025-08-23 13:50
b180_overload_r1,SPT,91,BLK_91P,3,35A,329.1,P,fixed,F_10,14.7,18,4,0,0,2025-08-23 08:44,2025-08-23 16:26,2025-08-23 16:26
b180_overload_r1,SPT,71,BLK_71C,4,36B,349.8,C,fixed,F_10,15.0,22,3,0,0,2025-08-23 09:17,2025-08-23 17:33,2025-08-23 17:33
b180_overload_r1,SPT,81,BLK_81S,5,35A,554.8,S,fixed,F_10,12.3,14,3,2,0,2025-08-23 09:44,2025-08-23 20:55,2025-08-23 20:55
b180_overload_r1,SPT,14,BLK_14P,6,36B,202.6,P,line,L_1,9.9,7,2,0,0,2025-08-23 10:28,2025-08-23 20:36,2025-08-23 20:36
b180_overload_r1,SPT,176,BLK_5S,7,36B,305.8,S,line,L_1,5.4,4,1,1,0,2025-08-23 10:50,2025-08-23 21:06,2025-08-23 21:06
b180_overload_r1,SPT,1,BLK_1C,8,35A,504.1,C,line,L_1,15.7,13,2,0,0,2025-08-23 11:12,2025-08-24 01:35,2025-08-24 01:35
b180_overload_r1,SPT,6,BLK_6S,9,36B,233.6,S,line,L_1,9.9,11,3,0,0,2025-08-23 11:51,2025-08-24 01:56,2025-08-24 01:56
b180_overload_r1,SPT,17,BLK_17C,10,35A,224.4,C,line,L_1,8.3,9,3,0,0,2025-08-23 12:18,2025-08-24 02:18,2025-08-24 02:18
b180_overload_r1,SPT,101,BLK_101P,11,36B,253.5,P,fixed,F_10,10.1,14,2,0,0,2025-08-23 12:46,2025-08-24 03:23,2025-08-24 03:23
b180_overload_r1,SPT,13,BLK_13S,12,35A,272.3,S,line,L_1,17.0,13,6,0,0,2025-08-23 13:08,2025-08-24 04:09,2025-08-24 04:09
b180_overload_r1,SPT,111,BLK_111P,13,36B,285.4,P,fixed,F_10,7.4,15,1,0,0,2025-08-23 13:41,2025-08-24 04:47,2025-08-24 04:47
b180_overload_r1,SPT,77,BLK_77C,14,35A,210.2,C,fixed,F_7,5.4,8,2,0,0,2025-08-23 13:54,2025-08-24 04:32,2025-08-24 04:32
b180_overload_r1,SPT,2,BLK_2C,15,36B,307.3,C,line,L_1,17.4,18,4,0,0,2025-08-24 08:00,2025-08-24 13:07,2025-08-24 13:07
b180_overload_r1,SPT,29,BLK_29S,16,35A,425.6,S,line,L_1,12.3,18,4,1,0,2025-08-24 08:33,2025-08-24 15:38,2025-08-24 15:38
b180_overload_r1,SPT,121,BLK_121P,17,36B,430.5,P,fixed,F_10,14.0,18,3,1,1,2025-08-24 09:14,2025-08-24 17:22,2025-08-24 17:22
b180_overload_r1,SPT,10,BLK_10S,18,35A,456.1,S,line,L_1,12.5,11,4,1,1,2025-08-24 09:51,2025-08-24 19:23,2025-08-24 19:23
b180_overload_r1,SPT,33,BLK_33S,19,36B,476.2,S,line,L_1,13.9,12,4,2,1,2025-08-24 10:32,2025-08-24 21:38,2025-08-24 21:38
b180_overload_r1,SPT,25,BLK_25C,20,35A,326.6,C,line,L_1,15.3,21,4,0,0,2025-08-24 11:22,2025-08-24 23:26,2025-08-24 23:26
b180_overload_r1,SPT,131,BLK_131S,21,36B,485.0,S,fixed,F_10,12.6,13,3,2,0,2025-08-24 11:55,2025-08-25 00:48,2025-08-25 00:48
b180_overload_r1,SPT,21,BLK_21C,22,36B,386.8,C,line,L_1,21.5,24,4,0,0,2025-08-24 12:39,2025-08-25 03:06,2025-08-25 03:06
b180_overload_r1,SPT,106,BLK_106S,23,35A,242.1,S,fixed,F_6,8.5,9,2,0,0,2025-08-24 13:12,2025-08-25 01:39,2025-08-25 01:39
b180_overload_r1,SPT,18,BLK_18C,24,36B,641.5,C,line,L_1,18.1,23,4,2,0,2025-08-25 08:00,2025-08-25 18:41,2025-08-25 18:41
b180_overload_r1,SPT,22,BLK_22P,25,35A,248.8,P,line,L_1,12.6,11,4,0,0,2025-08-25 08:49,2025-08-25 18:00,2025-08-25 18:00
b180_overload_r1,SPT,37,BLK_37P,26,36B,298.7,P,line,L_1,10.1,6,2,1,0,2025-08-25 09:22,2025-08-25 19:01,2025-08-25 19:01
b180_overload_r1,SPT,30,BLK_30S,27,35A,310.9,S,line,L_1,12.6,20,3,0,0,2025-08-25 09:53,2025-08-25 20:17,2025-08-25 20:17
b180_overload_r1,SPT,26,BLK_26C,28,36B,434.4,C,line,L_1,14.6,19,6,1,0,2025-08-25 10:20,2025-08-25 21:13,2025-08-25 21:13
b180_overload_r1,SPT,80,BLK_80S,29,35A,285.3,S,fixed,F_1,12.3,15,4,0,0,2025-08-25 10:53,2025-08-25 21:30,2025-08-25 21:30
b180_overload_r1,SPT,49,BLK_49P,30,36B,474.2,P,line,L_1,12.4,20,4,1,0,2025-08-25 11:26,2025-08-25 23:56,2025-08-25 23:56
b180_overload_r1,SPT,41,BLK_41P,31,35A,290.2,P,line,L_1,17.4,16,4,0,0,2025-08-25 12:08,2025-08-26 00:13,2025-08-26 00:13
b180_overload_r1,SPT,42,BLK_42S,32,36B,582.8,S,line,L_1,23.3,20,6,2,0,2025-08-25 12:41,2025-08-26 04:20,2025-08-26 04:20
