grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,판계,1,2025-04-05 08:00:00,2025-04-05 08:36:00,36.0,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,전면SAW,2,2025-04-05 08:36:00,2025-04-05 09:11:38,35.6,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,TurnOver,3,2025-04-05 09:11:38,2025-04-05 09:26:02,14.4,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,후면SAW,4,2025-04-05 09:26:02,2025-04-05 09:47:34,21.5,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,NC,5,2025-04-05 09:47:34,2025-04-05 10:44:11,56.6,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,베이35A 론지취부,6,2025-04-05 10:44:11,2025-04-05 11:46:35,62.4,35A,베이35A,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,베이35A 론지용접,7,2025-04-05 11:46:35,2025-04-05 12:10:50,24.2,35A,베이35A,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,182,BLK_47S,1,베이35A 수정,8,2025-04-05 12:10:50,2025-04-05 12:48:30,37.7,35A,베이35A,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,177,BLK_177P,2,판계,1,2025-04-05 08:36:00,2025-04-05 09:21:36,45.6,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,177,BLK_177P,2,전면SAW,2,2025-04-05 09:21:36,2025-04-05 11:19:35,118.0,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,177,BLK_177P,2,TurnOver,3,2025-04-05 11:19:35,2025-04-05 11:33:59,14.4,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,177,BLK_177P,2,후면SAW,4,2025-04-05 11:33:59,2025-04-05 13:06:53,92.9,,공통,raw,
b190_heavy_work_r1,GA,Large (141-200),190,heavy_work,310.6666666666667,15,20250405,177,BLK_177P,2,NC,5,2025-04-05 13:06:53,2025-04-05 14:01:11,54.3,,공통,raw,
