grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,판계,1,2025-04-05 08:00:00,2025-04-05 08:30:00,30.0,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,전면SAW,2,2025-04-05 08:30:00,2025-04-05 09:11:26,41.4,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,TurnOver,3,2025-04-05 09:11:26,2025-04-05 09:25:50,14.4,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,후면SAW,4,2025-04-05 09:25:50,2025-04-05 09:55:02,29.2,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,NC,5,2025-04-05 09:55:02,2025-04-05 10:36:52,41.8,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,베이35A 론지취부,6,2025-04-05 10:36:52,2025-04-05 11:43:28,66.6,35A,베이35A,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,베이35A 론지용접,7,2025-04-05 11:43:28,2025-04-05 12:08:26,25.0,35A,베이35A,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,5,BLK_5C,1,베이35A 수정,8,2025-04-05 12:08:26,2025-04-05 12:48:45,40.3,35A,베이35A,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,9,BLK_9C,2,판계,1,2025-04-05 08:30:00,2025-04-05 09:06:00,36.0,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,9,BLK_9C,2,전면SAW,2,2025-04-05 09:11:26,2025-04-05 09:44:12,32.8,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,9,BLK_9C,2,TurnOver,3,2025-04-05 09:44:12,2025-04-05 09:58:36,14.4,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,9,BLK_9C,2,후면SAW,4,2025-04-05 09:58:36,2025-04-05 10:16:21,17.7,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,9,BLK_9C,2,NC,5,2025-04-05 10:36:52,2025-04-05 11:32:49,56.0,,공통,raw,
b190_heavy_work_r1,SPT,Large (141-200),190,heavy_work,334.6666666666667,64,20250405,9,BLK_9C,2,베이36B 론지취부,6,2025-04-05 11:32:49,2025-04-05 13:04:37,91.8,36B,베이36B,raw,
