grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b190_mixed_ps_sub_r1,MSF,1,BLK_1C,1,35A,353.9,C,line,L_1,16.4,24,3,0,0,2025-10-12 08:00,2025-10-12 13:53,2025-10-12 13:53
b190_mixed_ps_sub_r1,MSF,9,BLK_9S,2,36B,162.2,S,line,L_1,8.3,4,3,0,0,2025-10-12 08:25,2025-10-12 12:17,2025-10-12 12:17
b190_mixed_ps_sub_r1,MSF,5,BLK_5S,3,35A,448.3,S,line,L_1,18.9,10,4,2,1,2025-10-12 08:50,2025-10-12 16:27,2025-10-12 16:27
b190_mixed_ps_sub_r1,MSF,17,BLK_17P,4,36B,520.4,P,line,L_1,21.5,25,5,1,2,2025-10-12 09:35,2025-10-12 20:19,2025-10-12 20:19
b190_mixed_ps_sub_r1,MSF,179,BLK_17S,5,36B,520.4,S,line,L_1,21.5,25,5,1,1,2025-10-12 10:05,2025-10-12 22:29,2025-10-12 22:29
b190_mixed_ps_sub_r1,MSF,13,BLK_13C,6,35A,191.5,C,line,L_1,9.8,8,2,0,1,2025-10-12 10:35,2025-10-12 21:09,2025-10-12 21:09
b190_mixed_ps_sub_r1,MSF,21,BLK_21S,7,36B,525.0,S,line,L_1,15.4,11,3,5,1,2025-10-12 10:55,2025-10-13 00:54,2025-10-13 00:54
b190_mixed_ps_sub_r1,MSF,41,BLK_41S,8,35A,244.2,S,line,L_1,15.5,14,3,0,1,2025-10-12 11:47,2025-10-13 01:49,2025-10-13 01:49
b190_mixed_ps_sub_r1,MSF,25,BLK_25C,9,36B,462.2,C,line,L_1,16.6,19,4,1,1,2025-10-12 12:12,2025-10-13 03:44,2025-10-13 03:44
b190_mixed_ps_sub_r1,MSF,89,BLK_89P,10,35A,261.4,P,fixed,F_1,12.4,17,2,0,0,2025-10-12 12:50,2025-10-13 04:01,2025-10-13 04:01
b190_mixed_ps_sub_r1,MSF,75,BLK_75C,11,36B,315.8,C,fixed,F_6,5.4,9,1,0,0,2025-10-12 13:10,2025-10-13 04:08,2025-10-13 04:08
b190_mixed_ps_sub_r1,MSF,14,BLK_14S,12,35A,460.4,S,line,L_1,12.5,9,2,2,0,2025-10-13 08:00,2025-10-13 15:40,2025-10-13 15:40
b190_mixed_ps_sub_r1,MSF,33,BLK_33P,13,36B,252.2,P,line,L_1,19.9,15,4,0,0,2025-10-13 08:35,2025-10-13 16:59,2025-10-13 16:59
b190_mixed_ps_sub_r1,MSF,174,BLK_89S,14,35A,261.4,S,fixed,F_1,12.4,17,2,0,0,2025-10-13 09:05,2025-10-13 17:42,2025-10-13 17:42
b190_mixed_ps_sub_r1,MSF,6,BLK_6P,15,36B,225.2,P,line,L_1,14.5,11,3,0,0,2025-10-13 09:25,2025-10-13 17:38,2025-10-13 17:38
