grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,1,6,BLK_6C,C,line,L_1,L_12,2025-08-04,9.2,12,1,2,False,5,35A,False,524.4,True,NORMAL,False,0,0,0,[],[],[],2025-08-04 08:00,2025-08-04 08:29,2025-08-04 16:44,2025-08-04 08:00,2025-08-04 16:44,524.4,8.74,29.7,189.9,13.2,141.1,36.6,57.2,22.2,34.5
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,2,2,BLK_2C,C,line,L_1,L_12,2025-08-04,15.3,18,2,0,False,7,36B,False,644.7,True,NORMAL,False,0,0,1,[],[],[],2025-08-04 08:29,2025-08-04 11:39,2025-08-04 21:45,2025-08-04 08:29,2025-08-04 21:45,825.8,13.76,38.5,209.0,13.2,181.5,47.0,80.3,26.2,49.1
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,3,10,BLK_10S,S,line,L_1,L_12,2025-08-04,8.7,8,3,0,False,8,35A,False,228.5,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 3판 연속 → 최대 2판'],2025-08-04 09:08,2025-08-04 15:08,2025-08-04 21:13,2025-08-04 09:08,2025-08-04 21:13,825.8,13.76,27.5,38.0,13.2,26.7,36.9,41.8,19.6,24.9
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,4,14,BLK_14C,C,line,L_1,L_12,2025-08-04,16.5,14,4,0,False,4,36B,False,290.3,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 4판 연속 → 최대 2판'],2025-08-04 09:35,2025-08-04 15:46,2025-08-04 22:39,2025-08-04 09:35,2025-08-04 22:39,879.1,14.65,33.0,41.2,13.2,31.0,44.1,64.9,23.5,39.4
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,5,18,BLK_18C,C,line,L_1,L_12,2025-08-04,15.7,14,4,1,False,7,35A,False,380.1,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 5판 연속 → 최대 2판'],2025-08-04 10:08,2025-08-04 16:27,2025-08-04 23:26,2025-08-04 10:08,2025-08-04 23:26,926.9,15.45,41.8,85.2,13.2,64.2,47.9,64.9,23.5,39.4
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,6,26,BLK_26S,S,line,L_1,L_12,2025-08-05,9.8,13,1,0,False,3,36B,False,258.8,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 6판 연속 → 최대 2판'],2025-08-04 10:50,2025-08-04 17:52,2025-08-04 23:45,2025-08-04 10:50,2025-08-04 23:45,945.2,15.75,13.2,47.3,13.2,39.0,25.2,61.1,22.9,37.0
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,7,46,BLK_46S,S,line,L_1,L_12,2025-08-05,8.7,12,1,1,False,3,35A,False,426.9,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 7판 연속 → 최대 2판'],2025-08-04 11:03,2025-08-04 18:40,2025-08-05 01:25,2025-08-04 11:03,2025-08-05 01:25,1045.2,17.42,22.0,136.2,13.2,110.7,30.8,57.2,22.2,34.5
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,8,22,BLK_22S,S,line,L_1,L_12,2025-08-05,10.1,15,2,0,False,4,36B,False,320.1,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 8판 연속 → 최대 2판'],2025-08-04 11:25,2025-08-04 20:56,2025-08-05 02:44,2025-08-04 11:25,2025-08-05 02:44,1124.1,18.73,22.0,61.2,13.2,57.3,31.6,68.8,24.2,41.8
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,9,34,BLK_34C,C,line,L_1,L_12,2025-08-05,16.4,8,3,1,False,7,35A,False,352.7,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 9판 연속 → 최대 2판'],2025-08-04 11:47,2025-08-04 21:57,2025-08-05 03:31,2025-08-04 11:47,2025-08-05 03:31,1171.4,19.52,36.3,89.5,13.2,84.6,42.9,41.8,19.6,24.9
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,10,73,BLK_73C,C,fixed,F_1,F_1,2025-08-06,10.3,16,2,0,False,5,36B,False,282.9,True,NORMAL,False,0,0,0,[],[],[],2025-08-04 12:24,2025-08-04 23:27,2025-08-05 04:59,2025-08-04 12:24,2025-08-05 04:59,1259.2,20.99,22.0,41.8,13.2,31.8,32.3,72.6,24.9,44.2
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,11,173,BLK_173C,C,fixed,F_1,F_1,2025-08-06,12.7,17,2,1,False,7,35A,False,461.9,True,NORMAL,False,0,0,0,[],[],[],2025-08-04 12:46,2025-08-05 00:09,2025-08-05 07:20,2025-08-04 12:46,2025-08-05 07:20,1400.1,23.34,30.8,127.5,13.2,102.8,39.1,76.5,25.5,46.6
b190_overload_r1,MSF,Large (141-200),190,overload,275.1666666666667,37,20250804,12,83,BLK_83S,S,fixed,F_1,F_1,2025-08-06,12.3,18,3,0,False,5,36B,False,289.0,True,NORMAL,False,0,0,0,[],[],[],2025-08-04 13:16,2025-08-05 02:16,2025-08-05 08:05,2025-08-04 13:16,2025-08-05 08:05,1445.4,24.09,27.5,33.5,13.2,20.9,38.3,80.3,26.2,49.1
