grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b190_ps_heavy_r1,GA,2,BLK_2C,1,35A,550.4,C,line,L_1,16.5,22,4,0,0,2025-10-19 08:00,2025-10-19 17:10,2025-10-19 17:10
b190_ps_heavy_r1,GA,6,BLK_6P,2,36B,280.2,P,line,L_1,21.5,18,4,0,0,2025-10-19 08:45,2025-10-19 17:28,2025-10-19 17:28
b190_ps_heavy_r1,GA,10,BLK_10S,3,35A,406.6,S,line,L_1,18.8,20,4,1,1,2025-10-19 09:15,2025-10-19 18:27,2025-10-19 18:27
b190_ps_heavy_r1,GA,22,BLK_22P,4,36B,475.2,P,line,L_1,22.8,21,5,1,2,2025-10-19 09:53,2025-10-19 20:48,2025-10-19 20:48
b190_ps_heavy_r1,GA,14,BLK_14S,5,35A,180.3,S,line,L_1,8.3,6,2,0,1,2025-10-19 10:23,2025-10-19 19:39,2025-10-19 19:39
b190_ps_heavy_r1,GA,114,BLK_114S,6,36B,546.7,S,fixed,F_10,13.1,15,3,3,0,2025-10-19 10:43,2025-10-20 00:22,2025-10-20 00:22
b190_ps_heavy_r1,GA,7,BLK_7P,7,35A,302.2,P,line,L_2,18.9,21,4,0,0,2025-10-19 11:23,2025-10-20 01:44,2025-10-20 01:44
b190_ps_heavy_r1,GA,73,BLK_73C,8,36B,226.3,C,fixed,F_1,8.6,12,1,0,0,2025-10-19 11:53,2025-10-20 01:10,2025-10-20 01:10
b190_ps_heavy_r1,GA,17,BLK_17P,9,35A,338.7,P,line,L_1,9.9,12,2,1,0,2025-10-19 12:05,2025-10-20 02:16,2025-10-20 02:16
b190_ps_heavy_r1,GA,83,BLK_83S,10,36B,287.2,S,fixed,F_1,20.0,19,4,0,0,2025-10-19 12:33,2025-10-20 03:21,2025-10-20 03:21
b190_ps_heavy_r1,GA,18,BLK_18P,11,35A,301.4,P,line,L_1,19.9,22,4,0,0,2025-10-19 13:03,2025-10-20 04:22,2025-10-20 04:22
b190_ps_heavy_r1,GA,84,BLK_84C,12,36B,160.5,C,fixed,F_10,5.4,5,2,0,0,2025-10-19 13:33,2025-10-20 03:37,2025-10-20 03:37
b190_ps_heavy_r1,GA,94,BLK_94S,13,35A,470.7,S,fixed,F_10,13.6,19,3,2,0,2025-10-20 08:00,2025-10-20 15:50,2025-10-20 15:50
b190_ps_heavy_r1,GA,103,BLK_103S,14,36B,331.0,S,fixed,F_1,19.9,26,4,0,0,2025-10-20 08:40,2025-10-20 17:19,2025-10-20 17:19
b190_ps_heavy_r1,GA,104,BLK_104S,15,35A,324.9,S,fixed,F_10,15.3,20,3,0,0,2025-10-20 09:10,2025-10-20 17:18,2025-10-20 17:18
b190_ps_heavy_r1,GA,26,BLK_26C,16,36B,368.0,C,line,L_1,19.3,9,4,2,0,2025-10-20 09:35,2025-10-20 17:43,2025-10-20 17:43
b190_ps_heavy_r1,GA,1,BLK_1C,17,35A,301.3,C,line,L_1,18.6,22,4,0,0,2025-10-20 10:20,2025-10-20 19:38,2025-10-20 19:38
b190_ps_heavy_r1,GA,3,BLK_3C,18,36B,248.2,C,line,L_2,15.3,14,2,0,0,2025-10-20 10:50,2025-10-20 19:20,2025-10-20 19:20
b190_ps_heavy_r1,GA,5,BLK_5C,19,35A,310.9,C,line,L_1,19.9,24,4,0,0,2025-10-20 11:10,2025-10-20 21:18,2025-10-20 21:18
b190_ps_heavy_r1,GA,46,BLK_46P,20,36B,511.1,P,line,L_1,19.9,19,4,2,0,2025-10-20 11:40,2025-10-20 23:23,2025-10-20 23:23
b190_ps_heavy_r1,GA,182,BLK_124S,21,35A,290.0,S,fixed,F_10,12.5,21,4,0,1,2025-10-20 12:25,2025-10-21 00:16,2025-10-21 00:16
b190_ps_heavy_r1,GA,13,BLK_13C,22,36B,568.8,C,line,L_1,13.9,14,3,3,0,2025-10-20 12:55,2025-10-21 03:13,2025-10-21 03:13
b190_ps_heavy_r1,GA,74,BLK_74C,23,35A,215.3,C,fixed,F_10,14.5,10,3,0,0,2025-10-20 13:35,2025-10-21 03:22,2025-10-21 03:22
b190_ps_heavy_r1,GA,19,BLK_19S,24,36B,273.5,S,line,L_2,5.4,3,2,2,0,2025-10-20 14:00,2025-10-21 03:24,2025-10-21 03:24
b190_ps_heavy_r1,GA,35,BLK_35S,25,35A,482.8,S,line,L_2,11.8,12,3,2,1,2025-10-20 14:35,2025-10-21 06:56,2025-10-21 06:56
b190_ps_heavy_r1,GA,124,BLK_124P,26,36B,290.0,P,fixed,F_10,12.5,21,4,0,0,2025-10-20 15:15,2025-10-21 08:33,2025-10-21 08:33
b190_ps_heavy_r1,GA,144,BLK_144S,27,35A,358.8,S,fixed,F_10,12.5,7,3,2,0,2025-10-20 15:45,2025-10-21 08:04,2025-10-21 08:04
b190_ps_heavy_r1,GA,9,BLK_9P,28,36B,303.6,P,line,L_1,19.9,21,5,0,0,2025-10-20 16:25,2025-10-21 10:22,2025-10-21 10:22
b190_ps_heavy_r1,GA,154,BLK_154S,29,36B,499.2,S,fixed,F_10,22.8,19,6,1,1,2025-10-20 16:55,2025-10-21 12:43,2025-10-21 12:43
b190_ps_heavy_r1,GA,134,BLK_134C,30,35A,318.8,C,fixed,F_10,19.9,24,3,0,0,2025-10-21 08:00,2025-10-21 13:53,2025-10-21 13:53
b190_ps_heavy_r1,GA,41,BLK_41S,31,36B,305.3,S,line,L_1,12.5,20,3,0,0,2025-10-21 08:25,2025-10-21 14:06,2025-10-21 14:06
b190_ps_heavy_r1,GA,174,BLK_174C,32,35A,473.8,C,fixed,F_10,12.6,21,4,1,0,2025-10-21 08:50,2025-10-21 17:00,2025-10-21 17:00
b190_ps_heavy_r1,GA,21,BLK_21S,33,36B,338.2,S,line,L_1,20.0,22,4,0,0,2025-10-21 09:28,2025-10-21 17:50,2025-10-21 17:50
b190_ps_heavy_r1,GA,25,BLK_25P,34,35A,490.3,P,line,L_1,15.6,11,3,2,0,2025-10-21 09:58,2025-10-21 20:01,2025-10-21 20:01
b190_ps_heavy_r1,GA,29,BLK_29P,35,36B,230.7,P,line,L_1,6.4,7,1,0,1,2025-10-21 10:38,2025-10-21 20:04,2025-10-21 20:04
b190_ps_heavy_r1,GA,30,BLK_30S,36,35A,231.0,S,line,L_1,17.4,11,4,0,0,2025-10-21 10:50,2025-10-21 21:14,2025-10-21 21:14
b190_ps_heavy_r1,GA,33,BLK_33P,37,36B,397.8,P,line,L_1,21.7,28,6,0,0,2025-10-21 11:20,2025-10-21 23:57,2025-10-21 23:57
b190_ps_heavy_r1,GA,34,BLK_34C,38,35A,223.5,C,line,L_1,9.9,11,3,0,0,2025-10-21 12:05,2025-10-21 22:43,2025-10-21 22:43
b190_ps_heavy_r1,GA,37,BLK_37S,39,36B,217.8,S,line,L_1,5.4,12,1,0,0,2025-10-21 12:30,2025-10-22 00:29,2025-10-22 00:29
b190_ps_heavy_r1,GA,164,BLK_164P,40,35A,256.4,P,fixed,F_10,19.2,14,4,0,0,2025-10-21 12:42,2025-10-22 00:05,2025-10-22 00:05
b190_ps_heavy_r1,GA,58,BLK_58S,41,36B,454.9,S,line,L_1,15.4,21,4,1,0,2025-10-21 13:12,2025-10-22 02:17,2025-10-22 02:17
b190_ps_heavy_r1,GA,38,BLK_38P,42,35A,199.5,P,line,L_1,8.5,9,2,0,0,2025-10-21 13:50,2025-10-22 01:29,2025-10-22 01:29
b190_ps_heavy_r1,GA,49,BLK_49C,43,36B,509.7,C,line,L_1,19.9,24,4,1,0,2025-10-21 14:10,2025-10-22 05:35,2025-10-22 05:35
b190_ps_heavy_r1,GA,45,BLK_45S,44,35A,257.6,S,line,L_1,15.4,16,3,0,0,2025-10-21 14:48,2025-10-22 05:22,2025-10-22 05:22
b190_ps_heavy_r1,GA,66,BLK_66P,45,36B,571.0,P,line,L_1,9.5,12,2,5,0,2025-10-21 15:13,2025-10-22 09:07,2025-10-22 09:07
b190_ps_heavy_r1,GA,75,BLK_75C,46,35A,282.8,C,fixed,F_2,20.0,19,4,0,0,2025-10-21 16:00,2025-10-22 10:40,2025-10-22 10:40
b190_ps_heavy_r1,GA,85,BLK_85C,47,36B,224.9,C,fixed,F_2,5.4,12,1,0,0,2025-10-21 16:30,2025-10-22 10:17,2025-10-22 10:17
b190_ps_heavy_r1,GA,93,BLK_93C,48,35A,289.8,C,fixed,F_1,16.6,17,4,0,0,2025-10-21 16:42,2025-10-22 11:44,2025-10-22 11:44
b190_ps_heavy_r1,GA,95,BLK_95S,49,36B,279.8,S,fixed,F_2,16.8,18,2,0,0,2025-10-21 17:12,2025-10-22 12:06,2025-10-22 12:06
b190_ps_heavy_r1,GA,105,BLK_105C,50,35A,364.7,C,fixed,F_2,9.2,13,2,1,0,2025-10-21 17:32,2025-10-22 12:28,2025-10-22 12:28
b190_ps_heavy_r1,GA,15,BLK_15C,51,36B,198.4,C,line,L_2,9.8,8,3,0,0,2025-10-22 08:00,2025-10-22 12:29,2025-10-22 12:29
b190_ps_heavy_r1,GA,125,BLK_125S,52,35A,522.3,S,fixed,F_2,19.9,18,4,2,0,2025-10-22 08:25,2025-10-22 17:07,2025-10-22 17:07
b190_ps_heavy_r1,GA,133,BLK_133P,53,36B,239.8,P,fixed,F_1,15.6,13,4,0,0,2025-10-22 09:10,2025-10-22 17:15,2025-10-22 17:15
b190_ps_heavy_r1,GA,183,BLK_133S,54,35A,239.8,S,fixed,F_1,15.6,13,4,0,0,2025-10-22 09:40,2025-10-22 17:55,2025-10-22 17:55
b190_ps_heavy_r1,GA,11,BLK_11C,55,36B,332.9,C,line,L_2,18.9,25,4,0,0,2025-10-22 10:10,2025-10-22 19:56,2025-10-22 19:56
b190_ps_heavy_r1,GA,113,BLK_113S,56,35A,422.3,S,fixed,F_1,14.9,19,3,1,0,2025-10-22 10:40,2025-10-22 19:59,2025-10-22 19:59
b190_ps_heavy_r1,GA,53,BLK_53S,57,36B,282.5,S,line,L_1,14.7,18,2,0,0,2025-10-22 11:13,2025-10-22 20:49,2025-10-22 20:49
b190_ps_heavy_r1,GA,55,BLK_55C,58,35A,362.4,C,line,L_2,6.4,3,1,3,0,2025-10-22 11:33,2025-10-22 21:14,2025-10-22 21:14
b190_ps_heavy_r1,GA,57,BLK_57S,59,36B,215.7,S,line,L_1,6.7,9,1,0,0,2025-10-22 12:00,2025-10-22 22:19,2025-10-22 22:19
b190_ps_heavy_r1,GA,59,BLK_59C,60,35A,451.6,C,line,L_2,17.4,18,4,1,0,2025-10-22 12:12,2025-10-23 01:36,2025-10-23 01:36
b190_ps_heavy_r1,GA,61,BLK_61S,61,36B,245.8,S,line,L_1,10.1,11,2,0,0,2025-10-22 12:50,2025-10-23 01:20,2025-10-23 01:20
b190_ps_heavy_r1,GA,8,BLK_8P,62,35A,346.2,P,line,L_2,10.0,7,3,1,0,2025-10-22 13:10,2025-10-23 02:40,2025-10-23 02:40
b190_ps_heavy_r1,GA,50,BLK_50S,63,36B,261.4,S,line,L_1,12.5,17,3,0,0,2025-10-22 13:43,2025-10-23 04:18,2025-10-23 04:18
