grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,1,2,BLK_2C,C,line,L_1,L_12,2025-10-19,16.5,22,4,0,False,8,35A,False,550.4,True,NORMAL,False,0,0,0,[],[],[],2025-10-19 08:00,2025-10-19 08:45,2025-10-19 17:10,2025-10-19 08:00,2025-10-19 17:10,550.4,9.17,45.0,157.9,12.0,116.5,52.4,87.0,26.2,53.4
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,2,6,BLK_6P,P,line,L_1,L_12,2025-10-19,21.5,18,4,0,False,6,36B,False,280.2,True,NORMAL,False,0,0,1,[],[],[],2025-10-19 08:45,2025-10-19 11:22,2025-10-19 17:28,2025-10-19 08:45,2025-10-19 17:28,568.5,9.48,30.0,32.2,12.0,21.2,43.4,73.0,23.8,44.6
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,3,10,BLK_10S,S,line,L_1,L_12,2025-10-19,18.8,20,4,1,False,8,35A,False,406.6,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 3판 연속 → 최대 2판'],2025-10-19 09:15,2025-10-19 11:55,2025-10-19 18:27,2025-10-19 09:15,2025-10-19 18:27,627.7,10.46,38.0,88.0,12.0,68.0,46.5,80.0,25.0,49.0
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,4,22,BLK_22P,P,line,L_1,L_12,2025-10-19,22.8,21,5,1,False,10,36B,False,475.2,True,NORMAL,False,2,2,3,"['ROUTING_C_SEAM_SPACING', 'LINE_GROUP_CONSTRAINT']","['C_SEAM_SPACING_FAMILY', 'LINE_GROUP_FAMILY']","['C/Seam 블록 연속 배치 불가', '라인 그룹 연속 제한 위반: L_12 4판 연속 → 최대 2판']",2025-10-19 09:53,2025-10-19 13:23,2025-10-19 20:48,2025-10-19 09:53,2025-10-19 20:48,768.4,12.81,30.0,119.4,12.0,96.6,57.0,83.5,25.6,51.2
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,5,14,BLK_14S,S,line,L_1,L_12,2025-10-20,8.3,6,2,0,False,4,35A,False,180.3,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 5판 연속 → 최대 2판'],2025-10-19 10:23,2025-10-19 15:22,2025-10-19 19:39,2025-10-19 10:23,2025-10-19 19:39,768.4,12.81,20.0,33.5,12.0,22.9,26.1,31.0,16.6,18.2
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,6,114,BLK_114S,S,fixed,F_10,F_10,2025-10-20,13.1,15,3,3,False,6,36B,False,546.7,True,NORMAL,False,0,0,0,[],[],[],2025-10-19 10:43,2025-10-19 15:55,2025-10-20 00:22,2025-10-19 10:43,2025-10-20 00:22,982.7,16.38,40.0,185.9,12.0,135.7,50.6,62.5,22.0,38.0
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,7,7,BLK_7P,P,line,L_2,L_21,2025-10-21,18.9,21,4,0,False,6,35A,False,302.2,True,NORMAL,False,0,0,0,[],[],[],2025-10-19 11:23,2025-10-19 19:01,2025-10-20 01:44,2025-10-19 11:23,2025-10-20 01:44,1064.7,17.74,30.0,33.2,12.0,22.5,44.2,83.5,25.6,51.2
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,8,73,BLK_73C,C,fixed,F_1,F_1,2025-10-20,8.6,12,1,0,False,4,36B,False,226.3,True,NORMAL,False,0,0,0,[],[],[],2025-10-19 11:53,2025-10-19 19:35,2025-10-20 01:10,2025-10-19 11:53,2025-10-20 01:10,1064.7,17.74,12.0,42.0,12.0,34.2,22.5,52.0,20.2,31.4
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,9,17,BLK_17P,P,line,L_1,L_11,2025-10-21,9.9,12,2,1,False,4,35A,False,338.7,True,NORMAL,False,0,0,0,[],[],[],2025-10-19 12:05,2025-10-19 20:17,2025-10-20 02:16,2025-10-19 12:05,2025-10-20 02:16,1096.1,18.27,28.0,91.8,12.0,71.5,31.9,52.0,20.2,31.4
b190_ps_heavy_r1,GA,Large (141-200),190,ps_heavy,255.31666666666663,9,20251019,10,83,BLK_83S,S,fixed,F_1,F_1,2025-10-20,20.0,19,4,0,False,10,36B,False,287.2,True,NORMAL,False,0,0,0,[],[],[],2025-10-19 12:33,2025-10-19 21:48,2025-10-20 03:21,2025-10-19 12:33,2025-10-20 03:21,1161.8,19.36,30.0,32.0,12.0,21.0,44.4,76.5,24.4,46.8
