grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,판계,1,2025-10-19 08:00:00,2025-10-19 08:30:00,30.0,,공통
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,전면SAW,2,2025-10-19 08:30:00,2025-10-19 10:29:21,119.4,,공통
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,TurnOver,3,2025-10-19 10:29:21,2025-10-19 10:41:21,12.0,,공통
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,후면SAW,4,2025-10-19 10:41:21,2025-10-19 12:17:57,96.6,,공통
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,NC,5,2025-10-19 12:17:57,2025-10-19 13:14:55,57.0,,공통
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,베이36B 론지취부,6,2025-10-19 13:14:55,2025-10-19 14:38:25,83.5,36B,베이36B
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,베이36B 론지용접,7,2025-10-19 14:38:25,2025-10-19 15:04:01,25.6,36B,베이36B
b190_ps_heavy_r1,Proposed,22,BLK_22P,1,베이36B 수정,8,2025-10-19 15:04:01,2025-10-19 15:55:13,51.2,36B,베이36B
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,판계,1,2025-10-19 08:30:00,2025-10-19 09:15:00,45.0,,공통
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,전면SAW,2,2025-10-19 10:29:21,2025-10-19 13:07:17,157.9,,공통
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,TurnOver,3,2025-10-19 13:07:17,2025-10-19 13:19:17,12.0,,공통
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,후면SAW,4,2025-10-19 13:19:17,2025-10-19 15:15:45,116.5,,공통
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,NC,5,2025-10-19 15:15:45,2025-10-19 16:08:07,52.4,,공통
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,베이35A 론지취부,6,2025-10-19 16:08:07,2025-10-19 17:35:07,87.0,35A,베이35A
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,베이35A 론지용접,7,2025-10-19 17:35:07,2025-10-19 18:01:19,26.2,35A,베이35A
b190_ps_heavy_r1,Proposed,2,BLK_2C,2,베이35A 수정,8,2025-10-19 18:01:19,2025-10-19 18:54:43,53.4,35A,베이35A
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,판계,1,2025-10-19 09:15:00,2025-10-19 09:55:00,40.0,,공통
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,전면SAW,2,2025-10-19 13:07:17,2025-10-19 16:13:10,185.9,,공통
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,TurnOver,3,2025-10-19 16:13:10,2025-10-19 16:25:10,12.0,,공통
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,후면SAW,4,2025-10-19 16:25:10,2025-10-19 18:40:52,135.7,,공통
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,NC,5,2025-10-19 18:40:52,2025-10-19 19:31:27,50.6,,공통
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,베이36B 론지취부,6,2025-10-19 19:31:27,2025-10-19 20:33:57,62.5,36B,베이36B
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,베이36B 론지용접,7,2025-10-19 20:33:57,2025-10-19 20:55:57,22.0,36B,베이36B
b190_ps_heavy_r1,Proposed,114,BLK_114S,3,베이36B 수정,8,2025-10-19 20:55:57,2025-10-19 21:33:57,38.0,36B,베이36B
b190_ps_heavy_r1,Proposed,104,BLK_104S,4,판계,1,2025-10-19 09:55:00,2025-10-19 10:20:00,25.0,,공통
b190_ps_heavy_r1,Proposed,104,BLK_104S,4,전면SAW,2,2025-10-19 16:13:10,2025-10-19 17:04:00,50.8,,공통
b190_ps_heavy_r1,Proposed,104,BLK_104S,4,TurnOver,3,2025-10-19 17:04:00,2025-10-19 17:16:00,12.0,,공통
b190_ps_heavy_r1,Proposed,104,BLK_104S,4,후면SAW,4,2025-10-19 18:40:52,2025-10-19 19:26:38,45.8,,공통
