grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b200_heavy_work_r1,GA,1,BLK_1C,1,35A,343.9,C,line,L_1,15.3,22,4,0,0,2025-12-04 08:00,2025-12-04 13:43,2025-12-04 13:43
b200_heavy_work_r1,GA,9,BLK_9P,2,36B,452.3,P,line,L_1,5.7,8,2,2,0,2025-12-04 08:30,2025-12-04 16:02,2025-12-04 16:02
b200_heavy_work_r1,GA,52,BLK_52S,3,36B,396.5,S,line,L_2,22.8,25,6,0,0,2025-12-04 09:12,2025-12-04 19:14,2025-12-04 19:14
b200_heavy_work_r1,GA,5,BLK_5C,4,35A,286.0,C,line,L_1,5.7,10,1,0,0,2025-12-04 09:48,2025-12-04 17:41,2025-12-04 17:41
b200_heavy_work_r1,GA,142,BLK_142S,5,36B,712.4,S,fixed,F_5,19.7,25,5,2,0,2025-12-04 10:02,2025-12-05 00:28,2025-12-05 00:28
b200_heavy_work_r1,GA,127,BLK_127S,6,35A,227.7,S,fixed,F_1,7.8,7,2,0,1,2025-12-04 10:56,2025-12-04 22:40,2025-12-04 22:40
b200_heavy_work_r1,GA,13,BLK_13S,7,36B,548.3,S,line,L_1,13.8,17,4,3,0,2025-12-04 11:20,2025-12-05 01:57,2025-12-05 01:57
b200_heavy_work_r1,GA,33,BLK_33C,8,35A,180.8,C,line,L_1,5.9,3,1,0,0,2025-12-04 12:08,2025-12-05 00:31,2025-12-05 00:31
b200_heavy_work_r1,GA,77,BLK_77C,9,36B,255.2,C,fixed,F_1,18.3,9,4,0,0,2025-12-04 12:22,2025-12-05 02:27,2025-12-05 02:27
b200_heavy_work_r1,GA,29,BLK_29C,10,35A,378.7,C,line,L_1,5.7,8,2,1,1,2025-12-04 12:52,2025-12-05 03:23,2025-12-05 03:23
b200_heavy_work_r1,GA,97,BLK_97C,11,36B,368.9,C,fixed,F_1,10.3,13,1,0,0,2025-12-04 13:26,2025-12-05 05:28,2025-12-05 05:28
b200_heavy_work_r1,GA,107,BLK_107C,12,35A,334.5,C,fixed,F_1,12.4,19,4,0,0,2025-12-04 13:40,2025-12-05 06:57,2025-12-05 06:57
b200_heavy_work_r1,GA,167,BLK_167P,13,36B,589.9,P,fixed,F_1,16.4,15,6,2,0,2025-12-04 14:10,2025-12-05 10:57,2025-12-05 10:57
b200_heavy_work_r1,GA,17,BLK_17P,14,36B,550.4,P,line,L_1,22.6,23,6,1,2,2025-12-04 14:46,2025-12-05 13:38,2025-12-05 13:38
b200_heavy_work_r1,GA,21,BLK_21P,15,35A,529.2,P,line,L_1,17.3,14,4,1,1,2025-12-04 15:22,2025-12-05 14:52,2025-12-05 14:52
b200_heavy_work_r1,GA,37,BLK_37C,16,36B,396.4,C,line,L_1,19.8,26,4,0,1,2025-12-04 16:02,2025-12-05 17:09,2025-12-05 17:09
b200_heavy_work_r1,GA,40,BLK_40S,17,35A,675.4,S,line,L_2,20.9,22,5,2,0,2025-12-04 16:32,2025-12-05 20:24,2025-12-05 20:24
b200_heavy_work_r1,GA,41,BLK_41P,18,36B,309.2,P,line,L_1,5.7,11,1,0,0,2025-12-05 08:00,2025-12-05 19:29,2025-12-05 19:29
b200_heavy_work_r1,GA,191,BLK_41S,19,35A,309.2,S,line,L_1,5.7,11,1,0,0,2025-12-05 08:14,2025-12-05 20:59,2025-12-05 20:59
b200_heavy_work_r1,GA,87,BLK_87C,20,36B,261.7,C,fixed,F_1,10.8,9,1,0,0,2025-12-05 08:28,2025-12-05 21:13,2025-12-05 21:13
b200_heavy_work_r1,GA,25,BLK_25C,21,35A,529.8,C,line,L_1,10.8,12,1,1,0,2025-12-05 08:43,2025-12-06 01:02,2025-12-06 01:02
b200_heavy_work_r1,GA,117,BLK_117P,22,36B,260.6,P,fixed,F_1,10.4,8,1,0,0,2025-12-05 09:07,2025-12-06 01:16,2025-12-06 01:16
b200_heavy_work_r1,GA,137,BLK_137P,23,35A,193.4,P,fixed,F_1,5.7,7,1,0,0,2025-12-05 09:21,2025-12-06 01:27,2025-12-06 01:27
b200_heavy_work_r1,GA,147,BLK_147S,24,36B,288.5,S,fixed,F_1,14.3,13,4,0,0,2025-12-05 09:36,2025-12-06 03:02,2025-12-06 03:02
b200_heavy_work_r1,GA,194,BLK_137S,25,35A,193.4,S,fixed,F_1,5.7,7,1,0,0,2025-12-05 10:06,2025-12-06 02:35,2025-12-06 02:35
b200_heavy_work_r1,GA,53,BLK_53C,26,36B,404.3,C,line,L_1,23.9,20,7,0,0,2025-12-05 10:20,2025-12-06 05:26,2025-12-06 05:26
b200_heavy_work_r1,GA,3,BLK_3C,27,35A,336.1,C,line,L_2,16.2,18,5,0,0,2025-12-05 11:14,2025-12-06 06:02,2025-12-06 06:02
b200_heavy_work_r1,GA,49,BLK_49C,28,36B,220.5,C,line,L_1,6.7,7,2,0,0,2025-12-05 11:50,2025-12-06 05:50,2025-12-06 05:50
b200_heavy_work_r1,GA,12,BLK_12P,29,35A,474.7,P,line,L_2,10.4,7,1,3,0,2025-12-05 12:14,2025-12-06 07:58,2025-12-06 07:58
b200_heavy_work_r1,GA,86,BLK_86P,30,36B,283.0,P,fixed,F_9,15.2,14,4,0,0,2025-12-05 12:46,2025-12-06 09:32,2025-12-06 09:32
b200_heavy_work_r1,GA,198,BLK_86P,30,36B,283.0,P,fixed,F_9,15.2,14,4,0,0,2025-12-05 12:46,2025-12-06 09:32,2025-12-06 09:32
b200_heavy_work_r1,GA,104,BLK_104P,31,35A,512.2,P,fixed,F_7,18.9,14,5,1,0,2025-12-05 13:16,2025-12-06 11:52,2025-12-06 11:52
