grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,1,167,BLK_167P,P,fixed,F_1,F_1,2025-12-04,16.4,15,6,2,False,7,35A,False,589.9,True,NORMAL,False,0,0,0,[],[],[],2025-12-04 08:00,2025-12-04 08:36,2025-12-04 17:49,2025-12-04 08:00,2025-12-04 17:49,589.9,9.83,36.0,174.8,14.4,150.8,67.0,75.0,26.4,45.6
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,2,97,BLK_97C,C,fixed,F_1,F_1,2025-12-04,10.3,13,1,0,False,6,36B,False,368.9,True,NORMAL,False,0,0,1,[],[],[],2025-12-04 08:36,2025-12-04 11:30,2025-12-04 18:27,2025-12-04 08:36,2025-12-04 18:27,627.2,10.45,14.4,88.8,14.4,91.5,27.8,66.6,25.0,40.3
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,3,13,BLK_13S,S,line,L_1,L_11,2025-12-04,13.8,17,4,3,False,7,35A,False,548.3,True,NORMAL,False,0,0,0,[],[],[],2025-12-04 08:50,2025-12-04 12:59,2025-12-04 21:19,2025-12-04 08:50,2025-12-04 21:19,799.9,13.33,48.0,155.5,14.4,110.1,58.2,83.4,27.8,50.9
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,4,1,BLK_1C,C,line,L_1,L_11,2025-12-04,15.3,22,4,0,False,7,36B,False,343.9,True,NORMAL,False,0,0,1,[],[],[],2025-12-04 09:38,2025-12-04 15:35,2025-12-04 22:40,2025-12-04 09:38,2025-12-04 22:40,880.2,14.67,30.0,35.6,14.4,21.5,42.5,104.4,31.4,64.1
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,5,107,BLK_107C,C,fixed,F_1,F_1,2025-12-04,12.4,19,4,0,False,8,35A,False,334.5,True,NORMAL,False,0,0,0,[],[],[],2025-12-04 10:08,2025-12-04 16:10,2025-12-04 23:00,2025-12-04 10:08,2025-12-04 23:00,900.2,15.0,30.0,41.3,14.4,28.9,42.7,91.8,29.3,56.2
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,6,87,BLK_87C,C,fixed,F_1,F_1,2025-12-04,10.8,9,1,0,False,5,36B,False,261.7,True,NORMAL,False,0,0,0,[],[],[],2025-12-04 10:38,2025-12-04 16:51,2025-12-04 23:09,2025-12-04 10:38,2025-12-04 23:09,910.0,15.17,14.4,55.2,14.4,47.3,28.8,49.8,22.1,29.8
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,7,77,BLK_77C,C,fixed,F_1,F_1,2025-12-04,18.3,9,4,0,False,6,35A,False,255.2,True,NORMAL,False,0,0,0,[],[],[],2025-12-04 10:52,2025-12-04 17:47,2025-12-04 23:29,2025-12-04 10:52,2025-12-04 23:29,930.0,15.5,30.0,42.0,14.4,29.9,37.3,49.8,22.1,29.8
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,8,9,BLK_9P,P,line,L_1,L_11,2025-12-04,5.7,8,2,2,False,5,36B,False,452.3,True,NORMAL,False,0,0,0,[],[],[],2025-12-04 11:22,2025-12-04 18:29,2025-12-05 01:19,2025-12-04 11:22,2025-12-05 01:19,1039.4,17.32,42.0,153.0,14.4,110.5,43.2,45.6,16.6,27.1
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,9,5,BLK_5C,C,line,L_1,L_11,2025-12-04,5.7,10,1,0,False,4,35A,False,286.0,True,NORMAL,False,0,0,0,[],[],[],2025-12-04 12:04,2025-12-04 21:02,2025-12-05 02:17,2025-12-04 12:04,2025-12-05 02:17,1097.8,18.3,14.4,66.4,14.4,62.1,24.4,54.0,18.0,32.4
b200_heavy_work_r1,LPT,Large (141-200),200,heavy_work,320.3666666666667,18,20251204,10,33,BLK_33C,C,line,L_1,L_11,2025-12-04,5.9,3,1,0,False,3,36B,False,180.8,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 3판 연속 → 최대 2판'],2025-12-04 12:19,2025-12-04 22:08,2025-12-05 01:57,2025-12-04 12:19,2025-12-05 01:57,1097.8,18.3,14.4,43.8,14.4,32.3,24.4,24.6,13.0,13.9
