grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b20_base_r1,Proposed,1,BLK_1C,1,판계,1,2025-10-18 08:00:00,2025-10-18 08:52:00,52.0,,공통
b20_base_r1,Proposed,1,BLK_1C,1,전면SAW,2,2025-10-18 08:52:00,2025-10-18 12:02:00,190.0,,공통
b20_base_r1,Proposed,1,BLK_1C,1,TurnOver,3,2025-10-18 12:02:00,2025-10-18 12:14:00,12.0,,공통
b20_base_r1,Proposed,1,BLK_1C,1,후면SAW,4,2025-10-18 12:14:00,2025-10-18 14:51:36,157.6,,공통
b20_base_r1,Proposed,1,BLK_1C,1,NC,5,2025-10-18 14:51:36,2025-10-18 15:52:18,60.7,,공통
b20_base_r1,Proposed,1,BLK_1C,1,베이35A 론지취부,6,2025-10-18 15:52:18,2025-10-18 17:08:48,76.5,35A,베이35A
b20_base_r1,Proposed,1,BLK_1C,1,베이35A 론지용접,7,2025-10-18 17:08:48,2025-10-18 17:33:12,24.4,35A,베이35A
b20_base_r1,Proposed,1,BLK_1C,1,베이35A 수정,8,2025-10-18 17:33:12,2025-10-18 18:20:00,46.8,35A,베이35A
b20_base_r1,Proposed,5,BLK_5C,2,판계,1,2025-10-18 08:52:00,2025-10-18 09:22:00,30.0,,공통
b20_base_r1,Proposed,5,BLK_5C,2,전면SAW,2,2025-10-18 12:02:00,2025-10-18 13:39:01,97.0,,공통
b20_base_r1,Proposed,5,BLK_5C,2,TurnOver,3,2025-10-18 13:39:01,2025-10-18 13:51:01,12.0,,공통
b20_base_r1,Proposed,5,BLK_5C,2,후면SAW,4,2025-10-18 14:51:36,2025-10-18 16:07:50,76.2,,공통
b20_base_r1,Proposed,5,BLK_5C,2,NC,5,2025-10-18 16:07:50,2025-10-18 17:02:10,54.3,,공통
b20_base_r1,Proposed,5,BLK_5C,2,베이36B 론지취부,6,2025-10-18 17:02:10,2025-10-18 18:22:10,80.0,36B,베이36B
b20_base_r1,Proposed,5,BLK_5C,2,베이36B 론지용접,7,2025-10-18 18:22:10,2025-10-18 18:47:10,25.0,36B,베이36B
b20_base_r1,Proposed,5,BLK_5C,2,베이36B 수정,8,2025-10-18 18:47:10,2025-10-18 19:36:10,49.0,36B,베이36B
b20_base_r1,Proposed,2,BLK_2C,3,판계,1,2025-10-18 09:22:00,2025-10-18 09:52:00,30.0,,공통
b20_base_r1,Proposed,2,BLK_2C,3,전면SAW,2,2025-10-18 13:39:01,2025-10-18 15:26:27,107.4,,공통
b20_base_r1,Proposed,2,BLK_2C,3,TurnOver,3,2025-10-18 15:26:27,2025-10-18 15:38:27,12.0,,공통
b20_base_r1,Proposed,2,BLK_2C,3,후면SAW,4,2025-10-18 16:07:50,2025-10-18 17:33:32,85.7,,공통
b20_base_r1,Proposed,2,BLK_2C,3,NC,5,2025-10-18 17:33:32,2025-10-18 18:25:50,52.3,,공통
b20_base_r1,Proposed,2,BLK_2C,3,베이36B 론지취부,6,2025-10-18 18:25:50,2025-10-18 19:38:50,73.0,36B,베이36B
b20_base_r1,Proposed,2,BLK_2C,3,베이36B 론지용접,7,2025-10-18 19:38:50,2025-10-18 20:02:38,23.8,36B,베이36B
b20_base_r1,Proposed,2,BLK_2C,3,베이36B 수정,8,2025-10-18 20:02:38,2025-10-18 20:47:14,44.6,36B,베이36B
b20_base_r1,Proposed,6,BLK_6C,4,판계,1,2025-10-18 09:52:00,2025-10-18 10:22:00,30.0,,공통
b20_base_r1,Proposed,6,BLK_6C,4,전면SAW,2,2025-10-18 15:26:27,2025-10-18 16:00:13,33.8,,공통
b20_base_r1,Proposed,6,BLK_6C,4,TurnOver,3,2025-10-18 16:00:13,2025-10-18 16:12:13,12.0,,공통
b20_base_r1,Proposed,6,BLK_6C,4,후면SAW,4,2025-10-18 17:33:32,2025-10-18 17:56:51,23.3,,공통
b20_base_r1,Proposed,6,BLK_6C,4,NC,5,2025-10-18 18:25:50,2025-10-18 19:09:40,43.8,,공통
b20_base_r1,Proposed,6,BLK_6C,4,베이35A 론지취부,6,2025-10-18 19:09:40,2025-10-18 20:40:10,90.5,35A,베이35A
b20_base_r1,Proposed,6,BLK_6C,4,베이35A 론지용접,7,2025-10-18 20:40:10,2025-10-18 21:06:58,26.8,35A,베이35A
b20_base_r1,Proposed,6,BLK_6C,4,베이35A 수정,8,2025-10-18 21:06:58,2025-10-18 22:02:34,55.6,35A,베이35A
b20_base_r1,Proposed,9,BLK_9C,5,판계,1,2025-10-18 10:22:00,2025-10-18 10:52:00,30.0,,공통
b20_base_r1,Proposed,9,BLK_9C,5,전면SAW,2,2025-10-18 16:00:13,2025-10-18 16:32:13,32.0,,공통
b20_base_r1,Proposed,9,BLK_9C,5,TurnOver,3,2025-10-18 16:32:13,2025-10-18 16:44:13,12.0,,공통
