grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,판계,1,2025-09-05 08:00:00,2025-09-05 08:25:00,25.0,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,전면SAW,2,2025-09-05 08:25:00,2025-09-05 08:58:12,33.2,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,TurnOver,3,2025-09-05 08:58:12,2025-09-05 09:10:12,12.0,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,후면SAW,4,2025-09-05 09:10:12,2025-09-05 09:32:46,22.6,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,NC,5,2025-09-05 09:32:46,2025-09-05 10:06:20,33.6,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,베이35A 론지취부,6,2025-09-05 10:06:20,2025-09-05 10:54:50,48.5,35A,베이35A,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,베이35A 론지용접,7,2025-09-05 10:54:50,2025-09-05 11:14:26,19.6,35A,베이35A,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,1,BLK_1C,1,베이35A 수정,8,2025-09-05 11:14:26,2025-09-05 11:43:38,29.2,35A,베이35A,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,5,BLK_5C,2,판계,1,2025-09-05 08:25:00,2025-09-05 09:03:00,38.0,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,5,BLK_5C,2,전면SAW,2,2025-09-05 09:03:00,2025-09-05 10:35:25,92.4,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,5,BLK_5C,2,TurnOver,3,2025-09-05 10:35:25,2025-09-05 10:47:25,12.0,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,5,BLK_5C,2,후면SAW,4,2025-09-05 10:47:25,2025-09-05 11:59:27,72.0,,공통,raw,
b20_mixed_ps_sub_r1,SPT,Small (20-80),20,mixed_ps_sub,29.23333333333333,0,20250905,5,BLK_5C,2,NC,5,2025-09-05 11:59:27,2025-09-05 12:46:16,46.8,,공통,raw,
