grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,1,6,BLK_6S,S,line,L_1,L_12,2025-11-09,12.3,10,3,2,False,8,35A,False,466.9,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 08:00,2025-11-07 08:44,2025-11-07 15:46,2025-11-07 08:00,2025-11-07 15:46,466.9,7.78,44.0,150.9,13.2,109.9,48.8,49.5,20.9,29.7
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,2,18,BLK_18C,C,fixed,F_9,F_9,2025-11-14,21.7,16,4,0,False,12,36B,False,496.0,True,NORMAL,False,0,0,1,[],[],[],2025-11-07 08:44,2025-11-07 11:14,2025-11-07 18:41,2025-11-07 08:44,2025-11-07 18:41,641.4,10.69,49.5,113.5,13.2,112.5,65.7,72.6,24.9,44.2
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,3,7,BLK_7C,C,line,L_2,L_21,2025-11-13,13.0,18,4,1,False,6,35A,False,434.2,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 09:33,2025-11-07 13:08,2025-11-07 19:55,2025-11-07 09:33,2025-11-07 19:55,715.2,11.92,41.8,98.0,13.2,75.9,49.7,80.3,26.2,49.1
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,4,10,BLK_10C,C,fixed,F_10,F_10,2025-11-09,10.0,8,2,0,False,4,36B,False,464.9,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 10:15,2025-11-07 14:46,2025-11-07 21:52,2025-11-07 10:15,2025-11-07 21:52,832.8,13.88,38.5,161.0,13.2,117.9,40.2,48.4,28.2,17.6
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,5,9,BLK_9C,C,fixed,F_1,F_1,2025-11-07,16.7,20,3,0,False,7,35A,False,319.4,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 10:53,2025-11-07 17:27,2025-11-07 23:49,2025-11-07 10:53,2025-11-07 23:49,949.5,15.82,27.5,39.3,13.2,28.5,41.4,88.0,27.5,53.9
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,6,12,BLK_12C,C,fixed,F_3,F_3,2025-11-14,21.7,18,4,0,False,9,36B,False,503.4,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 11:21,2025-11-07 18:06,2025-11-08 01:57,2025-11-07 11:21,2025-11-08 01:57,1077.1,17.95,33.0,121.9,13.2,122.3,57.5,80.3,26.2,49.1
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,7,11,BLK_11C,C,fixed,F_2,F_2,2025-11-13,9.9,13,2,0,False,4,35A,False,446.8,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 11:54,2025-11-07 20:08,2025-11-08 02:56,2025-11-07 11:54,2025-11-08 02:56,1136.9,18.95,38.5,136.1,13.2,98.0,40.1,61.1,22.9,37.0
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,8,1,BLK_1C,C,line,L_1,L_11,2025-11-07,19.9,13,4,0,False,6,36B,False,400.3,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 12:32,2025-11-07 22:24,2025-11-08 04:23,2025-11-07 12:32,2025-11-08 04:23,1223.2,20.39,41.8,98.2,13.2,76.1,50.2,61.1,22.9,37.0
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,9,5,BLK_5S,S,line,L_1,L_11,2025-11-07,15.7,9,4,0,False,8,35A,False,230.5,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 13:14,2025-11-08 00:02,2025-11-08 04:39,2025-11-07 13:14,2025-11-08 04:39,1239.9,20.67,33.0,30.2,13.2,16.5,44.5,45.7,20.2,27.3
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,10,14,BLK_14C,C,fixed,F_5,F_5,2025-11-14,15.0,21,3,0,False,8,36B,False,317.4,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 13:47,2025-11-08 00:33,2025-11-08 06:42,2025-11-07 13:47,2025-11-08 06:42,1362.9,22.71,27.5,36.2,13.2,24.4,39.8,91.9,28.2,56.3
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,11,2,BLK_2C,C,line,L_1,L_12,2025-11-09,17.0,13,4,0,False,3,35A,False,501.8,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 14:15,2025-11-08 01:09,2025-11-08 08:41,2025-11-07 14:15,2025-11-08 08:41,1481.5,24.69,49.5,142.7,13.2,121.4,54.0,61.1,22.9,37.0
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,12,19,BLK_19P,P,fixed,F_1,F_1,2025-11-07,16.5,14,3,0,False,5,36B,False,267.2,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 15:04,2025-11-08 03:31,2025-11-08 09:26,2025-11-07 15:04,2025-11-08 09:26,1526.9,25.45,27.5,36.0,13.2,24.2,38.5,64.9,23.5,39.4
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,13,4,BLK_4C,C,line,L_2,L_22,2025-11-12,19.9,19,4,0,False,7,35A,False,337.5,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 15:32,2025-11-08 04:07,2025-11-08 10:46,2025-11-07 15:32,2025-11-08 10:46,1606.0,26.77,33.0,46.5,13.2,37.9,44.5,84.2,26.8,51.5
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,14,13,BLK_13C,C,fixed,F_4,F_4,2025-11-14,15.7,20,2,0,False,4,36B,False,316.4,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 16:05,2025-11-08 04:54,2025-11-08 11:28,2025-11-07 16:05,2025-11-08 11:28,1648.9,27.48,22.0,42.8,13.2,33.1,35.9,88.0,27.5,53.9
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,15,16,BLK_16C,C,fixed,F_7,F_7,2025-11-14,18.1,15,4,0,False,6,35A,False,276.5,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 16:27,2025-11-08 05:37,2025-11-08 11:42,2025-11-07 16:27,2025-11-08 11:42,1662.4,27.71,33.0,32.0,13.2,18.8,44.8,68.8,24.2,41.8
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,16,8,BLK_8P,P,line,L_2,L_22,2025-11-12,12.5,15,3,0,False,6,36B,False,274.2,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 17:00,2025-11-08 06:09,2025-11-08 12:22,2025-11-07 17:00,2025-11-08 12:22,1702.2,28.37,27.5,36.5,13.2,24.8,37.5,68.8,24.2,41.8
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,17,3,BLK_3C,C,line,L_2,L_21,2025-11-13,18.3,15,3,0,False,7,35A,False,270.9,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 17:27,2025-11-08 06:45,2025-11-08 12:55,2025-11-07 17:27,2025-11-08 12:55,1735.8,28.93,27.5,34.3,13.2,21.8,39.3,68.8,24.2,41.8
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,18,15,BLK_15C,C,fixed,F_6,F_6,2025-11-13,18.1,8,4,0,False,7,36B,False,370.9,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 17:55,2025-11-08 07:19,2025-11-08 12:54,2025-11-07 17:55,2025-11-08 12:54,1735.8,28.93,41.8,93.6,13.2,89.4,46.7,41.8,19.6,24.9
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,19,17,BLK_17C,C,fixed,F_8,F_8,2025-11-13,12.6,8,3,0,False,6,35A,False,214.0,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 18:36,2025-11-08 08:53,2025-11-08 13:31,2025-11-07 18:36,2025-11-08 13:31,1771.2,29.52,27.5,31.6,13.2,18.3,36.0,43.4,21.6,22.4
b20_overload_r1,Proposed,Small (20-80),20,overload,29.516666666666666,0,20251107,20,20,BLK_20C,C,fixed,F_10,F_10,2025-11-09,5.4,5,1,0,False,4,36B,False,198.2,True,NORMAL,False,0,0,0,[],[],[],2025-11-07 19:04,2025-11-08 09:25,2025-11-08 13:28,2025-11-07 19:04,2025-11-08 13:28,1771.2,29.52,13.2,47.8,13.2,39.6,23.4,30.3,13.2,17.6
