grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b20_overload_r1,Proposed,9,BLK_9C,1,판계,1,2025-11-07 08:00:00,2025-11-07 08:27:30,27.5,,공통
b20_overload_r1,Proposed,9,BLK_9C,1,전면SAW,2,2025-11-07 08:27:30,2025-11-07 09:06:48,39.3,,공통
b20_overload_r1,Proposed,9,BLK_9C,1,TurnOver,3,2025-11-07 09:06:48,2025-11-07 09:20:00,13.2,,공통
b20_overload_r1,Proposed,9,BLK_9C,1,후면SAW,4,2025-11-07 09:20:00,2025-11-07 09:48:30,28.5,,공통
b20_overload_r1,Proposed,9,BLK_9C,1,NC,5,2025-11-07 09:48:30,2025-11-07 10:29:57,41.4,,공통
b20_overload_r1,Proposed,9,BLK_9C,1,베이35A 론지취부,6,2025-11-07 10:29:57,2025-11-07 11:57:57,88.0,35A,베이35A
b20_overload_r1,Proposed,9,BLK_9C,1,베이35A 론지용접,7,2025-11-07 11:57:57,2025-11-07 12:25:27,27.5,35A,베이35A
b20_overload_r1,Proposed,9,BLK_9C,1,베이35A 수정,8,2025-11-07 12:25:27,2025-11-07 13:19:21,53.9,35A,베이35A
b20_overload_r1,Proposed,1,BLK_1C,2,판계,1,2025-11-07 08:27:30,2025-11-07 09:09:18,41.8,,공통
b20_overload_r1,Proposed,1,BLK_1C,2,전면SAW,2,2025-11-07 09:09:18,2025-11-07 10:47:29,98.2,,공통
b20_overload_r1,Proposed,1,BLK_1C,2,TurnOver,3,2025-11-07 10:47:29,2025-11-07 11:00:41,13.2,,공통
b20_overload_r1,Proposed,1,BLK_1C,2,후면SAW,4,2025-11-07 11:00:41,2025-11-07 12:16:44,76.1,,공통
b20_overload_r1,Proposed,1,BLK_1C,2,NC,5,2025-11-07 12:16:44,2025-11-07 13:06:56,50.2,,공통
b20_overload_r1,Proposed,1,BLK_1C,2,베이36B 론지취부,6,2025-11-07 13:06:56,2025-11-07 14:07:59,61.1,36B,베이36B
b20_overload_r1,Proposed,1,BLK_1C,2,베이36B 론지용접,7,2025-11-07 14:07:59,2025-11-07 14:30:52,22.9,36B,베이36B
b20_overload_r1,Proposed,1,BLK_1C,2,베이36B 수정,8,2025-11-07 14:30:52,2025-11-07 15:07:50,37.0,36B,베이36B
b20_overload_r1,Proposed,19,BLK_19P,3,판계,1,2025-11-07 09:09:18,2025-11-07 09:36:48,27.5,,공통
b20_overload_r1,Proposed,19,BLK_19P,3,전면SAW,2,2025-11-07 10:47:29,2025-11-07 11:23:30,36.0,,공통
b20_overload_r1,Proposed,19,BLK_19P,3,TurnOver,3,2025-11-07 11:23:30,2025-11-07 11:36:42,13.2,,공통
b20_overload_r1,Proposed,19,BLK_19P,3,후면SAW,4,2025-11-07 12:16:44,2025-11-07 12:40:53,24.2,,공통
b20_overload_r1,Proposed,19,BLK_19P,3,NC,5,2025-11-07 13:06:56,2025-11-07 13:45:25,38.5,,공통
b20_overload_r1,Proposed,19,BLK_19P,3,베이35A 론지취부,6,2025-11-07 13:45:25,2025-11-07 14:50:19,64.9,35A,베이35A
b20_overload_r1,Proposed,19,BLK_19P,3,베이35A 론지용접,7,2025-11-07 14:50:19,2025-11-07 15:13:51,23.5,35A,베이35A
b20_overload_r1,Proposed,19,BLK_19P,3,베이35A 수정,8,2025-11-07 15:13:51,2025-11-07 15:53:14,39.4,35A,베이35A
b20_overload_r1,Proposed,5,BLK_5S,4,판계,1,2025-11-07 09:36:48,2025-11-07 10:09:48,33.0,,공통
b20_overload_r1,Proposed,5,BLK_5S,4,전면SAW,2,2025-11-07 11:23:30,2025-11-07 11:53:40,30.2,,공통
b20_overload_r1,Proposed,5,BLK_5S,4,TurnOver,3,2025-11-07 11:53:40,2025-11-07 12:06:52,13.2,,공통
b20_overload_r1,Proposed,5,BLK_5S,4,후면SAW,4,2025-11-07 12:40:53,2025-11-07 12:57:21,16.5,,공통
b20_overload_r1,Proposed,5,BLK_5S,4,NC,5,2025-11-07 13:45:25,2025-11-07 14:29:53,44.5,,공통
b20_overload_r1,Proposed,5,BLK_5S,4,베이36B 론지취부,6,2025-11-07 14:29:53,2025-11-07 15:15:32,45.7,36B,베이36B
b20_overload_r1,Proposed,5,BLK_5S,4,베이36B 론지용접,7,2025-11-07 15:15:32,2025-11-07 15:35:46,20.2,36B,베이36B
b20_overload_r1,Proposed,5,BLK_5S,4,베이36B 수정,8,2025-11-07 15:35:46,2025-11-07 16:03:03,27.3,36B,베이36B
b20_overload_r1,Proposed,6,BLK_6S,5,판계,1,2025-11-07 10:09:48,2025-11-07 10:53:48,44.0,,공통
b20_overload_r1,Proposed,6,BLK_6S,5,전면SAW,2,2025-11-07 11:53:40,2025-11-07 14:24:34,150.9,,공통
b20_overload_r1,Proposed,6,BLK_6S,5,TurnOver,3,2025-11-07 14:24:34,2025-11-07 14:37:46,13.2,,공통
b20_overload_r1,Proposed,6,BLK_6S,5,후면SAW,4,2025-11-07 14:37:46,2025-11-07 16:27:38,109.9,,공통
b20_overload_r1,Proposed,6,BLK_6S,5,NC,5,2025-11-07 16:27:38,2025-11-07 17:16:26,48.8,,공통
b20_overload_r1,Proposed,6,BLK_6S,5,베이35A 론지취부,6,2025-11-07 17:16:26,2025-11-07 18:05:56,49.5,35A,베이35A
b20_overload_r1,Proposed,6,BLK_6S,5,베이35A 론지용접,7,2025-11-07 18:05:56,2025-11-07 18:26:50,20.9,35A,베이35A
b20_overload_r1,Proposed,6,BLK_6S,5,베이35A 수정,8,2025-11-07 18:26:50,2025-11-07 18:56:32,29.7,35A,베이35A
b20_overload_r1,Proposed,10,BLK_10C,6,판계,1,2025-11-07 10:53:48,2025-11-07 11:32:18,38.5,,공통
b20_overload_r1,Proposed,10,BLK_10C,6,전면SAW,2,2025-11-07 14:24:34,2025-11-07 17:05:34,161.0,,공통
b20_overload_r1,Proposed,10,BLK_10C,6,TurnOver,3,2025-11-07 17:05:34,2025-11-07 17:18:46,13.2,,공통
b20_overload_r1,Proposed,10,BLK_10C,6,후면SAW,4,2025-11-07 17:18:46,2025-11-07 19:16:41,117.9,,공통
b20_overload_r1,Proposed,10,BLK_10C,6,NC,5,2025-11-07 19:16:41,2025-11-07 19:56:52,40.2,,공통
b20_overload_r1,Proposed,10,BLK_10C,6,베이36B 론지취부,6,2025-11-07 19:56:52,2025-11-07 20:45:16,48.4,36B,베이36B
b20_overload_r1,Proposed,10,BLK_10C,6,베이36B 론지용접,7,2025-11-07 20:45:16,2025-11-07 21:13:25,28.2,36B,베이36B
b20_overload_r1,Proposed,10,BLK_10C,6,베이36B 수정,8,2025-11-07 21:13:25,2025-11-07 21:31:01,17.6,36B,베이36B
b20_overload_r1,Proposed,20,BLK_20C,7,판계,1,2025-11-07 11:32:18,2025-11-07 11:45:30,13.2,,공통
b20_overload_r1,Proposed,20,BLK_20C,7,전면SAW,2,2025-11-07 17:05:34,2025-11-07 17:53:21,47.8,,공통
b20_overload_r1,Proposed,20,BLK_20C,7,TurnOver,3,2025-11-07 17:53:21,2025-11-07 18:06:33,13.2,,공통
b20_overload_r1,Proposed,20,BLK_20C,7,후면SAW,4,2025-11-07 19:16:41,2025-11-07 19:56:19,39.6,,공통
b20_overload_r1,Proposed,20,BLK_20C,7,NC,5,2025-11-07 19:56:52,2025-11-07 20:20:14,23.4,,공통
b20_overload_r1,Proposed,20,BLK_20C,7,베이35A 론지취부,6,2025-11-07 20:20:14,2025-11-07 20:50:29,30.3,35A,베이35A
b20_overload_r1,Proposed,20,BLK_20C,7,베이35A 론지용접,7,2025-11-07 20:50:29,2025-11-07 21:03:41,13.2,35A,베이35A
b20_overload_r1,Proposed,20,BLK_20C,7,베이35A 수정,8,2025-11-07 21:03:41,2025-11-07 21:21:17,17.6,35A,베이35A
b20_overload_r1,Proposed,2,BLK_2C,8,판계,1,2025-11-07 11:45:30,2025-11-07 12:35:00,49.5,,공통
b20_overload_r1,Proposed,2,BLK_2C,8,전면SAW,2,2025-11-07 17:53:21,2025-11-07 20:16:04,142.7,,공통
b20_overload_r1,Proposed,2,BLK_2C,8,TurnOver,3,2025-11-07 20:16:04,2025-11-07 20:29:16,13.2,,공통
b20_overload_r1,Proposed,2,BLK_2C,8,후면SAW,4,2025-11-07 20:29:16,2025-11-07 22:30:42,121.4,,공통
b20_overload_r1,Proposed,2,BLK_2C,8,NC,5,2025-11-07 22:30:42,2025-11-07 23:24:43,54.0,,공통
b20_overload_r1,Proposed,2,BLK_2C,8,베이36B 론지취부,6,2025-11-07 23:24:43,2025-11-08 00:25:46,61.1,36B,베이36B
b20_overload_r1,Proposed,2,BLK_2C,8,베이36B 론지용접,7,2025-11-08 00:25:46,2025-11-08 00:48:39,22.9,36B,베이36B
b20_overload_r1,Proposed,2,BLK_2C,8,베이36B 수정,8,2025-11-08 00:48:39,2025-11-08 01:25:36,37.0,36B,베이36B
b20_overload_r1,Proposed,4,BLK_4C,9,판계,1,2025-11-07 12:35:00,2025-11-07 13:08:00,33.0,,공통
b20_overload_r1,Proposed,4,BLK_4C,9,전면SAW,2,2025-11-07 20:16:04,2025-11-07 21:02:33,46.5,,공통
b20_overload_r1,Proposed,4,BLK_4C,9,TurnOver,3,2025-11-07 21:02:33,2025-11-07 21:15:45,13.2,,공통
b20_overload_r1,Proposed,4,BLK_4C,9,후면SAW,4,2025-11-07 22:30:42,2025-11-07 23:08:37,37.9,,공통
b20_overload_r1,Proposed,4,BLK_4C,9,NC,5,2025-11-07 23:24:43,2025-11-08 00:09:11,44.5,,공통
b20_overload_r1,Proposed,4,BLK_4C,9,베이35A 론지취부,6,2025-11-08 00:09:11,2025-11-08 01:33:20,84.2,35A,베이35A
b20_overload_r1,Proposed,4,BLK_4C,9,베이35A 론지용접,7,2025-11-08 01:33:20,2025-11-08 02:00:10,26.8,35A,베이35A
b20_overload_r1,Proposed,4,BLK_4C,9,베이35A 수정,8,2025-11-08 02:00:10,2025-11-08 02:51:39,51.5,35A,베이35A
b20_overload_r1,Proposed,8,BLK_8P,10,판계,1,2025-11-07 13:08:00,2025-11-07 13:35:30,27.5,,공통
b20_overload_r1,Proposed,8,BLK_8P,10,전면SAW,2,2025-11-07 21:02:33,2025-11-07 21:39:02,36.5,,공통
b20_overload_r1,Proposed,8,BLK_8P,10,TurnOver,3,2025-11-07 21:39:02,2025-11-07 21:52:14,13.2,,공통
b20_overload_r1,Proposed,8,BLK_8P,10,후면SAW,4,2025-11-07 23:08:37,2025-11-07 23:33:24,24.8,,공통
b20_overload_r1,Proposed,8,BLK_8P,10,NC,5,2025-11-08 00:09:11,2025-11-08 00:46:41,37.5,,공통
b20_overload_r1,Proposed,8,BLK_8P,10,베이36B 론지취부,6,2025-11-08 00:46:41,2025-11-08 01:55:26,68.8,36B,베이36B
b20_overload_r1,Proposed,8,BLK_8P,10,베이36B 론지용접,7,2025-11-08 01:55:26,2025-11-08 02:19:38,24.2,36B,베이36B
b20_overload_r1,Proposed,8,BLK_8P,10,베이36B 수정,8,2025-11-08 02:19:38,2025-11-08 03:01:26,41.8,36B,베이36B
b20_overload_r1,Proposed,7,BLK_7C,11,판계,1,2025-11-07 13:35:30,2025-11-07 14:17:18,41.8,,공통
b20_overload_r1,Proposed,7,BLK_7C,11,전면SAW,2,2025-11-07 21:39:02,2025-11-07 23:17:02,98.0,,공통
b20_overload_r1,Proposed,7,BLK_7C,11,TurnOver,3,2025-11-07 23:17:02,2025-11-07 23:30:14,13.2,,공통
b20_overload_r1,Proposed,7,BLK_7C,11,후면SAW,4,2025-11-07 23:33:24,2025-11-08 00:49:18,75.9,,공통
b20_overload_r1,Proposed,7,BLK_7C,11,NC,5,2025-11-08 00:49:18,2025-11-08 01:39:02,49.7,,공통
b20_overload_r1,Proposed,7,BLK_7C,11,베이35A 론지취부,6,2025-11-08 01:39:02,2025-11-08 02:59:20,80.3,35A,베이35A
b20_overload_r1,Proposed,7,BLK_7C,11,베이35A 론지용접,7,2025-11-08 02:59:20,2025-11-08 03:25:30,26.2,35A,베이35A
b20_overload_r1,Proposed,7,BLK_7C,11,베이35A 수정,8,2025-11-08 03:25:30,2025-11-08 04:14:34,49.1,35A,베이35A
b20_overload_r1,Proposed,3,BLK_3C,12,판계,1,2025-11-07 14:17:18,2025-11-07 14:44:48,27.5,,공통
b20_overload_r1,Proposed,3,BLK_3C,12,전면SAW,2,2025-11-07 23:17:02,2025-11-07 23:51:18,34.3,,공통
b20_overload_r1,Proposed,3,BLK_3C,12,TurnOver,3,2025-11-07 23:51:18,2025-11-08 00:04:30,13.2,,공통
b20_overload_r1,Proposed,3,BLK_3C,12,후면SAW,4,2025-11-08 00:49:18,2025-11-08 01:11:09,21.8,,공통
b20_overload_r1,Proposed,3,BLK_3C,12,NC,5,2025-11-08 01:39:02,2025-11-08 02:18:21,39.3,,공통
b20_overload_r1,Proposed,3,BLK_3C,12,베이36B 론지취부,6,2025-11-08 02:18:21,2025-11-08 03:27:06,68.8,36B,베이36B
b20_overload_r1,Proposed,3,BLK_3C,12,베이36B 론지용접,7,2025-11-08 03:27:06,2025-11-08 03:51:18,24.2,36B,베이36B
b20_overload_r1,Proposed,3,BLK_3C,12,베이36B 수정,8,2025-11-08 03:51:18,2025-11-08 04:33:06,41.8,36B,베이36B
b20_overload_r1,Proposed,15,BLK_15C,13,판계,1,2025-11-07 14:44:48,2025-11-07 15:26:36,41.8,,공통
b20_overload_r1,Proposed,15,BLK_15C,13,전면SAW,2,2025-11-07 23:51:18,2025-11-08 01:24:55,93.6,,공통
b20_overload_r1,Proposed,15,BLK_15C,13,TurnOver,3,2025-11-08 01:24:55,2025-11-08 01:38:07,13.2,,공통
b20_overload_r1,Proposed,15,BLK_15C,13,후면SAW,4,2025-11-08 01:38:07,2025-11-08 03:07:29,89.4,,공통
b20_overload_r1,Proposed,15,BLK_15C,13,NC,5,2025-11-08 03:07:29,2025-11-08 03:54:10,46.7,,공통
