grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,1,6,BLK_6P,P,line,L_1,L_12,2025-05-04,12.3,6,1,0,False,5,35A,False,276.1,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 08:00,2025-04-29 08:12,2025-04-29 12:36,2025-04-29 08:00,2025-04-29 12:36,276.1,4.6,12.0,78.8,12.0,82.6,24.8,31.0,16.6,18.2
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,2,12,BLK_12C,C,line,L_2,L_22,2025-05-08,14.5,15,3,0,False,6,36B,False,257.2,True,NORMAL,False,0,0,1,[],[],[],2025-04-29 08:12,2025-04-29 09:30,2025-04-29 14:09,2025-04-29 08:12,2025-04-29 14:09,370.0,6.17,25.0,35.7,12.0,25.9,36.2,62.5,22.0,38.0
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,3,9,BLK_9C,C,line,L_1,L_11,2025-04-29,15.6,17,3,1,False,8,35A,False,446.7,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 08:37,2025-04-29 10:06,2025-04-29 17:00,2025-04-29 08:37,2025-04-29 17:00,540.3,9.0,33.0,123.4,12.0,100.3,43.0,69.5,23.2,42.4
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,4,5,BLK_5S,S,line,L_1,L_11,2025-04-29,15.6,13,4,0,False,7,36B,False,246.3,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 09:10,2025-04-29 12:09,2025-04-29 17:17,2025-04-29 09:10,2025-04-29 17:17,557.2,9.29,30.0,31.7,12.0,20.5,42.2,55.5,20.8,33.6
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,5,11,BLK_11S,S,line,L_2,L_21,2025-05-07,19.0,23,3,0,False,5,35A,False,315.6,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 09:40,2025-04-29 12:41,2025-04-29 18:59,2025-04-29 09:40,2025-04-29 18:59,659.7,10.99,25.0,37.7,12.0,28.5,39.4,90.5,26.8,55.6
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,6,16,BLK_16C,C,fixed,F_3,F_3,2025-05-08,5.4,8,1,0,False,3,36B,False,198.2,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 10:05,2025-04-29 13:19,2025-04-29 17:46,2025-04-29 10:05,2025-04-29 17:46,659.7,10.99,12.0,41.2,12.0,33.1,20.6,44.0,19.2,16.0
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,7,10,BLK_10C,C,line,L_1,L_12,2025-05-04,19.9,18,4,0,False,10,35A,False,283.5,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 10:17,2025-04-29 14:00,2025-04-29 19:58,2025-04-29 10:17,2025-04-29 19:58,718.7,11.98,30.0,33.2,12.0,22.5,44.4,73.0,23.8,44.6
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,8,2,BLK_2C,C,line,L_1,L_12,2025-05-04,15.7,16,4,0,False,8,36B,False,390.1,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 10:47,2025-04-29 14:33,2025-04-29 20:25,2025-04-29 10:47,2025-04-29 20:25,745.8,12.43,38.0,92.2,12.0,71.8,47.3,66.0,22.6,40.2
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,9,28,BLK_28S,S,fixed,F_5,F_5,2025-05-06,12.5,10,3,0,False,6,35A,False,212.5,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 11:25,2025-04-29 16:05,2025-04-29 20:25,2025-04-29 11:25,2025-04-29 20:25,745.8,12.43,25.0,31.2,12.0,19.9,33.4,45.0,19.0,27.0
b30_base_r1,GA,Small (20-80),30,base,36.5,1,20250429,10,8,BLK_8C,C,line,L_2,L_22,2025-05-08,12.1,9,3,0,False,6,36B,False,200.1,True,NORMAL,False,0,0,0,[],[],[],2025-04-29 11:50,2025-04-29 16:37,2025-04-29 20:50,2025-04-29 11:50,2025-04-29 20:50,770.6,12.84,25.0,28.5,12.0,16.4,33.4,41.5,18.4,24.8
