grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,1,5,BLK_5P,P,line,L_1,L_11,2025-12-16,21.2,30,4,0,False,7,36B,False,402.6,True,NORMAL,False,1,1,1,['P7#10'],['LONGI30_BAY_PREF_FAMILY'],['론지 30개 ≥ 30개인데 B베이 할당됨 (A베이 권장)'],2025-12-16 08:00,2025-12-16 08:33,2025-12-16 14:42,2025-12-16 08:00,2025-12-16 14:42,402.6,6.71,33.0,39.1,13.2,28.3,50.3,126.5,34.1,78.1
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,2,1,BLK_1C,C,line,L_1,L_11,2025-12-16,7.4,10,2,0,False,5,35A,False,372.5,True,NORMAL,False,0,0,1,[],[],[],2025-12-16 08:33,2025-12-16 09:12,2025-12-16 14:53,2025-12-16 08:33,2025-12-16 14:53,413.8,6.9,30.8,110.2,13.2,87.0,35.6,49.5,16.5,29.7
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,3,14,BLK_14C,C,fixed,F_10,F_10,2025-12-17,9.9,8,2,0,False,2,36B,False,222.4,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 09:03,2025-12-16 11:02,2025-12-16 15:12,2025-12-16 09:03,2025-12-16 15:12,432.7,7.21,22.0,41.4,13.2,31.2,28.3,41.8,19.6,24.9
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,4,24,BLK_24S,S,fixed,F_10,F_10,2025-12-17,15.4,7,3,0,False,6,35A,False,212.9,True,NORMAL,True,0,0,2,[],[],[],2025-12-16 09:25,2025-12-16 11:43,2025-12-16 15:43,2025-12-16 09:25,2025-12-16 15:43,463.5,7.72,27.5,33.9,13.2,21.3,37.7,38.0,18.9,22.4
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,4,30,BLK_24S,S,fixed,F_10,F_10,2025-12-17,15.4,7,3,0,False,6,35A,False,212.9,True,NORMAL,True,0,0,0,[],[],[],2025-12-16 09:25,2025-12-16 11:43,2025-12-16 15:43,2025-12-16 09:25,2025-12-16 15:43,463.5,7.72,27.5,33.9,13.2,21.3,37.7,38.0,18.9,22.4
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,5,9,BLK_9C,C,line,L_1,L_11,2025-12-16,19.9,23,6,0,False,10,36B,False,356.2,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 09:53,2025-12-16 12:17,2025-12-16 18:29,2025-12-16 09:53,2025-12-16 18:29,629.1,10.48,33.0,38.2,13.2,27.0,54.7,99.6,29.5,61.2
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,6,6,BLK_6P,P,line,L_1,L_12,2025-12-18,14.6,21,3,1,False,4,35A,False,545.7,True,NORMAL,False,0,0,1,[],[],[],2025-12-16 10:26,2025-12-16 12:55,2025-12-16 21:25,2025-12-16 10:26,2025-12-16 21:25,805.2,13.42,36.3,135.8,13.2,138.6,45.5,91.9,28.2,56.3
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,7,29,BLK_6S,S,line,L_1,L_12,2025-12-18,14.6,21,3,1,False,4,36B,False,545.7,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 11:02,2025-12-16 15:11,2025-12-16 23:43,2025-12-16 11:02,2025-12-16 23:43,943.8,15.73,36.3,135.8,13.2,138.6,45.5,91.9,28.2,56.3
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,8,2,BLK_2C,C,line,L_1,L_12,2025-12-18,18.9,21,4,0,False,10,35A,False,378.1,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 3판 연속 → 최대 2판'],2025-12-16 11:38,2025-12-16 17:27,2025-12-17 00:42,2025-12-16 11:38,2025-12-17 00:42,1002.6,16.71,49.5,44.7,13.2,35.5,58.9,91.9,28.2,56.3
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,9,11,BLK_11C,C,line,L_2,L_21,2025-12-19,21.7,28,6,0,False,9,36B,False,420.4,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 12:28,2025-12-16 18:12,2025-12-17 02:26,2025-12-16 12:28,2025-12-17 02:26,1106.5,18.44,33.0,50.6,13.2,43.4,55.4,118.8,32.8,73.3
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,10,3,BLK_3C,C,line,L_2,L_21,2025-12-19,18.1,20,4,0,False,9,35A,False,311.8,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 13:01,2025-12-16 19:02,2025-12-17 02:15,2025-12-16 13:01,2025-12-17 02:15,1106.5,18.44,33.0,32.3,13.2,19.2,44.8,88.0,27.5,53.9
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,11,13,BLK_13C,C,fixed,F_1,F_1,2025-12-19,10.3,8,3,0,False,7,36B,False,211.2,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 13:34,2025-12-16 19:34,2025-12-17 02:48,2025-12-16 13:34,2025-12-17 02:48,1129.0,18.82,27.5,30.9,13.2,17.4,34.9,43.4,21.6,22.4
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,12,23,BLK_23P,P,fixed,F_1,F_1,2025-12-19,19.0,17,6,0,False,8,35A,False,303.3,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 14:01,2025-12-16 20:05,2025-12-17 03:23,2025-12-16 14:01,2025-12-17 03:23,1163.1,19.38,33.0,34.3,13.2,21.8,52.4,76.5,25.5,46.6
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,13,7,BLK_7C,C,line,L_2,L_21,2025-12-19,16.5,16,4,0,False,8,36B,False,292.1,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 14:34,2025-12-16 20:40,2025-12-17 04:02,2025-12-16 14:34,2025-12-17 04:02,1202.6,20.04,33.0,34.7,13.2,22.4,47.2,72.6,24.9,44.2
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,14,15,BLK_15C,C,fixed,F_2,F_2,2025-12-20,15.7,18,4,0,False,8,35A,False,580.7,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 15:07,2025-12-16 21:14,2025-12-17 06:05,2025-12-16 15:07,2025-12-17 06:05,1325.9,22.1,49.5,175.3,13.2,129.3,57.9,80.3,26.2,49.1
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,15,25,BLK_25C,C,fixed,F_2,F_2,2025-12-20,19.9,22,7,1,False,12,36B,False,565.6,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 15:57,2025-12-17 00:09,2025-12-17 08:48,2025-12-16 15:57,2025-12-17 08:48,1488.6,24.81,49.5,126.8,13.2,128.1,64.7,95.7,28.8,58.7
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,16,10,BLK_10S,S,line,L_1,L_12,2025-12-20,6.1,4,2,1,False,3,35A,False,272.6,True,NORMAL,False,1,1,1,['ROUTING_C_SEAM_SPACING'],['C_SEAM_SPACING_FAMILY'],['C/Seam 블록 연속 배치 불가'],2025-12-16 16:46,2025-12-17 02:16,2025-12-17 07:12,2025-12-16 16:46,2025-12-17 07:12,1488.6,24.81,30.8,81.3,13.2,60.6,32.6,26.4,12.5,15.2
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,17,17,BLK_17C,C,fixed,F_4,F_4,2025-12-21,17.3,17,4,0,False,10,36B,False,332.0,True,NORMAL,False,0,0,0,[],[],[],2025-12-16 17:17,2025-12-17 03:38,2025-12-17 09:49,2025-12-16 17:17,2025-12-17 09:49,1549.6,25.83,33.0,46.4,13.2,37.8,53.1,76.5,25.5,46.6
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251216,18,18,BLK_18C,C,fixed,F_5,F_5,2025-12-22,19.9,17,3,0,False,6,35A,False,441.2,True,NORMAL,False,0,0,1,[],[],[],2025-12-16 17:50,2025-12-17 04:24,2025-12-17 11:09,2025-12-16 17:50,2025-12-17 11:09,1629.3,27.15,36.3,110.9,13.2,87.7,44.4,76.5,25.5,46.6
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251217,19,27,BLK_27C,C,fixed,F_4,F_4,2025-12-21,19.9,22,6,0,False,12,36B,False,341.3,True,NORMAL,False,0,0,0,[],[],[],2025-12-17 08:00,2025-12-17 08:33,2025-12-17 13:41,2025-12-17 08:00,2025-12-17 13:41,341.3,5.69,33.0,34.9,13.2,22.7,54.3,95.7,28.8,58.7
b30_overload_r1,LPT,Small (20-80),30,overload,41.75,3,20251217,20,26,BLK_26C,C,fixed,F_3,F_3,2025-12-22,9.5,12,4,3,False,6,35A,False,464.8,True,NORMAL,False,0,0,0,[],[],[],2025-12-17 08:33,2025-12-17 09:22,2025-12-17 16:17,2025-12-17 08:33,2025-12-17 16:17,497.8,8.3,49.5,136.3,13.2,96.0,55.8,57.2,22.2,34.5
