grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,1,5,BLK_5S,S,line,L_1,L_11,2025-09-09,15.5,22,4,5,False,7,35A,False,657.8,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 08:00,2025-09-09 08:57,2025-09-09 18:57,2025-09-09 08:00,2025-09-09 18:57,657.8,10.96,57.0,190.0,12.0,165.0,67.2,87.0,26.2,53.4
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,2,1,BLK_1C,C,line,L_1,L_11,2025-09-09,18.0,14,4,0,False,6,36B,False,496.4,True,NORMAL,False,0,0,1,[],[],[],2025-09-09 08:57,2025-09-09 12:07,2025-09-09 19:47,2025-09-09 08:57,2025-09-09 19:47,707.7,11.79,45.0,155.7,12.0,114.7,52.8,59.0,21.4,35.8
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,3,17,BLK_17C,C,fixed,F_1,F_1,2025-09-15,28.9,37,4,0,False,14,36B,False,611.0,True,NORMAL,False,1,1,1,['P7#10'],['LONGI30_BAY_PREF_FAMILY'],['론지 37개 ≥ 30개인데 B베이 할당됨 (A베이 권장)'],2025-09-09 09:42,2025-09-09 14:42,2025-09-10 00:16,2025-09-09 09:42,2025-09-10 00:16,976.6,16.28,59.0,102.2,12.0,101.1,75.7,139.5,35.2,86.4
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,4,9,BLK_9C,C,line,L_1,L_11,2025-09-09,19.4,15,3,0,False,5,35A,False,280.9,True,NORMAL,False,0,0,1,[],[],[],2025-09-09 10:41,2025-09-09 16:24,2025-09-09 22:34,2025-09-09 10:41,2025-09-09 22:34,976.6,16.28,25.0,45.8,12.0,39.1,36.5,62.5,22.0,38.0
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,5,13,BLK_13S,S,line,L_1,L_11,2025-09-09,10.1,5,2,0,False,3,36B,False,181.8,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 11:06,2025-09-09 17:10,2025-09-10 00:32,2025-09-09 11:06,2025-09-10 00:32,992.6,16.54,20.0,35.6,12.0,25.7,29.0,27.5,16.0,16.0
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,6,27,BLK_27P,P,fixed,F_1,F_1,2025-09-15,12.5,9,1,1,False,4,35A,False,499.8,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 11:26,2025-09-09 17:46,2025-09-10 01:46,2025-09-09 11:26,2025-09-10 01:46,1066.0,17.77,20.0,187.9,12.0,165.0,30.2,41.5,18.4,24.8
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,7,18,BLK_18C,C,fixed,F_10,F_10,2025-09-15,20.0,18,4,0,False,9,36B,False,294.4,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 11:46,2025-09-09 20:54,2025-09-10 03:24,2025-09-09 11:46,2025-09-10 03:24,1164.0,19.4,30.0,39.5,12.0,30.8,40.7,73.0,23.8,44.6
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,8,37,BLK_37C,C,fixed,F_1,F_1,2025-09-15,12.6,15,3,0,False,7,35A,False,277.0,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 12:16,2025-09-09 21:33,2025-09-10 03:40,2025-09-09 12:16,2025-09-10 03:40,1180.3,19.67,25.0,44.7,12.0,37.7,35.2,62.5,22.0,38.0
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,9,38,BLK_38C,C,fixed,F_10,F_10,2025-09-15,16.5,11,3,0,False,4,36B,False,253.0,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 12:41,2025-09-09 22:18,2025-09-10 03:53,2025-09-09 12:41,2025-09-10 03:53,1193.2,19.89,25.0,45.3,12.0,38.5,34.9,48.5,19.6,29.2
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,10,28,BLK_28C,C,fixed,F_10,F_10,2025-09-15,17.0,13,4,0,False,10,35A,False,244.5,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 13:06,2025-09-09 23:03,2025-09-10 04:43,2025-09-09 13:06,2025-09-10 04:43,1243.2,20.72,30.0,31.7,12.0,20.6,40.2,55.5,20.8,33.6
b40_base_r1,Proposed,Small (20-80),40,base,43.41666666666666,1,20250909,11,19,BLK_19C,C,fixed,F_2,F_2,2025-09-16,12.6,14,3,0,False,6,36B,False,366.4,True,NORMAL,False,0,0,0,[],[],[],2025-09-09 13:36,2025-09-09 23:35,2025-09-10 05:47,2025-09-09 13:36,2025-09-10 05:47,1307.3,21.79,33.0,92.8,12.0,72.4,40.0,59.0,21.4,35.8
