grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b40_heavy_work_r1,LPT,28,BLK_28C,1,35A,348.0,C,fixed,F_10,10.8,12,1,0,0,2025-10-28 08:00,2025-10-28 13:48,2025-10-28 13:48
b40_heavy_work_r1,LPT,18,BLK_18C,2,36B,236.1,C,fixed,F_10,6.4,9,1,0,0,2025-10-28 08:14,2025-10-28 13:55,2025-10-28 13:55
b40_heavy_work_r1,LPT,38,BLK_38S,3,35A,210.5,S,fixed,F_10,6.6,5,1,0,0,2025-10-28 08:28,2025-10-28 14:07,2025-10-28 14:07
b40_heavy_work_r1,LPT,13,BLK_13C,4,36B,428.2,C,line,L_1,22.6,29,6,0,0,2025-10-28 08:43,2025-10-28 18:13,2025-10-28 18:13
b40_heavy_work_r1,LPT,1,BLK_1C,5,36B,343.3,C,line,L_1,23.9,18,5,0,0,2025-10-28 09:19,2025-10-28 19:06,2025-10-28 19:06
b40_heavy_work_r1,LPT,9,BLK_9P,6,35A,292.3,P,line,L_1,13.1,11,2,0,1,2025-10-28 09:55,2025-10-28 17:30,2025-10-28 17:30
b40_heavy_work_r1,LPT,5,BLK_5S,7,36B,176.0,S,line,L_1,5.7,2,1,0,1,2025-10-28 10:19,2025-10-28 19:17,2025-10-28 19:17
b40_heavy_work_r1,LPT,30,BLK_30P,8,35A,576.5,P,fixed,F_3,10.6,11,4,2,0,2025-10-28 10:33,2025-10-28 23:01,2025-10-28 23:01
b40_heavy_work_r1,LPT,17,BLK_17C,9,36B,568.1,C,fixed,F_1,10.3,17,4,0,0,2025-10-28 11:21,2025-10-29 02:11,2025-10-29 02:11
b40_heavy_work_r1,LPT,21,BLK_21C,10,35A,566.8,C,fixed,F_4,19.9,17,5,0,0,2025-10-28 12:09,2025-10-29 04:52,2025-10-29 04:52
b40_heavy_work_r1,LPT,31,BLK_31C,11,36B,457.7,C,fixed,F_4,13.2,13,4,1,0,2025-10-28 13:03,2025-10-29 05:39,2025-10-29 05:39
b40_heavy_work_r1,LPT,20,BLK_20C,12,35A,314.5,C,fixed,F_3,17.4,15,5,0,0,2025-10-28 13:43,2025-10-29 06:45,2025-10-29 06:45
b40_heavy_work_r1,LPT,27,BLK_27S,13,36B,268.6,S,fixed,F_1,13.8,12,4,0,0,2025-10-28 14:19,2025-10-29 07:02,2025-10-29 07:02
b40_heavy_work_r1,LPT,37,BLK_37P,14,35A,206.7,P,fixed,F_1,7.8,7,2,0,0,2025-10-28 14:49,2025-10-29 07:09,2025-10-29 07:09
b40_heavy_work_r1,LPT,33,BLK_33C,15,36B,747.2,C,fixed,F_6,19.9,24,6,3,0,2025-10-28 15:13,2025-10-29 14:19,2025-10-29 14:19
b40_heavy_work_r1,LPT,4,BLK_4P,16,35A,574.6,P,line,L_2,20.9,21,5,0,0,2025-10-28 15:49,2025-10-29 15:37,2025-10-29 15:37
b40_heavy_work_r1,LPT,39,BLK_4S,17,36B,574.6,S,line,L_2,20.9,21,5,0,0,2025-10-28 16:34,2025-10-29 17:34,2025-10-29 17:34
