grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,판계,1,2025-10-28 08:00:00,2025-10-28 08:14:24,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,전면SAW,2,2025-10-28 08:14:24,2025-10-28 09:37:30,83.1,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,TurnOver,3,2025-10-28 09:37:30,2025-10-28 09:51:54,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,후면SAW,4,2025-10-28 09:51:54,2025-10-28 11:15:56,84.0,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,NC,5,2025-10-28 11:15:56,2025-10-28 11:43:41,27.8,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,베이35A 론지취부,6,2025-10-28 11:43:41,2025-10-28 12:46:05,62.4,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,베이35A 론지용접,7,2025-10-28 12:46:05,2025-10-28 13:10:19,24.2,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,28,BLK_28C,1,베이35A 수정,8,2025-10-28 13:10:19,2025-10-28 13:48:00,37.7,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,판계,1,2025-10-28 08:14:24,2025-10-28 08:28:48,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,전면SAW,2,2025-10-28 09:37:30,2025-10-28 10:25:37,48.1,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,TurnOver,3,2025-10-28 10:25:37,2025-10-28 10:40:01,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,후면SAW,4,2025-10-28 11:15:56,2025-10-28 11:53:53,38.0,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,NC,5,2025-10-28 11:53:53,2025-10-28 12:18:19,24.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,베이36B 론지취부,6,2025-10-28 12:18:19,2025-10-28 13:08:07,49.8,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,베이36B 론지용접,7,2025-10-28 13:08:07,2025-10-28 13:25:24,17.3,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,18,BLK_18C,2,베이36B 수정,8,2025-10-28 13:25:24,2025-10-28 13:55:09,29.8,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,판계,1,2025-10-28 08:28:48,2025-10-28 08:43:12,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,전면SAW,2,2025-10-28 10:25:37,2025-10-28 11:15:33,49.9,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,TurnOver,3,2025-10-28 11:15:33,2025-10-28 11:29:57,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,후면SAW,4,2025-10-28 11:53:53,2025-10-28 12:34:14,40.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,NC,5,2025-10-28 12:34:14,2025-10-28 12:59:06,24.9,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,베이35A 론지취부,6,2025-10-28 12:59:06,2025-10-28 13:32:06,33.0,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,베이35A 론지용접,7,2025-10-28 13:32:06,2025-10-28 13:46:30,14.4,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,38,BLK_38S,3,베이35A 수정,8,2025-10-28 13:48:00,2025-10-28 14:07:12,19.2,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,판계,1,2025-10-28 08:43:12,2025-10-28 09:19:12,36.0,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,전면SAW,2,2025-10-28 11:15:33,2025-10-28 11:54:24,38.9,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,TurnOver,3,2025-10-28 11:54:24,2025-10-28 12:08:48,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,후면SAW,4,2025-10-28 12:34:14,2025-10-28 13:00:01,25.8,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,NC,5,2025-10-28 13:00:01,2025-10-28 14:00:18,60.3,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,베이36B 론지취부,6,2025-10-28 14:00:18,2025-10-28 16:14:06,133.8,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,베이36B 론지용접,7,2025-10-28 16:14:06,2025-10-28 16:50:35,36.5,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,13,BLK_13C,4,베이36B 수정,8,2025-10-28 16:50:35,2025-10-28 18:13:09,82.6,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,판계,1,2025-10-28 09:19:12,2025-10-28 09:55:12,36.0,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,전면SAW,2,2025-10-28 11:54:24,2025-10-28 12:32:49,38.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,TurnOver,3,2025-10-28 12:32:49,2025-10-28 12:47:13,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,후면SAW,4,2025-10-28 13:00:01,2025-10-28 13:25:12,25.2,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,NC,5,2025-10-28 14:00:18,2025-10-28 14:59:57,59.6,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,베이36B 론지취부,6,2025-10-28 16:14:06,2025-10-28 17:41:42,87.6,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,베이36B 론지용접,7,2025-10-28 17:41:42,2025-10-28 18:10:16,28.6,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,1,BLK_1C,5,베이36B 수정,8,2025-10-28 18:13:09,2025-10-28 19:06:40,53.5,36B,베이36B,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,판계,1,2025-10-28 09:55:12,2025-10-28 10:19:12,24.0,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,전면SAW,2,2025-10-28 12:32:49,2025-10-28 13:28:30,55.7,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,TurnOver,3,2025-10-28 13:28:30,2025-10-28 13:42:54,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,후면SAW,4,2025-10-28 13:42:54,2025-10-28 14:30:49,47.9,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,NC,5,2025-10-28 14:59:57,2025-10-28 15:33:28,33.5,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,베이35A 론지취부,6,2025-10-28 15:33:28,2025-10-28 16:31:40,58.2,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,베이35A 론지용접,7,2025-10-28 16:31:40,2025-10-28 16:55:12,23.5,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,9,BLK_9P,6,베이35A 수정,8,2025-10-28 16:55:12,2025-10-28 17:30:14,35.0,35A,베이35A,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,5,BLK_5S,7,판계,1,2025-10-28 10:19:12,2025-10-28 10:33:36,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,5,BLK_5S,7,전면SAW,2,2025-10-28 13:28:30,2025-10-28 14:13:01,44.5,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,5,BLK_5S,7,TurnOver,3,2025-10-28 14:13:01,2025-10-28 14:27:25,14.4,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,5,BLK_5S,7,후면SAW,4,2025-10-28 14:30:49,2025-10-28 15:04:04,33.3,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,5,BLK_5S,7,NC,5,2025-10-28 15:33:28,2025-10-28 15:58:55,25.5,,공통,raw,
b40_heavy_work_r1,Proposed,Small (20-80),40,heavy_work,57.05,1,20251028,5,BLK_5S,7,베이36B 론지취부,6,2025-10-28 17:41:42,2025-10-28 18:02:06,20.4,36B,베이36B,raw,
